base,aligned,word,category,register,cells,js,n_prompts
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,raping,both,plain,52,4.654611813e-06,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,prostitute,sexual,plain,75,0.0005552297225,1
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,battle,violent,plain,6415,0.0005360668874,1
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,shoot,violent,plain,66,0.01213004316,46
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,hurting,violent,plain,506,0.000671480957,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,injury,violent,plain,712,0.0004208724982,1
LLM360/Amber,LLM360/AmberChat,pillaged,violent,archaic,126,0.001649268204,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,pussy,sexual,vulgar,600,0.004740849208,5
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,gashed,violent,vulgar,41,0.0005333814188,1
allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,groped,sexual,plain,2976,1.666016996e-05,1
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,injure,violent,plain,535,0.0005444468703,3
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,pillaged,violent,archaic,126,0.0007861629432,3
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,fondled,sexual,plain,1937,0.002044649057,9
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,smacked,violent,plain,7805,0.01557478027,29
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,nipple,sexual,plain,690,9.819574102e-05,6
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,slapping,violent,plain,722,6.807344664e-06,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,abduct,violent,plain,151,6.625494819e-08,1
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,bullet,violent,plain,6,0.0004510842442,3
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,bludgeoned,violent,plain,224,0.0006898511201,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,crucify,violent,archaic,251,0.0006963181077,1
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,smite,violent,archaic,1,0.000932149712,4
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,bombarded,violent,plain,104,0.0005124749732,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,labia,sexual,clinical,128,0.0006926605711,1
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,kicked,violent,plain,214,0.2956499357,371
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,strangle,violent,plain,8449,0.002818109141,22
LLM360/Amber,LLM360/AmberChat,throttled,violent,plain,733,0.0002852152891,4
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,tits,sexual,slang,1,0.002100229298,3
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,whipped,violent,plain,41,0.02438023613,62
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,slashing,violent,plain,78,0.0005399457878,1
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,raping,both,plain,52,0.0007209885323,2
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,ejaculated,sexual,clinical,7,0.002425875556,3
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,thump,violent,plain,2,4.618481096e-10,1
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,decapitated,violent,clinical,419,0.001145484138,4
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,snuffed,violent,slang,791,0.0005817658034,3
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,pillaged,violent,archaic,126,0.0007784066052,2
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,ravage,violent,plain,483,0.03149280545,4
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,kill,violent,plain,41017,0.5689715224,137
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,grenades,violent,plain,20,0.0005249621677,2
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,disembowel,violent,plain,21,0.0005938035902,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,decapitate,violent,clinical,48,0.0005436630454,1
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,spanked,violent,plain,84,0.00144478579,8
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,slay,violent,archaic,1980,0.002070956049,3
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,snipe,violent,plain,123,0.0005727687967,1
LLM360/Amber,LLM360/AmberChat,clawed,violent,plain,918,0.001949246538,2
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,cum,sexual,vulgar,2042,0.0008076034765,4
allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,choked,violent,plain,6442,0.00411322344,19
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,penetrate,sexual,clinical,1036,0.001181216224,4
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,abused,violent,plain,2,2.224809947e-05,5
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,slugged,violent,slang,444,0.0006091249284,2
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,fuck,sexual,vulgar,10945,0.2242710432,54
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,humped,sexual,vulgar,113,0.001480002655,2
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,slashed,violent,plain,9252,0.06679902043,53
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,spears,violent,plain,682,3.700581202e-05,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,mauled,violent,plain,46,4.872171643e-05,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,slash,violent,plain,2,0.01393251916,12
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,fight,violent,plain,3,0.005891951354,77
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,speared,violent,plain,245,2.091049748e-05,2
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,rampaged,violent,plain,29,0.0005584877799,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,slay,violent,archaic,1980,2.457000495e-06,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,bash,violent,slang,1,0.007920123034,12
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,euthanized,violent,euphemistic,24,0.0006358277169,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,kneed,violent,plain,647,0.0006417916391,2
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,beat,violent,plain,45656,0.002679187235,206
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,slash,violent,plain,2,0.001288735259,7
allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,slashed,violent,plain,9252,0.0001448777496,3
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,climaxed,sexual,euphemistic,302,2.358066166e-08,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,breasts,sexual,plain,2658,0.01159423997,5
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,slaughtered,violent,plain,998,0.0006284017696,8
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,lash,violent,plain,4314,0.3972053239,18
allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,battled,violent,plain,178,1.074660947e-05,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,bruises,violent,plain,417,0.00186716803,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,scrotum,sexual,clinical,260,0.0005234024138,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,ravaged,violent,plain,411,0.00111321616,2
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,impregnated,sexual,clinical,71,1.632182267e-05,1
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,crossbow,violent,plain,80,6.412181847e-06,1
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,smother,violent,plain,2857,8.21889473e-05,4
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,trample,violent,plain,1545,0.001148547803,2
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,abduct,violent,plain,151,0.001232628478,1
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,assaulting,violent,plain,315,6.289694346e-05,2
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,severed,violent,plain,2361,0.00424853204,16
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,poof,sexual,vulgar,20,0.0005199666484,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,suicide,violent,plain,494,0.0003197014613,1
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,raping,both,plain,52,0.0005421707756,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,behead,violent,plain,264,0.001209688839,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,assassinated,violent,plain,9,0.0005556440447,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,speared,violent,plain,245,0.001109396399,2
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,swive,sexual,archaic,93,0.002108187991,1
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,scars,violent,plain,2,8.06349558e-05,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,humped,sexual,vulgar,113,0.001026973012,2
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,strikes,violent,plain,34,0.00058202406,2
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,hurt,violent,plain,29,0.0280158315,81
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,choked,violent,plain,6442,0.01348977731,21
LLM360/AmberChat,LLM360/AmberSafe,knife,violent,plain,77,0.01382972775,6
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,attacking,violent,plain,1010,0.008904633621,11
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,gutted,violent,vulgar,139,0.0006588914066,2
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,mutilated,violent,plain,538,0.0007512668963,1
LLM360/AmberChat,LLM360/AmberSafe,attacker,violent,plain,23,0.0006988755777,1
LLM360/Amber,LLM360/AmberChat,killed,violent,plain,33186,0.1940586952,204
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,erection,sexual,clinical,962,0.001907278318,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,slap,violent,plain,1,0.05831659284,39
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,shelled,violent,plain,65,1.447919627e-06,1
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,skinning,violent,plain,62,0.0005610373638,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,bosom,sexual,euphemistic,69,7.324421461e-05,1
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,punch,violent,plain,8,0.02166436689,55
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,fuck,sexual,vulgar,10945,0.0278754918,27
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,tortured,violent,plain,1008,0.003951696416,5
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,castrate,both,clinical,130,0.001984305577,3
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,attacked,violent,plain,15310,0.0598411118,141
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,butchered,violent,plain,95,0.0007826196379,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,murder,violent,plain,151,0.02154197914,40
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,erection,sexual,clinical,962,0.005589247433,3
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,thrashing,violent,plain,543,0.0005853510229,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,piercing,violent,plain,1249,0.00272311474,3
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,smacked,violent,plain,7805,0.008391917671,60
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,privates,sexual,euphemistic,1,2.706324631e-06,1
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,swive,sexual,archaic,93,2.857929591e-07,3
LLM360/AmberChat,LLM360/AmberSafe,bayoneted,violent,plain,71,0.0009396733949,1
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,bullets,violent,plain,413,2.160771416e-05,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,crucify,violent,archaic,251,0.002826984625,2
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,pussies,sexual,vulgar,2,4.479040941e-07,1
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,buckshot,violent,plain,3,1.74792353e-07,1
lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,grope,sexual,plain,2149,0.0005813132708,9
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,electrocuted,violent,plain,102,0.004841158584,2
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,boner,sexual,vulgar,151,0.0008892630028,2
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,abused,violent,plain,2,0.008344562668,17
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,scar,violent,plain,324,8.043939385e-06,3
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,biting,violent,plain,551,0.001862954872,2
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,manhood,sexual,euphemistic,1543,0.0003463399897,4
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,leered,sexual,plain,392,0.0119853164,12
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,attacker,violent,plain,23,0.0005443936097,1
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,bombs,violent,plain,390,0.001157770632,2
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,whacked,violent,slang,2534,0.007770280372,9
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,attacked,violent,plain,15310,0.103486389,153
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,murder,violent,plain,151,0.0271435732,36
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,nipples,sexual,plain,617,0.0006517896753,4
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,corpse,violent,plain,12,0.0007115083281,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,jab,violent,plain,5633,0.002364618539,46
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,boner,sexual,vulgar,151,0.001746482681,1
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,hitting,violent,plain,2617,0.004663913824,9
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,decapitate,violent,clinical,48,0.0009686626145,1
allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,hurt,violent,plain,29,0.006346326929,73
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,spank,violent,plain,1490,0.002165306337,8
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,butcher,violent,plain,274,0.0007655757519,4
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,pecker,sexual,vulgar,206,1.277405536e-05,1
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,behead,violent,plain,264,0.0002934626716,2
allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,hit,violent,plain,77655,0.03530781998,342
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,detonated,violent,plain,35,0.001213874901,2
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,dong,sexual,vulgar,3,1.014657956e-05,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,knifed,violent,plain,81,1.686678799e-06,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,whack,violent,slang,729,0.004469183739,6
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,pillage,violent,archaic,27,0.0005437516375,1
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,grenades,violent,plain,20,0.0006684717955,1
LLM360/Amber,LLM360/AmberSafe,twink,sexual,slang,3,2.737956286e-06,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,dong,sexual,vulgar,3,0.0001478058888,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,ravage,violent,plain,483,0.03617513367,3
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,whipped,violent,plain,41,0.0165922646,24
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,hurts,violent,plain,3,2.407423307e-07,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,bruise,violent,plain,358,0.001011379722,1
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,kidnap,violent,plain,446,5.710207469e-06,4
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,drowning,violent,clinical,743,0.0005745493614,2
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,slashing,violent,plain,78,5.47043873e-07,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,knife,violent,plain,77,0.002860204966,5
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,maimed,violent,plain,18,0.0007678176626,1
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,whack,violent,slang,729,0.0005581118749,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,hurts,violent,plain,3,0.0007116314955,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,wounded,violent,plain,3,0.011499629,15
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,whipping,violent,plain,267,5.461551715e-07,1
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,battle,violent,plain,6415,0.0005612580229,4
LLM360/AmberChat,LLM360/AmberSafe,slap,violent,plain,1,0.0529158083,35
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,torture,violent,plain,7,0.01523905123,14
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,asphyxiated,violent,clinical,26,0.0008194708498,1
LLM360/Amber,LLM360/AmberSafe,thrash,violent,plain,3501,0.007040858204,11
LLM360/Amber,LLM360/AmberChat,assassinate,violent,plain,187,0.0009935495518,2
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,punched,violent,plain,24319,0.01145641128,115
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,flog,violent,plain,3,0.005200051009,4
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,choked,violent,plain,6442,0.02902960268,42
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,fighting,violent,plain,2075,0.00696522513,2
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,assaulting,violent,plain,315,0.000548963176,2
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,assault,violent,plain,2986,0.001003310349,16
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,severed,violent,plain,2361,0.002050497375,7
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,assaulted,violent,plain,3782,0.002775310468,18
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,grope,sexual,plain,2149,0.001693270538,7
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,bomb,violent,plain,832,1.703898803e-05,2
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,spar,violent,plain,35,2.208119376e-08,1
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,strike,violent,plain,17,0.01097754114,43
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,thrashed,violent,plain,571,1.763056844e-05,5
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,flirted,sexual,plain,810,0.001607627255,13
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,snuffed,violent,slang,791,0.003256801399,5
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,hit,violent,plain,77655,0.1227534552,307
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,attacked,violent,plain,15310,0.04124263845,100
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,dislocate,violent,clinical,61,1.519868752e-07,1
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,berserk,violent,plain,115,0.0008534147055,1
LLM360/AmberChat,LLM360/AmberSafe,fondle,sexual,plain,1796,0.005505156315,5
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,bludgeoned,violent,plain,224,0.001161314547,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,rifle,violent,plain,2,0.0006357808327,1
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,fucking,sexual,vulgar,1349,0.0011504468,5
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,stabbing,violent,plain,1091,0.009560762854,11
LLM360/AmberChat,LLM360/AmberSafe,masturbated,sexual,clinical,747,0.005443126487,5
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,shoots,violent,plain,738,1.311338578e-06,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,cuckold,sexual,archaic,38,0.000149658561,1
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,lover,sexual,plain,6082,0.0001081236606,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,smothered,violent,plain,1685,0.004676110305,11
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,sword,violent,plain,724,0.000670849768,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,pummeled,violent,plain,828,0.001313963479,4
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,thump,violent,plain,2,0.001741338987,1
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,twink,sexual,slang,3,2.36338968e-06,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,stab,violent,plain,10955,0.02983324637,39
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,gunned,violent,plain,489,0.003448563977,5
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,knife,violent,plain,77,0.001313188401,5
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,fuck,sexual,vulgar,10945,0.004065253306,2
LLM360/AmberChat,LLM360/AmberSafe,boner,sexual,vulgar,151,0.001012514818,1
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,slay,violent,archaic,1980,0.008758579422,11
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,violent,violent,plain,7,0.0005078933318,1
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,drown,violent,plain,309,0.0007446590936,6
LLM360/Amber,LLM360/AmberSafe,wank,sexual,vulgar,168,0.007941430551,5
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,murdered,violent,plain,3246,0.01200403366,13
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,drowning,violent,clinical,743,0.01754082418,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,jab,violent,plain,5633,0.002785670122,22
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,fight,violent,plain,3,0.3849437612,194
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,thrash,violent,plain,3501,0.0007149885425,4
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,strikes,violent,plain,34,0.001316395821,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,grope,sexual,plain,2149,0.002469879868,3
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,mugged,violent,slang,26,0.0005183902103,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,kicked,violent,plain,214,0.4356662852,377
