frame,name,scale,base,aligned,delta,word_coverage
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_directedness,2.0000,1.0000,-1.0000,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_fit,5.7500,7.0000,1.2500,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_harm,1.0000,1.0000,0.0000,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_hedged,1.0000,1.0000,0.0000,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_interiority,1.1250,1.0000,-0.1250,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_makes_better,1.0000,1.0000,0.0000,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_makes_worse,5.5000,6.0000,0.5000,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_mundanity,1.2500,1.2500,0.0000,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_superego,1.0000,1.0000,0.0000,0.923
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,v6_vocalisation,1.7500,1.0000,-0.7500,0.923
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_body_distance,1.0000,4.5000,3.5000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_charge,6.0000,1.7500,-4.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_euphemism,1.5000,4.0000,2.5000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_explicitness,7.0000,1.0000,-6.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_exposure,2.5000,1.7500,-0.7500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_genitality,7.0000,1.0000,-6.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_incorporation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_is_modifier,0.0000,0.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_orality,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,sexual_v2_tactility,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_abstraction,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_agency,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_arousal,5.2500,2.0000,-3.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_assertiveness,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_deference,4.0000,4.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_procedural,4.0000,4.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_specificity,7.0000,4.7500,-2.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_target,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_termination,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,slot_institutional_en_v3_vocalisation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_aggression,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_deliberation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_directedness,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_fit,7.0000,7.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_harm,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_hedged,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_interiority,1.2500,1.5000,0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_makes_better,3.0000,3.2500,0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_makes_worse,1.2500,1.0000,-0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_mundanity,3.0000,6.0000,3.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_superego,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_vocalisation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_aggression,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_deliberation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_directedness,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_fit,7.0000,7.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_harm,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_hedged,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_interiority,1.2500,1.5000,0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_makes_better,3.0000,3.2500,0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_makes_worse,1.2500,1.0000,-0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_mundanity,3.0000,6.0000,3.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_superego,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6_wide_vocalisation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_aggression,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_deliberation,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_directedness,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_fit,7.0000,7.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_harm,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_hedged,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_interiority,1.2500,1.5000,0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_makes_better,3.0000,3.2500,0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_makes_worse,1.2500,1.0000,-0.2500,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_mundanity,3.0000,6.0000,3.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_superego,1.0000,1.0000,0.0000,1.000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,v6full_vocalisation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_body_distance,2.6000,5.4000,2.8000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_charge,4.5000,2.2000,-2.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_euphemism,3.8000,4.0000,0.2000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_explicitness,3.5000,1.0000,-2.5000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_exposure,3.9000,2.2000,-1.7000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_genitality,1.5000,1.0000,-0.5000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_incorporation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_is_modifier,0.0000,0.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_orality,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,sexual_v2_tactility,3.1000,2.2000,-0.9000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_abstraction,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_agency,5.4000,5.0000,-0.4000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_arousal,5.9000,3.0000,-2.9000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_assertiveness,4.3000,3.4000,-0.9000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_deference,3.7000,4.0000,0.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_procedural,1.3000,3.4000,2.1000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_specificity,6.7000,6.2000,-0.5000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_target,7.0000,4.0000,-3.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_termination,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,slot_institutional_en_v3_vocalisation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_aggression,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_deliberation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_directedness,6.8000,2.8000,-4.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_fit,7.0000,7.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_harm,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_hedged,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_interiority,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_makes_better,3.3000,3.0000,-0.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_makes_worse,1.3000,1.0000,-0.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_mundanity,3.1000,6.0000,2.9000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_superego,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_vocalisation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_aggression,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_deliberation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_directedness,6.8000,2.8000,-4.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_fit,7.0000,7.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_harm,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_hedged,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_interiority,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_makes_better,3.3000,3.0000,-0.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_makes_worse,1.3000,1.0000,-0.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_mundanity,3.1000,6.0000,2.9000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_superego,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6_wide_vocalisation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_aggression,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_deliberation,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_directedness,6.8000,2.8000,-4.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_fit,7.0000,7.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_harm,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_hedged,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_interiority,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_makes_better,3.3000,3.0000,-0.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_makes_worse,1.3000,1.0000,-0.3000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_mundanity,3.1000,6.0000,2.9000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_superego,1.0000,1.0000,0.0000,1.000
He unzipped her,garment worn on the body vs. item carried or held,v6full_vocalisation,1.0000,1.0000,0.0000,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_aggression,1.8000,2.0000,0.2000,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_deliberation,1.8000,1.6250,-0.1750,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_directedness,1.4000,1.1250,-0.2750,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_fit,6.8000,6.6250,-0.1750,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_harm,1.4000,1.0000,-0.4000,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_hedged,1.0000,1.3750,0.3750,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_interiority,1.0000,1.0000,0.0000,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_makes_better,1.0000,1.0000,0.0000,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_makes_worse,5.6000,5.3750,-0.2250,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_mundanity,1.8000,1.7500,-0.0500,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_superego,1.0000,1.0000,0.0000,1.000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,v6_vocalisation,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_abstraction,1.0667,1.0000,-0.0667,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_agency,3.8000,3.6667,-0.1333,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_arousal,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_assertiveness,1.4000,1.0000,-0.4000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_deference,4.0000,4.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_procedural,4.0000,4.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_specificity,4.6667,5.3333,0.6667,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_target,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_termination,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,slot_institutional_en_v3_vocalisation,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_aggression,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_deliberation,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_directedness,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_fit,6.5333,7.0000,0.4667,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_harm,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_hedged,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_interiority,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_makes_better,2.9333,3.0000,0.0667,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_makes_worse,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_mundanity,6.5333,7.0000,0.4667,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_superego,1.0000,1.0000,0.0000,1.000
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,v6_vocalisation,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_abstraction,1.7500,2.0909,0.3409,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_agency,6.5000,5.7273,-0.7727,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_arousal,7.0000,7.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_assertiveness,7.0000,6.1818,-0.8182,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_deference,1.0000,1.1818,0.1818,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_delay,1.5000,1.4545,-0.0455,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_procedural,1.0000,1.0909,0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_specificity,5.5000,4.6364,-0.8636,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_target,7.0000,4.0000,-3.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_termination,5.7500,2.7273,-3.0227,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,slot_institutional_en_v3_vocalisation,1.0000,1.5455,0.5455,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_aggression,3.0000,4.0000,1.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_deliberation,1.0000,1.0909,0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_directedness,7.0000,4.3636,-2.6364,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_fit,7.0000,6.9091,-0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_harm,6.5000,3.5455,-2.9545,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_hedged,1.0000,1.0909,0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_interiority,1.5000,1.9091,0.4091,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_makes_better,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_makes_worse,6.7500,5.1818,-1.5682,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_mundanity,1.2500,2.1818,0.9318,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_superego,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_vocalisation,1.0000,1.5455,0.5455,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_aggression,3.0000,4.0000,1.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_deliberation,1.0000,1.0909,0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_directedness,7.0000,4.3636,-2.6364,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_fit,7.0000,6.9091,-0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_harm,6.5000,3.5455,-2.9545,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_hedged,1.0000,1.0909,0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_interiority,1.5000,1.9091,0.4091,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_makes_better,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_makes_worse,6.7500,5.1818,-1.5682,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_mundanity,1.2500,2.1818,0.9318,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_superego,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6_wide_vocalisation,1.0000,1.5455,0.5455,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_aggression,3.0000,4.0000,1.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_deliberation,1.0000,1.0909,0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_directedness,7.0000,4.3636,-2.6364,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_fit,7.0000,6.9091,-0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_harm,6.5000,3.5455,-2.9545,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_hedged,1.0000,1.0909,0.0909,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_interiority,1.5000,1.9091,0.4091,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_makes_better,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_makes_worse,6.7500,5.1818,-1.5682,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_mundanity,1.2500,2.1818,0.9318,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_superego,1.0000,1.0000,0.0000,1.000
He was so furious he wanted to,Violence directed at an object versus at a person,v6full_vocalisation,1.0000,1.5455,0.5455,1.000
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_abstraction,2.6667,3.7500,1.0833,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_agency,4.8333,5.5000,0.6667,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_arousal,3.1667,4.2500,1.0833,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_assertiveness,3.8333,4.7500,0.9167,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_collective,1.1667,1.0000,-0.1667,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_deference,3.0000,2.0000,-1.0000,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_delay,1.6667,2.2500,0.5833,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_mediation,2.0000,2.0000,0.0000,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_procedural,3.3333,2.2500,-1.0833,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_specificity,3.3333,4.5000,1.1667,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_target,3.0000,1.7500,-1.2500,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_termination,3.3333,5.7500,2.4167,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,slot_institutional_en_v3_vocalisation,2.3333,1.2500,-1.0833,0.714
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,v6_aggression,1.0000,1.0000,0.0000,1.000
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,v6_deliberation,2.5714,3.0000,0.4286,1.000
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,v6_directedness,2.7143,1.0000,-1.7143,1.000
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,v6_fit,4.4286,5.2857,0.8571,1.000
