pid,model,arm,pair,prompt,sample_idx,narrative_A,drift_A,drift_B,degree_A,mode_A,n_sents,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_pairwise,ordering
p027551,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and decided to,11,False,SHIFTS,SHIFTS,1,TOLD,11,0.534744,0.61375,0.068373,0.730488,5.347437,0.136605,0.603183,-0.068439
p027552,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and decided to,13,True,SHIFTS,SHIFTS,3,SHOWN,12,0.509905,0.648233,0.083953,0.764936,5.608951,0.136378,0.553544,-0.04364
p027553,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and decided to,15,True,HOLDS,HOLDS,1,TOLD,11,0.469188,0.5794,0.05988,0.666076,4.691882,0.141964,0.506886,-0.037698
p027554,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and decided to,16,False,UNMOORED,UNMOORED,0,NONE,15,0.509404,0.731847,0.130165,0.826387,7.131658,0.115876,0.543188,-0.033784
p027555,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and decided to,17,True,HOLDS,HOLDS,1,TOLD,13,0.429454,0.544343,0.066557,0.635329,5.153448,0.123282,0.453989,-0.024535
p027556,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and feared him completely and decided to,4,False,UNMOORED,UNMOORED,0,NONE,4,0.433798,0.628029,0.21455,0.659023,1.301394,0.506398,0.510367,-0.076569
p027557,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and feared him completely and decided to,13,True,HOLDS,HOLDS,1,SHOWN,15,0.46105,0.617521,0.083735,0.682926,6.454695,0.105803,0.4866,-0.02555
p027558,m-a-p/neo_7b,base,m-a-p/neo_7b,She trusted him completely and feared him completely and decided to,18,False,HOLDS,HOLDS,2,TOLD,19,0.466981,0.684115,0.133903,0.721624,8.405656,0.08585,0.544781,-0.0778
p027559,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and build at once and decided to,1,False,UNMOORED,SHIFTS,0,NONE,11,0.503705,0.619388,0.155602,0.76027,5.037049,0.150936,0.577102,-0.073397
p027560,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and build at once and decided to,3,False,SHIFTS,SHIFTS,1,TOLD,13,0.57306,0.68086,0.094994,0.707609,6.876716,0.102899,0.567647,0.005413
p027561,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and build at once and decided to,4,False,UNMOORED,UNMOORED,2,TOLD,11,0.53037,0.725877,0.120342,0.75916,5.303701,0.143138,0.57407,-0.0437
p027562,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and build at once and decided to,5,False,HOLDS,SHIFTS,1,TOLD,11,0.487266,0.638098,0.075319,0.750627,4.872663,0.154049,0.549499,-0.062233
p027563,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and build at once and decided to,7,False,UNMOORED,UNMOORED,1,TOLD,10,0.522495,0.622077,0.068289,0.731517,4.702453,0.155561,0.575906,-0.053412
p027564,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and build at once and decided to,8,False,SHIFTS,SHIFTS,0,NONE,13,0.4878,0.70793,0.090308,0.749746,5.853594,0.128083,0.590401,-0.102602
p027565,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and destroy at once and decided to,7,False,UNMOORED,UNMOORED,1,TOLD,9,0.529623,0.68428,0.09569,0.766851,4.236986,0.18099,0.585874,-0.056251
p027566,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and destroy at once and decided to,8,False,UNMOORED,HOLDS,1,TOLD,8,0.593863,0.655937,0.066752,0.702434,4.157041,0.168974,0.588988,0.004875
p027567,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create and destroy at once and decided to,18,False,UNMOORED,SHIFTS,0,NONE,11,0.540917,0.665776,0.088926,0.845992,5.409168,0.1564,0.5399,0.001017
p027568,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,1,False,UNMOORED,UNMOORED,2,SHOWN,19,0.454322,0.706526,0.1453,0.748566,8.177805,0.091536,0.512826,-0.058503
p027569,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,2,True,HOLDS,HOLDS,2,SHOWN,19,0.497556,0.638323,0.076997,0.723729,8.956007,0.080809,0.53156,-0.034004
p027570,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,6,False,UNMOORED,UNMOORED,1,TOLD,21,0.515854,0.696398,0.094846,0.787648,10.317083,0.076344,0.534974,-0.01912
p027571,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,8,False,SHIFTS,SHIFTS,2,TOLD,16,0.428418,0.624787,0.082599,0.667571,6.426267,0.103882,0.471897,-0.043479
p027572,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,9,False,UNMOORED,UNMOORED,1,TOLD,15,0.464208,0.675242,0.106024,0.746649,6.498909,0.114888,0.548743,-0.084536
p027573,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,10,False,UNMOORED,SHIFTS,0,NONE,14,0.625822,0.735704,0.08569,0.807923,8.135685,0.099306,0.628734,-0.002912
p027574,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,11,False,UNMOORED,UNMOORED,1,SHOWN,13,0.487183,0.673358,0.138881,0.717745,5.846197,0.122771,0.562872,-0.075688
p027575,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,12,False,UNMOORED,SHIFTS,1,TOLD,16,0.486619,0.646129,0.120311,0.712117,7.299284,0.09756,0.542618,-0.055999
p027576,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and decided to,13,True,SHIFTS,SHIFTS,2,TOLD,15,0.446628,0.562586,0.080709,0.688413,6.252791,0.110097,0.501418,-0.05479
p027577,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and destroy something and decided to,1,False,UNMOORED,UNMOORED,1,TOLD,8,0.516023,0.619659,0.057649,0.640397,3.612163,0.177289,0.539105,-0.023082
p027578,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and destroy something and decided to,3,False,UNMOORED,UNMOORED,0,NONE,11,0.60395,0.785523,0.075025,0.785523,6.039503,0.130064,0.620075,-0.016125
p027579,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and destroy something and decided to,6,False,UNMOORED,UNMOORED,1,TOLD,15,0.565071,0.718864,0.088039,0.809068,7.910991,0.102271,0.612567,-0.047496
p027580,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and destroy something and decided to,8,False,SHIFTS,SHIFTS,1,TOLD,15,0.575148,0.68086,0.067299,0.761363,8.052069,0.094555,0.589686,-0.014539
p027581,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and destroy something and decided to,11,False,UNMOORED,UNMOORED,0,NONE,12,0.49699,0.581174,0.06703,0.6553,5.466892,0.119867,0.524103,-0.027112
p027582,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and destroy something and decided to,12,False,HOLDS,HOLDS,1,TOLD,6,0.503105,0.525016,0.018563,0.630477,2.515523,0.250634,0.491875,0.011229
p027583,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to create something and destroy something and decided to,19,False,SHIFTS,SHIFTS,0,NONE,12,0.483742,0.579005,0.066398,0.662789,5.321165,0.124557,0.533252,-0.04951
p027584,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,1,False,UNMOORED,SHIFTS,0,NONE,13,0.50017,0.708464,0.125873,0.81714,6.002041,0.136144,0.555018,-0.054848
p027585,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,2,False,UNMOORED,SHIFTS,0,NONE,8,0.606167,0.7257,0.089296,0.750638,4.243171,0.176905,0.598488,0.00768
p027586,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,4,False,UNMOORED,UNMOORED,1,TOLD,17,0.572794,0.686983,0.069232,0.772449,9.1647,0.084285,0.574495,-0.001702
p027587,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,6,False,UNMOORED,UNMOORED,1,TOLD,10,0.58166,0.654788,0.05248,0.699131,5.234941,0.133551,0.5523,0.02936
p027588,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,8,True,HOLDS,HOLDS,1,TOLD,18,0.489135,0.658217,0.074251,0.677992,8.315302,0.081535,0.482624,0.006512
p027589,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,10,False,UNMOORED,UNMOORED,0,NONE,8,0.528093,0.716778,0.170502,0.813224,3.696653,0.219989,0.59533,-0.067236
p027590,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,11,False,HOLDS,HOLDS,2,SHOWN,11,0.516905,0.5917,0.045033,0.6698,5.169052,0.129579,0.539155,-0.02225
p027591,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,14,False,HOLDS,HOLDS,1,TOLD,6,0.546013,0.582081,0.029257,0.641978,2.730064,0.235151,0.545741,0.000272
p027592,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy and ruin at once and decided to,18,False,UNMOORED,UNMOORED,1,TOLD,13,0.450219,0.604977,0.087412,0.701791,5.40263,0.129898,0.479591,-0.029371
p027593,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy something and decided to,0,False,SHIFTS,SHIFTS,1,TOLD,14,0.46492,0.602802,0.075084,0.712168,6.043965,0.117831,0.524379,-0.059459
p027594,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy something and decided to,3,False,UNMOORED,SHIFTS,0,NONE,14,0.487536,0.664599,0.101698,0.732006,6.337966,0.115495,0.531819,-0.044284
p027595,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy something and decided to,5,False,UNMOORED,UNMOORED,0,NONE,6,0.577956,0.639714,0.052342,0.733019,2.88978,0.253659,0.621148,-0.043192
p027596,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy something and decided to,7,False,UNMOORED,SHIFTS,1,TOLD,16,0.511411,0.704521,0.129471,0.7563,7.671158,0.09859,0.575978,-0.064568
p027597,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy something and decided to,10,False,UNMOORED,UNMOORED,1,TOLD,10,0.559423,0.72057,0.138674,0.779447,5.034805,0.154812,0.623244,-0.063821
p027598,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy something and decided to,14,False,SHIFTS,SHIFTS,0,NONE,12,0.52566,0.761888,0.133898,0.761888,5.782259,0.131763,0.566131,-0.040472
p027599,m-a-p/neo_7b,base,m-a-p/neo_7b,She wanted to destroy something and decided to,18,False,UNMOORED,UNMOORED,1,TOLD,13,0.469863,0.687853,0.129327,0.759335,5.638357,0.134673,0.509103,-0.03924
p027600,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and a woman and she wanted to,3,False,UNMOORED,SHIFTS,1,TOLD,20,0.633865,0.736871,0.095982,0.757959,12.043432,0.062935,0.574649,0.059216
p027601,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and a woman and she wanted to,5,False,HOLDS,HOLDS,0,NONE,18,0.491136,0.594593,0.057463,0.752676,8.349317,0.090148,0.545125,-0.053988
p027602,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and a woman and she wanted to,7,False,SHIFTS,SHIFTS,0,NONE,12,0.557674,0.662825,0.084227,0.756648,6.134412,0.123345,0.549141,0.008532
p027603,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and a woman and she wanted to,9,True,HOLDS,HOLDS,2,TOLD,19,0.457777,0.613934,0.09458,0.672567,8.23998,0.081622,0.508876,-0.0511
p027604,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and a woman and she wanted to,11,False,UNMOORED,UNMOORED,1,TOLD,4,0.452521,0.551315,0.079028,0.562255,1.357564,0.414165,0.47986,-0.027339
p027605,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and a woman and she wanted to,12,False,SHIFTS,UNMOORED,1,TOLD,15,0.568358,0.717739,0.084192,0.719314,7.957009,0.0904,0.56752,0.000837
p027606,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and a woman and she wanted to,14,False,UNMOORED,UNMOORED,1,TOLD,16,0.529634,0.703299,0.115129,0.829947,7.944509,0.104468,0.634958,-0.105324
p027607,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,2,False,UNMOORED,UNMOORED,0,NONE,8,0.622494,0.682282,0.081118,0.747841,4.357457,0.171623,0.628091,-0.005597
p027608,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,5,False,HOLDS,HOLDS,3,TOLD,15,0.490756,0.642353,0.070819,0.763636,6.870584,0.111146,0.514838,-0.024082
p027609,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,7,True,HOLDS,HOLDS,3,SHOWN,9,0.407947,0.488917,0.066589,0.595302,3.263578,0.182408,0.46415,-0.056203
p027610,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,8,False,UNMOORED,UNMOORED,1,TOLD,12,0.571245,0.716286,0.101076,0.754344,6.283691,0.120048,0.596091,-0.024847
p027611,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,9,True,HOLDS,HOLDS,2,TOLD,11,0.536209,0.581113,0.041843,0.73784,5.362091,0.137603,0.577794,-0.041585
p027612,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,13,False,HOLDS,HOLDS,0,NONE,2,,,,,,,,
p027613,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,15,False,HOLDS,HOLDS,0,NONE,12,0.546065,0.646015,0.094958,0.669274,6.006715,0.111421,0.529837,0.016228
p027614,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,16,False,UNMOORED,UNMOORED,1,TOLD,12,0.52122,0.655424,0.090732,0.655424,5.733424,0.114316,0.521342,-0.000122
p027615,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,17,True,HOLDS,HOLDS,1,TOLD,11,0.487737,0.617609,0.077792,0.689939,4.877371,0.141457,0.538666,-0.050929
p027616,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a man and she wanted to,19,False,HOLDS,HOLDS,1,TOLD,22,0.463612,0.662636,0.085271,0.692107,9.735863,0.071088,0.487254,-0.023642
p027617,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,0,False,SHIFTS,UNMOORED,1,TOLD,12,0.555428,0.664667,0.087947,0.731196,6.109704,0.119678,0.574311,-0.018883
p027618,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,2,False,UNMOORED,UNMOORED,0,NONE,9,0.494808,0.634667,0.089888,0.681482,3.958466,0.172158,0.531259,-0.036451
p027619,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,6,True,HOLDS,HOLDS,1,TOLD,18,0.57433,0.702017,0.078534,0.720456,9.763611,0.07379,0.558112,0.016218
p027620,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,7,False,SHIFTS,SHIFTS,1,TOLD,12,0.405933,0.639023,0.107131,0.66269,4.465268,0.14841,0.499194,-0.09326
p027621,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,9,False,UNMOORED,UNMOORED,0,NONE,9,0.574154,0.668102,0.075302,0.792773,4.593231,0.172596,0.642411,-0.068258
p027622,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,12,False,SHIFTS,SHIFTS,1,TOLD,17,0.454294,0.618546,0.086839,0.746221,7.268704,0.102662,0.512002,-0.057708
p027623,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,13,False,SHIFTS,SHIFTS,0,NONE,12,0.477858,0.681722,0.095809,0.74105,5.256438,0.14098,0.527755,-0.049897
p027624,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,15,True,HOLDS,HOLDS,2,TOLD,10,0.422862,0.588787,0.111147,0.63806,3.805756,0.167657,0.486295,-0.063433
p027625,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,16,True,HOLDS,HOLDS,3,SHOWN,12,0.444483,0.616092,0.106903,0.718731,4.889318,0.147,0.51242,-0.067937
p027626,m-a-p/neo_7b,base,m-a-p/neo_7b,She was a woman and she wanted to,19,True,SHIFTS,SHIFTS,1,TOLD,21,0.522338,0.740537,0.107872,0.741839,10.446759,0.071011,0.552277,-0.029939
p027627,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,0,False,UNMOORED,UNMOORED,1,TOLD,15,0.585193,0.794266,0.112046,0.794266,8.1927,0.096948,0.585686,-0.000493
p027628,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,4,False,SHIFTS,UNMOORED,1,TOLD,14,0.511984,0.636989,0.089549,0.724246,6.655791,0.108814,0.568266,-0.056282
p027629,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,7,False,UNMOORED,UNMOORED,0,NONE,14,0.502272,0.715861,0.135034,0.816747,6.52954,0.125085,0.592958,-0.090685
p027630,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,8,False,SHIFTS,SHIFTS,1,TOLD,11,0.486323,0.656884,0.077908,0.719877,4.86323,0.148024,0.544805,-0.058482
p027631,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,10,True,HOLDS,HOLDS,1,TOLD,10,0.541315,0.661941,0.06571,0.701426,4.871834,0.143976,0.560301,-0.018986
p027632,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,11,False,SHIFTS,SHIFTS,1,TOLD,14,0.530341,0.638635,0.084824,0.651877,6.894428,0.094551,0.544683,-0.014342
p027633,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,13,False,UNMOORED,UNMOORED,1,TOLD,4,0.546337,0.664449,0.084543,0.664449,1.63901,0.405397,0.571792,-0.025455
p027634,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,16,False,UNMOORED,UNMOORED,2,TOLD,15,0.47756,0.635913,0.111822,0.783834,6.685835,0.117238,0.574025,-0.096466
p027635,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and devoted to him and she began to,17,False,UNMOORED,UNMOORED,1,TOLD,20,0.541917,0.68086,0.073512,0.77401,10.29642,0.075173,0.560933,-0.019016
p027636,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and unfaithful to him and she began to,2,False,SHIFTS,UNMOORED,1,TOLD,16,0.460879,0.710881,0.107491,0.73802,6.913188,0.106755,0.552772,-0.091893
p027637,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and unfaithful to him and she began to,3,False,HOLDS,HOLDS,1,TOLD,14,0.468342,0.593559,0.103683,0.664988,6.088444,0.109221,0.510881,-0.04254
p027638,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and unfaithful to him and she began to,8,False,UNMOORED,UNMOORED,1,TOLD,11,0.502441,0.584807,0.061291,0.722372,5.024414,0.143772,0.563594,-0.061153
p027639,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and unfaithful to him and she began to,12,False,UNMOORED,UNMOORED,1,TOLD,6,0.521927,0.675159,0.113736,0.738396,2.609637,0.28295,0.61148,-0.089553
p027640,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and unfaithful to him and she began to,16,False,HOLDS,HOLDS,1,TOLD,19,0.374312,0.729407,0.160313,0.729407,6.737617,0.108259,0.448283,-0.07397
p027641,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and unfaithful to him and she began to,17,False,UNMOORED,UNMOORED,0,NONE,15,0.552597,0.707048,0.116793,0.765637,7.736356,0.098966,0.588545,-0.035948
p027642,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful and unfaithful to him and she began to,19,False,UNMOORED,UNMOORED,1,TOLD,10,0.547593,0.644513,0.077299,0.745575,4.928335,0.151283,0.608707,-0.061114
p027643,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful to him and she began to,0,False,UNMOORED,UNMOORED,1,TOLD,13,0.512758,0.710095,0.144973,0.759213,6.153096,0.123387,0.557912,-0.045154
p027644,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful to him and she began to,2,False,UNMOORED,UNMOORED,1,TOLD,19,0.503699,0.68713,0.099485,0.72062,9.066586,0.079481,0.578337,-0.074638
p027645,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful to him and she began to,5,False,UNMOORED,UNMOORED,0,NONE,12,0.580777,0.696982,0.074377,0.715469,6.38855,0.111992,0.606499,-0.025722
p027646,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful to him and she began to,7,False,UNMOORED,UNMOORED,1,TOLD,23,0.479022,0.643791,0.079546,0.78639,10.538491,0.074621,0.540849,-0.061827
p027647,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful to him and she began to,13,False,SHIFTS,SHIFTS,2,TOLD,13,0.483999,0.604536,0.074892,0.678455,5.807994,0.116814,0.535329,-0.05133
p027648,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful to him and she began to,14,False,HOLDS,HOLDS,1,TOLD,18,0.483129,0.610372,0.120084,0.742547,8.213194,0.090409,0.530441,-0.047312
p027649,m-a-p/neo_7b,base,m-a-p/neo_7b,She was faithful to him and she began to,18,False,HOLDS,SHIFTS,1,TOLD,11,0.473591,0.639936,0.08849,0.639936,4.735908,0.135124,0.528125,-0.054534
p027650,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,2,False,HOLDS,HOLDS,2,TOLD,10,0.48173,0.602031,0.086299,0.699566,4.33557,0.161355,0.501206,-0.019476
p027651,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,3,False,HOLDS,HOLDS,1,TOLD,7,0.542069,0.657531,0.083239,0.657531,3.252415,0.202167,0.555417,-0.013348
p027652,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,5,False,HOLDS,HOLDS,2,TOLD,8,0.511148,0.642943,0.088268,0.682927,3.578036,0.190866,0.527024,-0.015876
p027653,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,6,False,SHIFTS,SHIFTS,1,TOLD,7,0.485662,0.624735,0.082113,0.72176,2.913974,0.247689,0.535918,-0.050255
p027654,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,8,False,UNMOORED,UNMOORED,1,TOLD,18,0.548138,0.673916,0.083681,0.717479,9.318352,0.076996,0.543801,0.004338
p027655,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,17,False,HOLDS,SHIFTS,1,TOLD,9,0.570319,0.69563,0.093531,0.738468,4.562552,0.161854,0.595704,-0.025385
p027656,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,18,False,HOLDS,HOLDS,1,TOLD,14,0.478926,0.607932,0.073464,0.677258,6.226041,0.108778,0.537152,-0.058226
p027657,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and culpable and she began to,19,False,SHIFTS,SHIFTS,1,TOLD,9,0.486863,0.552816,0.063944,0.69202,3.894906,0.177673,0.519041,-0.032177
p027658,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,1,False,HOLDS,HOLDS,1,TOLD,15,0.513857,0.599902,0.052629,0.616004,7.194,0.085627,0.495861,0.017996
p027659,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,2,False,HOLDS,HOLDS,0,NONE,13,0.488627,0.602863,0.091886,0.642172,5.863524,0.10952,0.520751,-0.032124
p027660,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,3,True,HOLDS,HOLDS,2,SHOWN,14,0.506934,0.641636,0.06754,0.746135,6.590138,0.11322,0.55912,-0.052186
p027661,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,7,False,SHIFTS,UNMOORED,0,NONE,28,0.465457,0.689546,0.164019,0.765224,12.567339,0.06089,0.555809,-0.090352
p027662,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,11,False,SHIFTS,SHIFTS,0,NONE,12,0.554946,0.721195,0.085227,0.753923,6.104411,0.123505,0.588407,-0.033461
p027663,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,12,False,HOLDS,SHIFTS,1,TOLD,14,0.488003,0.679086,0.089748,0.6981,6.34404,0.11004,0.524323,-0.03632
p027664,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,13,False,SHIFTS,SHIFTS,2,TOLD,22,0.542398,0.737566,0.116944,0.737566,11.390367,0.064754,0.564279,-0.021881
p027665,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,17,False,SHIFTS,SHIFTS,1,TOLD,17,0.445516,0.612196,0.093398,0.699378,7.128249,0.098114,0.518613,-0.073097
p027666,m-a-p/neo_7b,base,m-a-p/neo_7b,She was guilty and she began to,18,False,SHIFTS,SHIFTS,2,TOLD,8,0.496135,0.643382,0.073783,0.643382,3.472947,0.185255,0.494229,0.001906
p027846,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,0,False,HOLDS,HOLDS,3,SHOWN,10,0.465574,0.559535,0.053577,0.635693,4.19017,0.151711,0.49877,-0.033195
p027847,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,1,True,HOLDS,HOLDS,2,SHOWN,13,0.445004,0.654927,0.08961,0.704452,5.340045,0.131919,0.468325,-0.023322
p027848,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,4,False,UNMOORED,UNMOORED,0,NONE,4,0.51472,0.587777,0.102258,0.620393,1.544161,0.401767,0.556441,-0.041721
p027849,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,6,False,SHIFTS,SHIFTS,0,NONE,12,0.48069,0.64111,0.104318,0.64111,5.287593,0.121248,0.498313,-0.017623
p027850,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,7,True,HOLDS,HOLDS,2,TOLD,16,0.462973,0.594753,0.068759,0.634138,6.944589,0.091314,0.505954,-0.042982
p027851,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,8,False,SHIFTS,SHIFTS,1,TOLD,12,0.524964,0.637473,0.072117,0.655363,5.774609,0.11349,0.547322,-0.022358
p027852,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,9,True,HOLDS,SHIFTS,1,TOLD,14,0.486945,0.601267,0.05906,0.673086,6.33028,0.106328,0.504829,-0.017884
p027853,m-a-p/neo_7b_instruct_v0.1,aligned,m-a-p/neo_7b,He hated her and despised her and wanted to,14,False,SHIFTS,HOLDS,2,TOLD,8,0.492274,0.625875,0.076796,0.690774,3.445916,0.200462,0.527666,-0.035392
