model,lineage,op,stage_rank,depth,in_roster,condition,p_first,p_I,p_think,ok,note
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B-Base,base,0,0,1,bare_chat,0.522099,0.33346,0,1,
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B-Base,base,0,0,1,bare_raw,0.034353,0.025914,0.00134,1,
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B-Base,base,0,0,1,pseudo,0.61859,0.342635,,1,
openbmb/MiniCPM5-1B-SFT,openbmb/MiniCPM5-1B-Base,sft,1,1,1,bare_chat,0,0.0,0.995309,0,reasoning slot: next word is <think>
openbmb/MiniCPM5-1B-SFT,openbmb/MiniCPM5-1B-Base,sft,1,1,1,bare_raw,0.047813,0.037561,0,1,
openbmb/MiniCPM5-1B-SFT,openbmb/MiniCPM5-1B-Base,sft,1,1,1,pseudo,0.028573,0.019594,,1,
stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-1_6b,base,0,0,1,pseudo,0.541512,0.236375,,1,
stabilityai/stablelm-2-1_6b-chat,stabilityai/stablelm-2-1_6b,dpo,2,1,1,pseudo,0.945632,0.435872,,1,
stabilityai/stablelm-2-zephyr-1_6b,stabilityai/stablelm-2-1_6b,dpo,2,1,1,pseudo,0.741825,0.468858,,1,
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,team-hatakeyama-phase2/Tanuki-8B-base-v1.0,base,0,0,1,pseudo,0.694238,0.60068,,1,
weblab-GENIAC/Tanuki-8B-dpo-v1.0,team-hatakeyama-phase2/Tanuki-8B-base-v1.0,instruct,2,1,1,pseudo,0.960452,0.940027,,1,
tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Base,base,0,0,1,pseudo,0.526469,0.334562,,1,
tiiuae/Falcon-H1-1.5B-Instruct,tiiuae/Falcon-H1-1.5B-Base,instruct,2,1,1,pseudo,0.655873,0.576205,,1,
tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Base,scale,,0,1,pseudo,0.61333,0.448232,,1,
tiiuae/Falcon-H1-7B-Instruct,tiiuae/Falcon-H1-7B-Base,scale,,1,1,pseudo,0.888743,0.851751,,1,
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,0,0,1,pseudo,0.595214,0.438046,,1,
tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Base,instruct,2,1,1,pseudo,0.550568,0.545932,,1,
tiiuae/falcon-7b,tiiuae/falcon-7b,base,0,0,1,pseudo,0.550175,0.25536,,1,
tiiuae/falcon-7b-instruct,tiiuae/falcon-7b,sft,1,1,1,pseudo,0.584011,0.559823,,1,
tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b,base,0,0,1,pseudo,0.673586,0.53553,,1,
tiiuae/falcon-mamba-7b-instruct,tiiuae/falcon-mamba-7b,sft,1,1,1,pseudo,0.753306,0.684238,,1,
togethercomputer/RedPajama-INCITE-7B-Chat,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,sft,1,2,1,pseudo,0.337809,0.318354,,1,
togethercomputer/RedPajama-INCITE-7B-Instruct,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,sft,1,1,1,pseudo,0.402,0.205267,,1,
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,0,0,1,pseudo,0.615387,0.331196,,1,
zai-org/glm-4-9b-chat-hf,zai-org/glm-4-9b-hf,instruct,2,1,1,pseudo,0.956255,0.9113,,1,
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-hf,base,0,0,1,pseudo,0.619312,0.267941,,1,
