Word	Length	Pinyin	Pinyin.Input	WCount	W.million	log10W	W-CD	W-CD%	log10CD	Dominant.PoS	Dominant.PoS.Freq	All.PoS	All.PoS.Freq	Eng.Tran.
摩狄凯	3	ma1/mo2 di2 kai3	modikai	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
教廷	2	jiao4 ting2	jiaoting	33	0.98	1.5185	17	0.27	1.2304	n	33	.n.	.33.	the Papacy/the Vatican/the Church government/Holy See
散文	2	san3 wen2	sanwen	33	0.98	1.5185	27	0.43	1.4314	n	33	.n.	.33.	prose/essay
斯皮特	3	si1 pi2 te4	sipite	33	0.98	1.5185	2	0.03	0.301	nr	33	.nr.	.33.	#
斯蒂文	3	si1 di4 wen2	sidiwen	33	0.98	1.5185	10	0.16	1	nr	33	.nr.	.33.	#
新房	2	xin1 fang2	xinfang	33	0.98	1.5185	31	0.5	1.4914	n	33	.n.	.33.	brand new house/bridal chamber
新鲜感	3	xin1 xian1/xian3 gan3	xinxiangan	33	0.98	1.5185	28	0.45	1.4472	n	33	.n.	.33.	#
无家可归者	5	mo2/wu2 jia1/jia5/jie5 ke3/ke4 gui1 zhe3	wujiakeguizhe	33	0.98	1.5185	26	0.42	1.415	n	33	.n.	.33.	#
无性	2	wu2 xing4	wuxing	33	0.98	1.5185	19	0.3	1.2788	b	32	.b.d.	.32.1.	sexless/asexual (reproduction)
旧式	2	jiu4 shi4	jiushi	33	0.98	1.5185	30	0.48	1.4771	b	33	.b.	.33.	old style
时而	2	shi2 er2	shier	33	0.98	1.5185	17	0.27	1.2304	d	33	.d.	.33.	"occasionally/often, but not at fixed times"
昆廷	2	kun1 ting2	kunting	33	0.98	1.5185	5	0.08	0.699	nr	33	.nr.	.33.	#
易拉罐	3	yi4 la1 guan4	yilaguan	33	0.98	1.5185	20	0.32	1.301	n	33	.n.	.33.	pull-top can/easy-open can (with ring-pull)
春卷	2	chun1 juan3	chunjuan	33	0.98	1.5185	24	0.38	1.3802	n	33	.n.	.33.	egg roll/spring roll
春梦	2	chun1 meng4	chunmeng	33	0.98	1.5185	23	0.37	1.3617	n	33	.n.	.33.	#
暮	1	mu4	mu	33	0.98	1.5185	27	0.43	1.4314	tg	24	.tg.g.	.24.9.	evening/sunset
曾几何时	4	ceng2 ji3 he2 shi2	cengjiheshi	33	0.98	1.5185	29	0.46	1.4624	l	33	.l.	.33.	just a while before/not so long ago/everyone can remember when..
替死鬼	3	ti4 si3 gui3	tisigui	33	0.98	1.5185	27	0.43	1.4314	n	33	.n.	.33.	person blamed for sb else's faults/scapegoat/fall-guy
有血有肉	4	you3/you4 xie3/xue4 you3/you4 rou4	youxueyourou	33	0.98	1.5185	28	0.45	1.4472	l	33	.l.	.33.	#
末期	2	mo4 qi1	moqi	33	0.98	1.5185	31	0.5	1.4914	f	33	.f.	.33.	end (of a period)/last part/final phase
朱尔	2	zhu1 er3	zhuer	33	0.98	1.5185	3	0.05	0.4771	nr	33	.nr.	.33.	#
机修	2	ji1 xiu1	jixiu	33	0.98	1.5185	20	0.32	1.301	v	26	.v.vn.	.26.7.	#
机械人	3	ji1 xie4 ren2	jixieren	33	0.98	1.5185	17	0.27	1.2304	n	33	.n.	.33.	#
杂音	2	za2 yin1	zayin	33	0.98	1.5185	29	0.46	1.4624	n	33	.n.	.33.	noise
杜威恩	3	du4 wei1 en1	duweien	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
松散	2	song1 san5	songsan	33	0.98	1.5185	31	0.5	1.4914	a	33	.a.	.33.	to relax/loose/not consolidated/not rigorous
松枝	2	song1 zhi1	songzhi	33	0.98	1.5185	5	0.08	0.699	n	33	.n.	.33.	#
林中	2	lin2 zhong1/zhong4	linzhong	33	0.98	1.5185	27	0.43	1.4314	s	33	.s.	.33.	#
栓塞	2	shuan1 se4	shuansai	33	0.98	1.5185	19	0.3	1.2788	n	33	.n.	.33.	thrombosis
校方	2	jiao4/xiao4 fang1	xiaofang	33	0.98	1.5185	26	0.42	1.415	n	33	.n.	.33.	#
格雷丝	3	ge1/ge2 lei2 si1	geleisi	33	0.98	1.5185	6	0.1	0.7782	nr	33	.nr.	.33.	#
棺	1	guan1	guan	33	0.98	1.5185	29	0.46	1.4624	g	33	.g.	.33.	coffin
横冲直撞	4	heng2 chong1 zhi2 zhuang4	hengchongzhizhuang	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	lit. bashing sideways and colliding straight on (idiom);  to push through shoving and bumping/to barge/to charge around violently
欢欣鼓舞	4	huan1 xin1 gu3 wu3	huanxinguwu	33	0.98	1.5185	23	0.37	1.3617	v	33	.v.	.33.	elated and excited (idiom); overjoyed
武田	2	wu3 tian2	wutian	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
每家	2	mei3 jia1/jia5/jie5	meijia	33	0.98	1.5185	32	0.51	1.5051	r	33	.r.	.33.	#
毒理	2	du2 li3	duli	33	0.98	1.5185	25	0.4	1.3979	n	33	.n.	.33.	#
氧气瓶	3	yang3 qi4 ping2	yangqiping	33	0.98	1.5185	16	0.26	1.2041	n	33	.n.	.33.	#
汇集	2	hui4 ji2	huiji	33	0.98	1.5185	29	0.46	1.4624	v	33	.v.	.33.	to collect/to compile/to converge
汉密尔顿	4	Han4 mi4 er3 dun4	hanmierdun	33	0.98	1.5185	18	0.29	1.2553	nr	20	.nr.ns.	.20.13.	Hamilton (name)
沃勒	2	wo4 le4/lei1	wole	33	0.98	1.5185	3	0.05	0.4771	nr	33	.nr.	.33.	#
沉默寡言	4	chen2 mo4 gua3 yan2	chenmoguayan	33	0.98	1.5185	29	0.46	1.4624	v	33	.v.	.33.	habitually silent (idiom)/reticent/uncommunicative
波恩	2	Bo1 en1	boen	33	0.98	1.5185	23	0.37	1.3617	ns	33	.ns.	.33.	"Bonn, a small town on the Rhine, Cold War capital of West Germany 1949-1990"
注明	2	zhu4 ming2	zhuming	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	#
泻药	2	xie4 yao4	xieyao	33	0.98	1.5185	30	0.48	1.4771	n	33	.n.	.33.	laxative
洁西	2	jie2 xi1	jiexi	33	0.98	1.5185	3	0.05	0.4771	nr	33	.nr.	.33.	#
涌入	2	chong1/yong3 ru4	yongru	33	0.98	1.5185	33	0.53	1.5185	v	33	.v.	.33.	#
深海	2	shen1 hai3	shenhai	33	0.98	1.5185	23	0.37	1.3617	n	33	.n.	.33.	#
温布尔	3	wen1 bu4 er3	wenbuer	33	0.98	1.5185	9	0.14	0.9542	nr	33	.nr.	.33.	#
溶化	2	rong2 hua4	ronghua	33	0.98	1.5185	27	0.43	1.4314	v	33	.v.	.33.	melt
澎湃	2	peng2 pai4	pengpai	33	0.98	1.5185	28	0.45	1.4472	v	33	.v.	.33.	to surge
火坑	2	huo3 keng1	huokeng	33	0.98	1.5185	28	0.45	1.4472	n	33	.n.	.33.	pit of fire/fig. living hell
灾害	2	zai1 hai4	zaihai	33	0.98	1.5185	20	0.32	1.301	n	33	.n.	.33.	disastrous damage/scourge
热天	2	re4 tian1	retian	33	0.98	1.5185	24	0.38	1.3802	n	33	.n.	.33.	#
热带雨林	4	re4 dai4 yu3 lin2	redaiyulin	33	0.98	1.5185	30	0.48	1.4771	n	33	.n.	.33.	tropical rain forest
热源	2	re4 yuan2	reyuan	33	0.98	1.5185	27	0.43	1.4314	n	33	.n.	.33.	heat source
煲	1	bao1	bao	33	0.98	1.5185	25	0.4	1.3979	v	33	.v.	.33.	pot or saucepan/to boil/cook or heat
爱瑞卡	3	ai4 rui4 ka3/qia3	airuika	33	0.98	1.5185	2	0.03	0.301	nr	33	.nr.	.33.	#
特立独行	4	te4 li4 du2 hang2/hang4/heng2/xing2	teliduxing	33	0.98	1.5185	29	0.46	1.4624	l	33	.l.	.33.	#
犯罪分子	4	fan4 zui4 fen1/fen4 zi3	fanzuifenzi	33	0.98	1.5185	30	0.48	1.4771	n	33	.n.	.33.	#
独角戏	3	du2 jiao3 xi4	dujiaoxi	33	0.98	1.5185	25	0.4	1.3979	n	33	.n.	.33.	monologue
猿人	2	yuan2 ren2	yuanren	33	0.98	1.5185	21	0.34	1.3222	n	33	.n.	.33.	ape man
珠穆朗玛峰	5	Zhu1 mu4 lang3 ma3 feng1	zhumulangmafeng	33	0.98	1.5185	27	0.43	1.4314	ns	33	.ns.	.33.	Mt Chomolungma or Qomolangma (Tibetan)/Mt Everest/Nepalese: Sagarmatha
球拍	2	qiu2 pai1	qiupai	33	0.98	1.5185	23	0.37	1.3617	n	33	.n.	.33.	racket
理所应当	4	li3 suo3 ying1/ying4 dang1/dang4	lisuoyingdang	33	0.98	1.5185	26	0.42	1.415	l	33	.l.	.33.	#
瓦兰特	3	wa3/wa4 lan2 te4	walante	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
生物武器	4	sheng1 wu4 wu3 qi4	shengwuwuqi	33	0.98	1.5185	20	0.32	1.301	l	33	.l.	.33.	biological weapon
田中	2	Tian2 zhong1	tianzhong	33	0.98	1.5185	12	0.19	1.0792	nr	33	.nr.	.33.	Tanaka (name)
电波	2	dian4 bo1	dianbo	33	0.98	1.5185	32	0.51	1.5051	n	33	.n.	.33.	electric wave/alternating current
电话费	3	dian4 hua4 fei4	dianhuafei	33	0.98	1.5185	30	0.48	1.4771	n	33	.n.	.33.	#
疙瘩	2	ge1 da5	geda	33	0.98	1.5185	29	0.46	1.4624	n	33	.n.	.33.	swelling or lump on skin/pimple/knot/preoccupation/problem
病入膏肓	4	bing4 ru4 gao1 huang1	bingrugaohuang	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	lit. the disease has attacked the vitals (idiom); fig. beyond cure/the situation is hopeless
相好	2	xiang1/xiang4 hao3/hao4	xianghao	33	0.98	1.5185	26	0.42	1.415	n	33	.n.	.33.	#
相干	2	xiang1/xiang4 gan1/gan4	xianggan	33	0.98	1.5185	31	0.5	1.4914	v	33	.v.	.33.	#
相比之下	4	xiang1/xiang4 bi3 zhi1 xia4	xiangbizhixia	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	#
看报	2	kan1/kan4 bao4	kanbao	33	0.98	1.5185	22	0.35	1.3424	v	33	.v.	.33.	#
眼科	2	yan3 ke1	yanke	33	0.98	1.5185	25	0.4	1.3979	n	33	.n.	.33.	opthalmology
矿物质	3	kuang4 wu4 zhi4	kuangwuzhi	33	0.98	1.5185	13	0.21	1.1139	n	33	.n.	.33.	"mineral, esp. dietary mineral"
破船	2	po4 chuan2	pochuan	33	0.98	1.5185	27	0.43	1.4314	n	33	.n.	.33.	#
硅胶	2	gui1 jiao1	guijiao	33	0.98	1.5185	24	0.38	1.3802	n	33	.n.	.33.	#
礼拜一	3	li3 bai4 yi1	libaiyi	33	0.98	1.5185	29	0.46	1.4624	t	33	.t.	.33.	#
祖宗	2	zu3 zong1	zuzong	33	0.98	1.5185	25	0.4	1.3979	n	33	.n.	.33.	ancestor/forebear
秀珍	2	xiu4 zhen1	xiuzhen	33	0.98	1.5185	6	0.1	0.7782	nr	33	.nr.	.33.	#
秽	1	hui4	hui	33	0.98	1.5185	32	0.51	1.5051	n	33	.n.	.33.	dirt/filth
税款	2	shui4 kuan3	shuikuan	33	0.98	1.5185	26	0.42	1.415	n	33	.n.	.33.	tax payments
窝心	2	wo1 xin1	woxin	33	0.98	1.5185	30	0.48	1.4771	a	33	.a.	.33.	warm; warm hearted
答谢	2	da2 xie4	daxie	33	0.98	1.5185	30	0.48	1.4771	v	26	.v.vn.	.26.7.	to express one's thanks
筛	1	shai1	shai	33	0.98	1.5185	29	0.46	1.4624	v	33	.v.	.33.	to filter/to sift/to sieve
管弦乐	3	guan3 xian2 yue4	guanxianle	33	0.98	1.5185	15	0.24	1.1761	n	33	.n.	.33.	orchestral music
精简	2	jing1 jian3	jingjian	33	0.98	1.5185	25	0.4	1.3979	v	30	.v.vn.	.30.3.	to simplify/to reduce
系主任	3	ji4/xi4 zhu3 ren2/ren4	xizhuren	33	0.98	1.5185	23	0.37	1.3617	n	33	.n.	.33.	#
红利	2	hong2 li4	hongli	33	0.98	1.5185	21	0.34	1.3222	n	33	.n.	.33.	bonus/dividend
红十字会	4	hong2 shi2 zi4 hui4	hongshizihui	33	0.98	1.5185	28	0.45	1.4472	l	33	.l.	.33.	Red Cross (international humanitarian movement)
红衣	2	gong1/hong2 yi1/yi3/yi4	hongyi	33	0.98	1.5185	19	0.3	1.2788	n	33	.n.	.33.	#
纯金	2	chun2 jin1	chunjin	33	0.98	1.5185	29	0.46	1.4624	n	33	.n.	.33.	pure gold
线路板	3	xian4 lu4 ban3	xianluban	33	0.98	1.5185	8	0.13	0.9031	n	33	.n.	.33.	#
经不起	3	jing1 bu4 qi3	jingbuqi	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	unable to bear/cannot resist/can ill afford
绝无仅有	4	jue2 wu2 jin3 you3	juewujinyou	33	0.98	1.5185	32	0.51	1.5051	l	33	.l.	.33.	one and only (idiom); rarely seen/unique of its kind
绝活	2	jue2 huo2	juehuo	33	0.98	1.5185	27	0.43	1.4314	n	33	.n.	.33.	#
维罗妮卡	4	wei2 luo1/luo2/luo5 ni1 ka3/qia3	weiluonika	33	0.98	1.5185	11	0.18	1.0414	nr	33	.nr.	.33.	#
绿叶	2	lu:4 ye4	lvye	33	0.98	1.5185	11	0.18	1.0414	n	33	.n.	.33.	green leaf
网吧	2	wang3 ba5	wangba	33	0.98	1.5185	22	0.35	1.3424	n	33	.n.	.33.	internet cafe
网球场	3	wang3 qiu2 chang3	wangqiuchang	33	0.98	1.5185	28	0.45	1.4472	n	33	.n.	.33.	tennis court
罗伦纳	3	luo1/luo2/luo5 lun2 na4	luolunna	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
翻版	2	fan1 ban3	fanban	33	0.98	1.5185	33	0.53	1.5185	n	33	.n.	.33.	to reprint/a duplicate/a clone
翻车	2	fan1 che1/ju1	fanche	33	0.98	1.5185	24	0.38	1.3802	v	29	.v.vn.	.29.4.	#
老婆婆	3	lao3 po2 po2	laopopo	33	0.98	1.5185	23	0.37	1.3617	n	33	.n.	.33.	#
耳目一新	4	er3 mu4 yi1 xin1	ermuyixin	33	0.98	1.5185	30	0.48	1.4771	l	33	.l.	.33.	#
肢	1	zhi1	zhi	33	0.98	1.5185	27	0.43	1.4314	g	33	.g.	.33.	limb
脚踏实地	4	jiao3 ta4 shi2 di4	jiaotashidi	33	0.98	1.5185	31	0.5	1.4914	v	33	.v.	.33.	to have one's feet firmly planted on the ground (idiom); realistic without flights of fancy/steady and serious character
腾空	2	teng2 kong1	tengkong	33	0.98	1.5185	23	0.37	1.3617	v	33	.v.	.33.	to take off
膀子	2	bang3 zi5	bangzi	33	0.98	1.5185	30	0.48	1.4771	n	33	.n.	.33.	upper arm/arm/wing
自私自利	4	zi4 si1 zi4 li4	zisizili	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	everything for self and selfish profit (idiom); with no regard for others/selfish/mercenary
自问	2	zi4 wen4	ziwen	33	0.98	1.5185	29	0.46	1.4624	v	32	.v.vn.	.32.1.	to ask oneself/to search one's soul/to reach a conclusion after weighing a matter
色素	2	se4 su4	sesu	33	0.98	1.5185	27	0.43	1.4314	n	33	.n.	.33.	pigment
艺妓	2	yi4 ji4	yiji	33	0.98	1.5185	14	0.22	1.1461	n	33	.n.	.33.	geisha (Japanese female entertainer)
芙蓉	2	fu2 rong2	furong	33	0.98	1.5185	12	0.19	1.0792	n	33	.n.	.33.	"hibiscus/cotton rose (Hibiscus mutabilis)/lotus/foo yung (type of omelet made of egg white)/Seremban, capital of Sembilan state, Malaysia 森美?|森美兰[Sen1 mei3 lan2]"
芬芳	2	fen1 fang1	fenfang	33	0.98	1.5185	32	0.51	1.5051	n	33	.n.	.33.	perfume/fragrant
花香	2	hua1 xiang1	huaxiang	33	0.98	1.5185	25	0.4	1.3979	n	33	.n.	.33.	fragrance of flowers
英军	2	Ying1 jun1	yingjun	33	0.98	1.5185	20	0.32	1.301	n	33	.n.	.33.	British army
英曼	2	ying1 man4	yingman	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
草案	2	cao3 an4	caoan	33	0.98	1.5185	30	0.48	1.4771	n	33	.n.	.33.	"draft (legislation, proposal etc)"
药瓶	2	yao4 ping2	yaoping	33	0.98	1.5185	26	0.42	1.415	n	33	.n.	.33.	medicine bottle
药都	2	yao4 dou1/du1	yaodu	33	0.98	1.5185	33	0.53	1.5185	n	33	.n.	.33.	#
莱尔德	3	lai2 er3 de2	laierde	33	0.98	1.5185	5	0.08	0.699	nr	33	.nr.	.33.	#
萨德曼	3	sa4 de2 man4	sademan	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
萨特菲尔德	5	sa4 te4 fei1/fei3 er3 de2	satefeierde	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
葛芮	2	ge2/ge3 rui4	gerui	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
葵	1	kui2	kui	33	0.98	1.5185	11	0.18	1.0414	g	33	.g.	.33.	sunflower
蒂莫西	3	di4 mo4 xi1	dimoxi	33	0.98	1.5185	6	0.1	0.7782	nr	33	.nr.	.33.	#
蒙大拿州	4	Meng2 da4 na2 zhou1	mengdanazhou	33	0.98	1.5185	23	0.37	1.3617	ns	33	.ns.	.33.	"Montana, US state"
蓟	1	ji4	ji	33	0.98	1.5185	23	0.37	1.3617	n	33	.n.	.33.	cirsium/thistle/surname Ji
蚊帐	2	wen2 zhang4	wenzhang	33	0.98	1.5185	12	0.19	1.0792	n	33	.n.	.33.	mosquito net
蜇	1	zhe1/zhe2	zhe	33	0.98	1.5185	20	0.32	1.301	v	33	.v.	.33.	to sting; jellyfish
蜕变	2	tui4 bian4	tuibian	33	0.98	1.5185	26	0.42	1.415	v	28	.v.vn.	.28.5.	to change form/to change qualitatively/to transform/to undergo transformation/to morph/to degenerate/metamorphosis/transmutation/transformation/degeneration/decay
螺栓	2	luo2 shuan1	luoshuan	33	0.98	1.5185	20	0.32	1.301	n	33	.n.	.33.	bolt (male component of nut and bolt)/screw
血肿	2	xue4 zhong3	xuezhong	33	0.98	1.5185	29	0.46	1.4624	n	33	.n.	.33.	hematoma/swelling of soft tissue due to internal hemorrage
行话	2	hang2 hua4	xinghua	33	0.98	1.5185	29	0.46	1.4624	n	33	.n.	.33.	jargon/language of the trade
补丁	2	bu3 ding1	buding	33	0.98	1.5185	28	0.45	1.4472	n	33	.n.	.33.	patch
衰弱	2	shuai1 ruo4	shuairuo	33	0.98	1.5185	31	0.5	1.4914	a	21	.a.an.	.21.12.	weak/feeble
袖口	2	xiu4 kou3	xiukou	33	0.98	1.5185	28	0.45	1.4472	n	33	.n.	.33.	cuff
被俘	2	bei4 fu2	beifu	33	0.98	1.5185	25	0.4	1.3979	v	27	.v.vn.	.27.6.	#
西北部	3	Xi1 bei3 bu4	xibeibu	33	0.98	1.5185	29	0.46	1.4624	f	33	.f.	.33.	northwest part
见谅	2	jian4/xian4 liang4	jianliang	33	0.98	1.5185	31	0.5	1.4914	v	33	.v.	.33.	#
观察力	3	guan1 cha2 li4	guanchali	33	0.98	1.5185	32	0.51	1.5051	n	33	.n.	.33.	power of observation/perception
观察员	3	guan1 cha2 yuan2	guanchayuan	33	0.98	1.5185	17	0.27	1.2304	n	33	.n.	.33.	observer
詹妮佛	3	zhan1 ni1 fo2/fu2	zhannifo	33	0.98	1.5185	5	0.08	0.699	nr	33	.nr.	.33.	#
让给	2	rang4 gei3/ji3	ranggei	33	0.98	1.5185	33	0.53	1.5185	v	33	.v.	.33.	#
设防	2	she4 fang2	shefang	33	0.98	1.5185	29	0.46	1.4624	v	23	.v.vn.	.23.10.	to set up defenses/to fortify
详尽	2	xiang2 jin4	xiangjin	33	0.98	1.5185	33	0.53	1.5185	a	31	.a.ad.	.31.2.	thorough and detailed/exhaustive/the tedious details in full
诬蔑	2	wu1 mie4	wumie	33	0.98	1.5185	29	0.46	1.4624	v	33	.v.	.33.	slander/smear/to vilify
请愿	2	qing3 yuan4	qingyuan	33	0.98	1.5185	20	0.32	1.301	v	22	.v.vn.	.22.11.	petition (for action to be taken)
调研	2	diao4/tiao2 yan2/yan4	diaoyan	33	0.98	1.5185	28	0.45	1.4472	vn	22	.vn.v.	.22.11.	#
调遣	2	diao4/tiao2 qian3	diaoqian	33	0.98	1.5185	28	0.45	1.4472	v	26	.v.vn.	.26.7.	#
谢尔曼	3	xie4 er3 man4	xieerman	33	0.98	1.5185	18	0.29	1.2553	nr	33	.nr.	.33.	#
贵姓	2	gui4 xing4	guixing	33	0.98	1.5185	31	0.5	1.4914	n	33	.n.	.33.	what is your name?
贾森	2	gu3/jia3 sen1	jiasen	33	0.98	1.5185	2	0.03	0.301	nr	33	.nr.	.33.	#
赠与	2	zeng4 yu2/yu3/yu4	zengyu	33	0.98	1.5185	19	0.3	1.2788	v	33	.v.	.33.	#
赤字	2	chi4 zi4	chizi	33	0.98	1.5185	25	0.4	1.3979	n	33	.n.	.33.	(financial) deficit
赤脚	2	chi4 jiao3	chijiao	33	0.98	1.5185	29	0.46	1.4624	n	32	.n.v.	.32.1.	barefoot
起劲	2	qi3 jin4	qijin	33	0.98	1.5185	33	0.53	1.5185	a	33	.a.	.33.	vigorously/energetically/enthusiastically
足智多谋	4	zu2 zhi4 duo1 mou2	zuzhiduomou	33	0.98	1.5185	30	0.48	1.4771	v	33	.v.	.33.	resourceful/full of stratagems
路牌	2	lu4 pai2	lupai	33	0.98	1.5185	25	0.4	1.3979	n	33	.n.	.33.	#
转发	2	zhuan3 fa1	zhuanfa	33	0.98	1.5185	21	0.34	1.3222	v	33	.v.	.33.	"to transmit/forwarding (mail, SMS, packets of data)/to pass on/to reprint (an article from another publication)"
辩称	2	bian4 chen4/cheng1/cheng4	biancheng	33	0.98	1.5185	18	0.29	1.2553	v	33	.v.	.33.	#
辩驳	2	bian4 bo2	bianbo	33	0.98	1.5185	30	0.48	1.4771	v	33	.v.	.33.	to dispute/to refute
达文波特	4	da2 wen2 bo1 te4	dawenbote	33	0.98	1.5185	9	0.14	0.9542	nr	33	.nr.	.33.	#
迄今	2	qi4 jin1	qijin	33	0.98	1.5185	31	0.5	1.4914	d	33	.d.	.33.	so far/to date/until now
过门	2	guo1/guo4 men2	guomen	33	0.98	1.5185	30	0.48	1.4771	v	31	.v.vn.	.31.2.	#
进退	2	jin4 tui4	jintui	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	to advance or retreat/knowing when to come and when to leave/a sense of propriety
迪格比	3	di2 ge1/ge2 bi3	digebi	33	0.98	1.5185	7	0.11	0.8451	nr	33	.nr.	.33.	#
迫在眉睫	4	po4 zai4 mei2 jie2	pozaimeijie	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	pressing in on one's eyelashes (idiom); imminent
送达	2	song4 da2	songda	33	0.98	1.5185	29	0.46	1.4624	v	33	.v.	.33.	to deliver/to serve notice (legal term)
逃往	2	tao2 wang3	taowang	33	0.98	1.5185	29	0.46	1.4624	v	33	.v.	.33.	to run away/to go into exile
选曲	2	xuan3 qu1/qu3	xuanqu	33	0.98	1.5185	20	0.32	1.301	n	33	.n.	.33.	#
透漏	2	tou4 lou4	toulou	33	0.98	1.5185	29	0.46	1.4624	v	33	.v.	.33.	#
造纸厂	3	zao4 zhi3 an1/chang3	zaozhichang	33	0.98	1.5185	11	0.18	1.0414	n	33	.n.	.33.	#
道光	2	Dao4 guang1	daoguang	33	0.98	1.5185	21	0.34	1.3222	nr	26	.nr.nz.	.26.7.	reign name of Qing emperor (1821-1850)
避风	2	bi4 feng1	bifeng	33	0.98	1.5185	31	0.5	1.4914	v	33	.v.	.33.	take shelter from the wind/lie low/stay away from trouble
邮购	2	you2 gou4	yougou	33	0.98	1.5185	29	0.46	1.4624	vn	17	.vn.v.	.17.16.	mail order/to purchase by mail
鄙人	2	bi3 ren2	biren	33	0.98	1.5185	23	0.37	1.3617	r	33	.r.	.33.	your humble servant/I
酒窝	2	jiu3 wo1	jiuwo	33	0.98	1.5185	20	0.32	1.301	n	33	.n.	.33.	dimple
金正日	3	Jin1 Zheng4 ri4	jinzhengri	33	0.98	1.5185	9	0.14	0.9542	nr	33	.nr.	.33.	"Kim Jong Il (1942-), the Dear Leader of North Korea"
铁道	2	tie3 dao4	tiedao	33	0.98	1.5185	19	0.3	1.2788	n	33	.n.	.33.	railway line/rail track
闹腾	2	nao4 teng2	naoteng	33	0.98	1.5185	32	0.51	1.5051	v	32	.v.vn.	.32.1.	#
阴囊	2	yin1 nang2	yinnang	33	0.98	1.5185	27	0.43	1.4314	n	33	.n.	.33.	scrotum
阴蒂	2	yin1 di4	yindi	33	0.98	1.5185	16	0.26	1.2041	n	33	.n.	.33.	clitoris
阴霾	2	yin1 mai2	yinman	33	0.98	1.5185	32	0.51	1.5051	n	33	.n.	.33.	haze
阴魂	2	yin1 hun2	yinhun	33	0.98	1.5185	33	0.53	1.5185	n	33	.n.	.33.	#
阿彻	2	a1/a5/e1 che4	ache	33	0.98	1.5185	6	0.1	0.7782	nr	33	.nr.	.33.	#
阿玛尼	3	a1/a5/e1 ma3 ni2	amani	33	0.98	1.5185	24	0.38	1.3802	nr	33	.nr.	.33.	#
阿莱克斯	4	a1/a5/e1 lai2 ke4 si1	alaikesi	33	0.98	1.5185	8	0.13	0.9031	nr	33	.nr.	.33.	#
陵	1	ling2	ling	33	0.98	1.5185	20	0.32	1.301	g	33	.g.	.33.	mound/tomb/hill/mountain
随即	2	sui2 ji2	suiji	33	0.98	1.5185	31	0.5	1.4914	d	33	.d.	.33.	immediately/presently/following which
雌激素	3	ci2 ji1 su4	cijisu	33	0.98	1.5185	21	0.34	1.3222	n	33	.n.	.33.	estrogen (oestrogen)
雷伊	2	lei2 yi1	leiyi	33	0.98	1.5185	1	0.02	0	nr	33	.nr.	.33.	#
雷纳	2	lei2 na4	leina	33	0.98	1.5185	4	0.06	0.6021	nr	33	.nr.	.33.	#
露骨	2	lou4/lu4 gu1/gu2/gu3	lugu	33	0.98	1.5185	28	0.45	1.4472	a	33	.a.	.33.	#
青梅竹马	4	qing1 mei2 zhu2 ma3	qingmeizhuma	33	0.98	1.5185	28	0.45	1.4472	l	33	.l.	.33.	green plum and bamboo hobby-horse (idiom); a couple who were friends from childhood
非暴力	3	fei1 bao4 li4	feibaoli	33	0.98	1.5185	26	0.42	1.415	n	33	.n.	.33.	nonviolent
面颊	2	mian4 jia2	mianjia	33	0.98	1.5185	28	0.45	1.4472	n	33	.n.	.33.	cheek
顶撞	2	ding3 zhuang4	dingzhuang	33	0.98	1.5185	26	0.42	1.415	v	33	.v.	.33.	contradict
预留	2	yu4 liu2	yuliu	33	0.98	1.5185	32	0.51	1.5051	v	33	.v.	.33.	#
飞溅	2	fei1 jian1/jian4	feijian	33	0.98	1.5185	30	0.48	1.4771	v	33	.v.	.33.	#
首播	2	shou3 bo1	shoubo	33	0.98	1.5185	28	0.45	1.4472	v	33	.v.	.33.	#
马尔科夫	4	ma3 er3 ke1 fu1/fu2	maerkefu	33	0.98	1.5185	4	0.06	0.6021	nr	33	.nr.	.33.	#
马背	2	ma3 bei4	mabei	33	0.98	1.5185	30	0.48	1.4771	n	33	.n.	.33.	horseback
马脚	2	ma3 jia3/jiao3/jue2	majiao	33	0.98	1.5185	31	0.5	1.4914	n	33	.n.	.33.	#
驰	1	chi2	chi	33	0.98	1.5185	18	0.29	1.2553	g	33	.g.	.33.	run fast/speed/spread/gallop
骤	1	zhou4	zhou	33	0.98	1.5185	29	0.46	1.4624	d	33	.d.	.33.	sudden/unexpected/abrupt/suddenly/Taiwan pr. zou4
