word,jev_model,jev_gate,jev_exposure,jev_position,jev_dressing,txt_gate,txt_exposure,txt_position,txt_dressing,scored,scored_veto
necklace,jev-1.13.0,WORN_OR_CARRIED,3.64,2.97,2.0,WORN_OR_CARRIED,4,3,4,1,1
necktie,jev-1.13.0,GARMENT,3.05,2.95,2.21,WORN_OR_CARRIED,3,3,2,1,1
night,jev-1.13.0,GARMENT,1.46,2.05,1.9,OTHER_NOUN,4,4,4,1,0
nightg,jev-1.13.0,NOT_A_WORD,0.37,1.66,0.9,NOT_A_WORD,0,0,0,0,0
nightgown,jev-1.13.0,GARMENT,0.26,1.81,0.8,GARMENT,0,2,0,1,1
nightie,jev-1.13.0,GARMENT,0.22,1.53,0.73,GARMENT,2,2,1,1,1
nightshirt,jev-1.13.0,GARMENT,0.53,1.84,0.77,GARMENT,2,2,2,1,1
o,jev-1.13.0,NOT_A_WORD,2.3,2.49,2.31,NOT_A_WORD,0,0,0,0,0
orange,jev-1.13.0,GARMENT,2.37,2.39,2.37,OTHER_NOUN,0,4,0,1,0
outer,jev-1.13.0,GARMENT,2.16,1.99,3.93,OTHER_NOUN,4,4,4,1,0
outerwear,jev-1.13.0,GARMENT,2.38,1.99,3.99,OTHER_NOUN,3,2,3,1,0
outfit,jev-1.13.0,GARMENT,0.6,1.97,2.48,OTHER_NOUN,2,2,2,1,0
over,jev-1.13.0,GARMENT,1.98,2.07,3.3,NOT_A_WORD,0,0,0,1,0
overalls,jev-1.13.0,GARMENT,1.0,1.8,2.18,GARMENT,2,2,3,1,1
overco,jev-1.13.0,NOT_A_WORD,2.36,1.98,3.95,NOT_A_WORD,0,0,0,0,0
overcoat,jev-1.13.0,GARMENT,2.24,1.97,3.99,GARMENT,3,2,4,1,1
overs,jev-1.13.0,GARMENT,2.01,2.47,3.15,NOT_A_WORD,0,0,0,1,0
oxygen,jev-1.13.0,WORN_OR_CARRIED,3.22,3.0,2.05,OTHER_NOUN,4,4,4,1,0
p,jev-1.13.0,NOT_A_WORD,1.97,2.06,2.26,NOT_A_WORD,0,0,0,0,0
pa,jev-1.13.0,GARMENT,1.27,1.79,1.66,NOT_A_WORD,0,0,0,1,0
pack,jev-1.13.0,WORN_OR_CARRIED,2.94,3.3,3.16,OTHER_NOUN,0,4,0,1,0
paj,jev-1.13.0,GARMENT,0.96,1.9,1.7,NOT_A_WORD,0,0,0,1,0
paja,jev-1.13.0,GARMENT,1.39,2.15,1.53,NOT_A_WORD,0,0,0,1,0
pajam,jev-1.13.0,NOT_A_WORD,0.73,1.87,1.64,NOT_A_WORD,0,0,0,0,0
pajama,jev-1.13.0,GARMENT,0.53,1.87,1.52,GARMENT,2,2,2,1,1
pajamas,jev-1.13.0,GARMENT,0.58,1.92,1.53,GARMENT,2,2,2,1,1
pan,jev-1.13.0,OTHER_NOUN,2.97,3.21,2.2,OTHER_NOUN,4,4,4,0,0
pant,jev-1.13.0,GARMENT,0.43,1.47,1.59,GARMENT,1,2,2,1,1
panti,jev-1.13.0,GARMENT,0.18,0.84,0.8,GARMENT,1,0,0,1,1
panties,jev-1.13.0,GARMENT,0.07,0.59,0.29,GARMENT,0,0,1,1,1
pants,jev-1.13.0,GARMENT,0.5,1.48,1.47,GARMENT,2,2,2,1,1
panty,jev-1.13.0,GARMENT,0.12,0.75,0.42,GARMENT,0,0,0,1,1
pantyh,jev-1.13.0,NOT_A_WORD,0.44,1.94,0.67,NOT_A_WORD,0,0,0,0,0
pantyhose,jev-1.13.0,GARMENT,0.76,2.4,0.64,GARMENT,1,2,1,1,1
park,jev-1.13.0,OTHER_NOUN,2.91,2.17,3.75,OTHER_NOUN,4,4,4,0,0
parka,jev-1.13.0,GARMENT,2.09,1.99,3.98,GARMENT,4,2,4,1,1
phone,jev-1.13.0,WORN_OR_CARRIED,3.81,3.78,2.76,OTHER_NOUN,4,4,4,1,0
prost,jev-1.13.0,WORN_OR_CARRIED,1.22,1.42,0.83,NOT_A_WORD,0,0,0,1,0
prosthetic,jev-1.13.0,WORN_OR_CARRIED,2.78,2.97,0.94,OTHER_NOUN,3,3,4,1,0
protective,jev-1.13.0,WORN_OR_CARRIED,2.3,2.15,3.15,NOT_A_WORD,0,0,0,1,0
pumps,jev-1.13.0,GARMENT,3.47,2.99,3.39,WORN_OR_CARRIED,3,3,4,1,1
pur,jev-1.13.0,NOT_A_WORD,1.82,3.3,1.42,NOT_A_WORD,0,0,0,0,0
purple,jev-1.13.0,GARMENT,2.63,2.3,2.46,OTHER_NOUN,0,4,0,1,0
purse,jev-1.13.0,WORN_OR_CARRIED,3.79,3.87,3.67,WORN_OR_CARRIED,4,4,4,1,1
py,jev-1.13.0,NOT_A_WORD,1.28,1.68,1.55,NOT_A_WORD,0,0,0,0,0
pyj,jev-1.13.0,NOT_A_WORD,0.72,1.7,1.66,NOT_A_WORD,0,0,0,0,0
r,jev-1.13.0,NOT_A_WORD,2.13,2.33,2.38,NOT_A_WORD,0,0,0,0,0
ra,jev-1.13.0,NOT_A_WORD,1.79,1.99,1.48,NOT_A_WORD,0,0,0,0,0
rag,jev-1.13.0,GARMENT,1.61,2.51,1.01,OTHER_NOUN,0,4,0,1,0
rain,jev-1.13.0,GARMENT,3.08,2.57,3.9,OTHER_NOUN,4,4,4,1,0
rainc,jev-1.13.0,NOT_A_WORD,2.94,2.22,3.94,NOT_A_WORD,0,0,0,0,0
rainco,jev-1.13.0,NOT_A_WORD,2.36,2.02,3.98,NOT_A_WORD,0,0,0,0,0
raincoat,jev-1.13.0,GARMENT,2.53,1.99,3.99,GARMENT,3,2,4,1,1
reading,jev-1.13.0,OTHER_NOUN,3.2,3.05,2.56,OTHER_NOUN,4,4,4,0,0
right,jev-1.13.0,WORN_OR_CARRIED,2.82,2.66,2.35,NOT_A_WORD,0,0,0,1,0
ring,jev-1.13.0,WORN_OR_CARRIED,3.51,2.96,1.86,WORN_OR_CARRIED,3,3,4,1,1
rings,jev-1.13.0,WORN_OR_CARRIED,3.72,2.99,1.95,WORN_OR_CARRIED,3,3,4,1,1
ro,jev-1.13.0,NOT_A_WORD,1.92,2.1,2.22,NOT_A_WORD,0,0,0,0,0
rob,jev-1.13.0,GARMENT,2.01,2.3,2.32,OTHER_NOUN,4,4,4,1,0
robe,jev-1.13.0,GARMENT,0.83,1.95,2.3,GARMENT,2,2,2,1,1
robes,jev-1.13.0,GARMENT,1.15,1.96,2.47,GARMENT,2,2,3,1,1
rubber,jev-1.13.0,OTHER_NOUN,0.77,1.7,2.2,OTHER_NOUN,4,4,4,0,0
ruby,jev-1.13.0,WORN_OR_CARRIED,2.71,2.53,2.33,OTHER_NOUN,4,4,4,1,0
running,jev-1.13.0,GARMENT,2.26,2.86,2.66,OTHER_NOUN,4,4,4,1,0
s,jev-1.13.0,NOT_A_WORD,2.3,2.41,2.32,NOT_A_WORD,0,0,0,0,0
safety,jev-1.13.0,WORN_OR_CARRIED,2.39,2.49,2.18,OTHER_NOUN,4,4,4,1,0
sand,jev-1.13.0,OTHER_NOUN,3.22,3.15,2.8,OTHER_NOUN,4,4,4,0,0
sandal,jev-1.13.0,GARMENT,3.25,3.0,3.45,WORN_OR_CARRIED,3,3,4,1,1
sandals,jev-1.13.0,GARMENT,3.31,3.0,3.71,WORN_OR_CARRIED,3,3,4,1,1
sare,jev-1.13.0,GARMENT,1.02,1.86,1.96,NOT_A_WORD,0,0,0,1,0
saree,jev-1.13.0,GARMENT,0.67,1.84,1.94,GARMENT,1,2,2,1,1
sari,jev-1.13.0,GARMENT,0.66,1.84,1.94,GARMENT,1,2,2,1,1
sc,jev-1.13.0,NOT_A_WORD,1.85,2.13,2.26,NOT_A_WORD,0,0,0,0,0
scar,jev-1.13.0,GARMENT,2.89,2.56,1.87,OTHER_NOUN,4,4,4,1,0
scarf,jev-1.13.0,GARMENT,2.78,2.99,3.64,WORN_OR_CARRIED,3,3,4,1,1
school,jev-1.13.0,OTHER_NOUN,2.97,3.27,2.58,OTHER_NOUN,4,4,4,0,0
seat,jev-1.13.0,OTHER_NOUN,2.43,1.99,2.12,OTHER_NOUN,4,4,4,0,0
seatb,jev-1.13.0,NOT_A_WORD,2.72,2.2,2.29,NOT_A_WORD,0,0,0,0,0
seatbel,jev-1.13.0,NOT_A_WORD,3.52,1.82,2.78,NOT_A_WORD,0,0,0,0,0
seatbelt,jev-1.13.0,WORN_OR_CARRIED,3.61,1.69,3.2,WORN_OR_CARRIED,4,2,4,1,1
sh,jev-1.13.0,NOT_A_WORD,1.96,2.24,1.95,NOT_A_WORD,0,0,0,0,0
sha,jev-1.13.0,NOT_A_WORD,1.65,1.94,2.03,NOT_A_WORD,0,0,0,0,0
shades,jev-1.13.0,WORN_OR_CARRIED,3.75,3.0,3.56,WORN_OR_CARRIED,4,3,4,1,1
shaw,jev-1.13.0,GARMENT,2.14,2.13,3.29,NOT_A_WORD,0,0,0,1,0
shawl,jev-1.13.0,GARMENT,2.29,2.15,3.59,WORN_OR_CARRIED,2,2,3,1,1
shir,jev-1.13.0,GARMENT,1.13,1.72,1.57,NOT_A_WORD,0,0,0,1,0
shirt,jev-1.13.0,GARMENT,0.72,1.87,1.52,GARMENT,2,2,2,1,1
shirts,jev-1.13.0,GARMENT,0.68,1.87,1.65,GARMENT,3,2,2,1,1
sho,jev-1.13.0,GARMENT,3.12,2.97,3.38,NOT_A_WORD,0,0,0,1,0
shoe,jev-1.13.0,GARMENT,3.37,3.0,3.63,WORN_OR_CARRIED,3,3,4,1,1
shoes,jev-1.13.0,GARMENT,3.4,3.0,3.71,WORN_OR_CARRIED,3,3,4,1,1
shorts,jev-1.13.0,GARMENT,0.96,1.47,1.54,GARMENT,2,1,2,1,1
sil,jev-1.13.0,NOT_A_WORD,1.75,2.03,1.36,NOT_A_WORD,0,0,0,0,0
silk,jev-1.13.0,OTHER_NOUN,1.48,2.24,1.02,OTHER_NOUN,4,4,4,0,0
silky,jev-1.13.0,GARMENT,1.4,1.77,0.8,OTHER_NOUN,4,4,4,1,0
silver,jev-1.13.0,OTHER_NOUN,2.63,2.63,2.39,OTHER_NOUN,4,4,4,0,0
sk,jev-1.13.0,NOT_A_WORD,2.08,2.63,2.47,NOT_A_WORD,0,0,0,0,0
ski,jev-1.13.0,WORN_OR_CARRIED,3.16,3.19,3.85,OTHER_NOUN,4,4,4,1,0
skin,jev-1.13.0,BODY_PART,0.95,2.06,0.67,BODY_PART,0,0,0,0,0
skirt,jev-1.13.0,GARMENT,1.05,1.21,1.91,GARMENT,2,1,2,1,1
skirts,jev-1.13.0,GARMENT,0.93,1.25,1.89,GARMENT,2,1,2,1,1
sl,jev-1.13.0,NOT_A_WORD,1.79,2.47,2.03,NOT_A_WORD,0,0,0,0,0
slacks,jev-1.13.0,GARMENT,1.02,1.67,1.79,GARMENT,2,2,2,1,1
sle,jev-1.13.0,NOT_A_WORD,1.53,2.32,1.69,NOT_A_WORD,0,0,0,0,0
slee,jev-1.13.0,NOT_A_WORD,2.56,2.74,2.03,NOT_A_WORD,0,0,0,0,0
sleeping,jev-1.13.0,GARMENT,1.44,2.28,1.62,NOT_A_WORD,0,0,0,1,0
sleeve,jev-1.13.0,GARMENT,2.75,2.97,2.26,GARMENT,3,3,2,1,1
sli,jev-1.13.0,NOT_A_WORD,1.47,2.23,1.4,NOT_A_WORD,0,0,0,0,0
slip,jev-1.13.0,GARMENT,0.7,1.19,0.42,GARMENT,1,1,1,1,1
slipp,jev-1.13.0,NOT_A_WORD,1.69,1.71,1.17,NOT_A_WORD,0,0,0,0,0
slipper,jev-1.13.0,GARMENT,3.3,3.0,2.91,WORN_OR_CARRIED,4,3,4,1,1
slippers,jev-1.13.0,GARMENT,3.37,3.0,2.98,WORN_OR_CARRIED,3,3,4,1,1
sne,jev-1.13.0,NOT_A_WORD,3.32,2.99,3.55,NOT_A_WORD,0,0,0,0,0
sneak,jev-1.13.0,GARMENT,2.63,2.86,2.94,NOT_A_WORD,0,0,0,1,0
sneakers,jev-1.13.0,GARMENT,3.44,3.0,3.6,WORN_OR_CARRIED,3,3,4,1,1
snow,jev-1.13.0,OTHER_NOUN,3.14,3.01,3.76,OTHER_NOUN,4,4,4,0,0
soaking,jev-1.13.0,OTHER_NOUN,1.97,2.63,2.7,OTHER_NOUN,4,4,4,0,0
sock,jev-1.13.0,GARMENT,3.05,3.0,1.11,GARMENT,3,3,4,1,1
socks,jev-1.13.0,GARMENT,3.0,3.0,1.26,GARMENT,3,3,4,1,1
soil,jev-1.13.0,OTHER_NOUN,3.17,3.06,2.73,OTHER_NOUN,4,4,4,0,0
spec,jev-1.13.0,WORN_OR_CARRIED,2.59,2.93,2.19,NOT_A_WORD,0,0,0,1,0
spect,jev-1.13.0,NOT_A_WORD,2.37,2.92,2.65,NOT_A_WORD,0,0,0,0,0
spectac,jev-1.13.0,NOT_A_WORD,3.77,2.98,2.37,NOT_A_WORD,0,0,0,0,0
spectacles,jev-1.13.0,WORN_OR_CARRIED,3.9,3.0,2.44,WORN_OR_CARRIED,4,3,4,1,1
sports,jev-1.13.0,GARMENT,2.2,2.53,2.7,OTHER_NOUN,4,3,4,1,0
st,jev-1.13.0,NOT_A_WORD,1.83,2.17,2.23,NOT_A_WORD,0,0,0,0,0
stile,jev-1.13.0,GARMENT,2.49,2.6,2.48,OTHER_NOUN,4,4,4,1,0
stilett,jev-1.13.0,WORN_OR_CARRIED,3.37,3.03,3.56,NOT_A_WORD,0,0,0,1,0
stock,jev-1.13.0,GARMENT,2.23,2.5,0.83,WORN_OR_CARRIED,3,3,0,1,1
stocking,jev-1.13.0,GARMENT,1.73,2.96,0.6,GARMENT,3,3,0,1,1
stockings,jev-1.13.0,GARMENT,1.91,2.98,0.57,GARMENT,3,3,1,1,1
suit,jev-1.13.0,GARMENT,1.37,1.98,2.55,GARMENT,3,2,3,1,1
summer,jev-1.13.0,GARMENT,2.27,2.2,2.37,OTHER_NOUN,4,4,4,1,0
sun,jev-1.13.0,WORN_OR_CARRIED,3.11,2.84,2.76,OTHER_NOUN,3,3,4,1,0
sund,jev-1.13.0,GARMENT,1.98,2.53,1.81,NOT_A_WORD,0,0,0,1,0
sundress,jev-1.13.0,GARMENT,0.6,1.92,1.54,GARMENT,2,2,2,1,1
sung,jev-1.13.0,WORN_OR_CARRIED,3.52,2.98,3.06,NOT_A_WORD,0,0,0,1,0
sungl,jev-1.13.0,NOT_A_WORD,3.78,2.99,3.34,NOT_A_WORD,0,0,0,0,0
sunglass,jev-1.13.0,WORN_OR_CARRIED,3.81,3.0,3.76,WORN_OR_CARRIED,3,3,4,1,1
sunglasses,jev-1.13.0,WORN_OR_CARRIED,3.83,3.0,3.78,WORN_OR_CARRIED,3,3,4,1,1
suspenders,jev-1.13.0,GARMENT,3.18,1.54,1.47,WORN_OR_CARRIED,3,1,1,1,1
sw,jev-1.13.0,NOT_A_WORD,1.7,2.0,2.26,NOT_A_WORD,0,0,0,0,0
swe,jev-1.13.0,NOT_A_WORD,1.63,1.88,1.56,NOT_A_WORD,0,0,0,0,0
sweat,jev-1.13.0,GARMENT,2.3,2.27,1.31,OTHER_NOUN,2,2,2,1,0
sweater,jev-1.13.0,GARMENT,1.34,1.95,2.56,GARMENT,3,2,3,1,1
sweatp,jev-1.13.0,NOT_A_WORD,1.81,1.97,2.25,NOT_A_WORD,0,0,0,0,0
sweatpants,jev-1.13.0,GARMENT,1.22,1.85,1.83,GARMENT,2,2,2,1,1
sweats,jev-1.13.0,GARMENT,1.59,1.85,1.95,GARMENT,2,2,2,1,1
sweatsh,jev-1.13.0,NOT_A_WORD,1.57,2.01,2.52,NOT_A_WORD,0,0,0,0,0
sweatshirt,jev-1.13.0,GARMENT,1.51,1.96,2.48,GARMENT,3,2,3,1,1
sweaty,jev-1.13.0,GARMENT,2.19,2.0,1.9,OTHER_NOUN,0,4,0,1,0
swim,jev-1.13.0,GARMENT,0.66,1.62,1.6,OTHER_NOUN,0,4,0,1,0
swims,jev-1.13.0,GARMENT,0.4,1.46,1.44,GARMENT,0,0,0,1,1
swimsuit,jev-1.13.0,GARMENT,0.14,0.99,0.54,GARMENT,0,0,2,1,1
sword,jev-1.13.0,WORN_OR_CARRIED,3.44,2.62,2.71,WORN_OR_CARRIED,3,4,4,1,1
t,jev-1.13.0,NOT_A_WORD,2.24,2.32,2.22,NOT_A_WORD,0,0,0,0,0
t-shirt,jev-1.13.0,GARMENT,0.68,1.88,1.22,GARMENT,2,2,2,1,1
tank,jev-1.13.0,GARMENT,0.77,1.78,1.42,GARMENT,2,2,2,1,1
te,jev-1.13.0,NOT_A_WORD,1.94,2.21,2.07,NOT_A_WORD,0,0,0,0,0
tee,jev-1.13.0,GARMENT,1.3,1.87,1.56,GARMENT,2,2,2,1,1
thong,jev-1.13.0,GARMENT,0.17,0.8,0.35,GARMENT,0,0,0,1,1
ti,jev-1.13.0,NOT_A_WORD,1.96,2.22,1.81,NOT_A_WORD,0,0,0,0,0
tiara,jev-1.13.0,WORN_OR_CARRIED,3.92,3.0,2.78,WORN_OR_CARRIED,3,3,4,1,1
tie,jev-1.13.0,GARMENT,2.82,2.71,2.06,WORN_OR_CARRIED,3,3,2,1,1
tight,jev-1.13.0,GARMENT,1.26,1.56,1.43,OTHER_NOUN,0,4,0,1,0
tights,jev-1.13.0,GARMENT,0.5,2.52,0.6,GARMENT,2,2,1,1,1
top,jev-1.13.0,GARMENT,0.55,1.83,1.74,GARMENT,2,2,2,1,1
topcoat,jev-1.13.0,GARMENT,2.36,1.98,3.95,GARMENT,3,2,4,1,1
towel,jev-1.13.0,WORN_OR_CARRIED,0.84,2.1,0.82,OTHER_NOUN,0,4,0,1,0
tren,jev-1.13.0,GARMENT,2.0,2.23,2.55,NOT_A_WORD,0,0,0,1,0
trench,jev-1.13.0,OTHER_NOUN,2.09,2.03,3.72,OTHER_NOUN,4,4,4,0,0
tro,jev-1.13.0,NOT_A_WORD,1.57,1.98,1.95,NOT_A_WORD,0,0,0,0,0
trou,jev-1.13.0,GARMENT,1.06,1.57,1.69,NOT_A_WORD,0,0,0,1,0
trousers,jev-1.13.0,GARMENT,0.73,1.71,1.43,GARMENT,2,2,2,1,1
tu,jev-1.13.0,GARMENT,1.66,1.72,1.52,NOT_A_WORD,0,0,0,1,0
tun,jev-1.13.0,GARMENT,1.45,1.94,1.62,OTHER_NOUN,4,4,4,1,0
tunic,jev-1.13.0,GARMENT,0.95,1.96,1.73,GARMENT,2,2,2,1,1
turb,jev-1.13.0,NOT_A_WORD,1.86,2.16,2.07,NOT_A_WORD,0,0,0,0,0
turban,jev-1.13.0,WORN_OR_CARRIED,3.49,3.0,2.67,WORN_OR_CARRIED,3,3,4,1,1
turquoise,jev-1.13.0,WORN_OR_CARRIED,2.91,2.63,2.48,OTHER_NOUN,0,4,0,1,0
turt,jev-1.13.0,NOT_A_WORD,1.94,2.18,1.71,NOT_A_WORD,0,0,0,0,0
turtleneck,jev-1.13.0,GARMENT,1.62,2.14,1.73,GARMENT,3,3,2,1,1
tux,jev-1.13.0,GARMENT,1.71,1.9,2.51,GARMENT,2,2,3,1,1
tuxedo,jev-1.13.0,GARMENT,1.6,1.93,2.26,GARMENT,2,2,3,1,1
under,jev-1.13.0,GARMENT,1.37,1.15,0.62,NOT_A_WORD,0,0,0,1,0
undergar,jev-1.13.0,NOT_A_WORD,0.38,0.92,0.19,NOT_A_WORD,0,0,0,0,0
undergarments,jev-1.13.0,GARMENT,0.16,0.76,0.16,GARMENT,0,0,0,1,1
underp,jev-1.13.0,GARMENT,0.76,1.11,0.56,NOT_A_WORD,0,0,0,1,0
underpants,jev-1.13.0,GARMENT,0.05,0.53,0.16,GARMENT,1,1,1,1,1
unders,jev-1.13.0,GARMENT,0.41,0.84,0.27,NOT_A_WORD,0,0,0,1,0
undersh,jev-1.13.0,NOT_A_WORD,0.57,1.0,0.63,NOT_A_WORD,0,0,0,0,0
undershirt,jev-1.13.0,GARMENT,0.74,1.75,0.35,GARMENT,2,2,1,1,1
underwe,jev-1.13.0,NOT_A_WORD,0.12,0.5,0.13,NOT_A_WORD,0,0,0,0,0
underwear,jev-1.13.0,GARMENT,0.08,0.55,0.11,GARMENT,0,1,0,1,1
uniform,jev-1.13.0,GARMENT,1.16,1.94,2.23,GARMENT,2,2,2,1,1
upper,jev-1.13.0,GARMENT,1.09,1.92,1.67,OTHER_NOUN,2,3,0,1,0
v,jev-1.13.0,NOT_A_WORD,2.14,2.4,2.44,NOT_A_WORD,0,0,0,0,0
ve,jev-1.13.0,NOT_A_WORD,2.06,1.97,2.13,NOT_A_WORD,0,0,0,0,0
veil,jev-1.13.0,WORN_OR_CARRIED,2.36,2.98,3.15,WORN_OR_CARRIED,3,3,3,1,1
vest,jev-1.13.0,GARMENT,1.6,1.84,2.63,GARMENT,2,2,2,1,1
visor,jev-1.13.0,WORN_OR_CARRIED,3.75,3.0,3.64,WORN_OR_CARRIED,3,3,3,1,1
w,jev-1.13.0,NOT_A_WORD,2.26,2.49,2.66,NOT_A_WORD,0,0,0,0,0
waist,jev-1.13.0,BODY_PART,1.84,1.07,1.41,BODY_PART,2,1,0,0,0
watch,jev-1.13.0,WORN_OR_CARRIED,3.78,2.99,2.48,WORN_OR_CARRIED,3,3,4,1,1
wed,jev-1.13.0,WORN_OR_CARRIED,2.38,2.4,2.54,NOT_A_WORD,0,0,0,1,0
wedding,jev-1.13.0,GARMENT,1.95,2.34,2.68,OTHER_NOUN,4,4,4,1,0
well,jev-1.13.0,OTHER_NOUN,3.27,2.92,3.24,OTHER_NOUN,4,4,4,0,0
wet,jev-1.13.0,GARMENT,2.76,2.34,3.24,NOT_A_WORD,0,0,0,1,0
wife,jev-1.13.0,GARMENT,2.21,2.26,2.1,OTHER_NOUN,4,4,4,1,0
wig,jev-1.13.0,WORN_OR_CARRIED,3.76,3.0,1.95,WORN_OR_CARRIED,4,3,4,1,1
wings,jev-1.13.0,GARMENT,2.98,2.37,3.18,OTHER_NOUN,0,4,0,1,0
winter,jev-1.13.0,GARMENT,2.63,2.5,3.75,OTHER_NOUN,0,4,0,1,0
wool,jev-1.13.0,OTHER_NOUN,2.19,2.2,2.88,OTHER_NOUN,0,4,0,0,0
work,jev-1.13.0,OTHER_NOUN,2.37,2.57,2.47,OTHER_NOUN,4,4,4,0,0
worn-out,jev-1.13.0,GARMENT,3.3,2.86,3.07,NOT_A_WORD,0,0,0,1,0
wrap,jev-1.13.0,GARMENT,1.46,2.0,2.19,GARMENT,1,2,3,1,1
wrist,jev-1.13.0,WORN_OR_CARRIED,3.62,3.01,2.31,BODY_PART,3,3,0,1,0
wristwatch,jev-1.13.0,WORN_OR_CARRIED,3.76,3.0,2.66,WORN_OR_CARRIED,4,3,4,1,1
yellow,jev-1.13.0,GARMENT,2.71,2.47,2.51,OTHER_NOUN,4,4,4,1,0
