prompt,word,n_carriers,median_delta_pp,out_body_distance,out_genitality
She grabbed his,chin,49,-0.16858,4,-1
She grabbed his,clothes,41,-0.05090,7,-1
She grabbed his,coat,49,-0.03995,7,-1
She grabbed his,cock,43,-0.26624,1,-7
She grabbed his,collar,49,-0.12162,4,-1
She grabbed his,crotch,43,-0.18553,1,-7
She grabbed his,dick,38,-0.18661,1,-7
She grabbed his,ear,49,-0.15099,4,-1
She grabbed his,ears,31,-0.09342,4,-1
She grabbed his,elbow,48,-0.08470,5,-1
She grabbed his,face,49,-0.38305,4,-1
She grabbed his,finger,38,-0.08757,6,-1
She grabbed his,fingers,46,-0.11493,6,-1
She grabbed his,foot,33,-0.07393,6,-1
She grabbed his,forearm,48,-0.18349,5,-1
She grabbed his,gun,45,-0.08974,7,-1
She grabbed his,hair,49,-0.30696,6,-1
She grabbed his,hand,50,+7.36016,6,-1
She grabbed his,hands,49,-0.76989,6,-1
She grabbed his,head,50,-0.77657,6,-1
She grabbed his,hips,39,-0.13734,3,-1
She grabbed his,jacket,50,-0.08244,5,-1
She grabbed his,jaw,39,-0.07785,4,-1
She grabbed his,keys,31,-0.01559,7,-1
She grabbed his,knee,25,-0.06343,5,-1
She grabbed his,lapel,10,+0.03038,7,-1
She grabbed his,lapels,39,-0.08683,5,-1
She grabbed his,leg,48,-0.11252,5,-1
She grabbed his,legs,44,-0.10795,5,-1
She grabbed his,mouth,35,-0.10492,4,-1
She grabbed his,neck,49,-0.36390,4,-1
She grabbed his,nose,30,-0.08150,4,-1
She grabbed his,pants,46,-0.08040,3,-2
She grabbed his,penis,42,-0.15630,1,-7
She grabbed his,phone,50,+0.01289,7,-1
She grabbed his,shirt,50,-0.18202,3,-1
She grabbed his,shoulder,49,-0.50155,4,-1
She grabbed his,shoulders,49,-0.55859,5,-1
She grabbed his,sleeve,48,-0.04168,5,-1
She grabbed his,sword,25,-0.05152,7,-4
She grabbed his,thigh,31,-0.07009,4,-1
She grabbed his,throat,44,-0.15536,4,-1
She grabbed his,tie,43,-0.04047,7,-1
She grabbed his,waist,49,-0.13179,3,-1
She grabbed his,wallet,28,-0.03857,7,-1
She grabbed his,wrist,49,+0.28374,6,-1
She grabbed his,wrists,49,-0.24050,6,-1
She grabbed his,ankles,24,-0.07656,5,-1
She grabbed his,butt,26,-0.12593,2,-1
She grabbed his,camera,12,+0.03959,7,-1
She grabbed his,glasses,17,-0.03061,7,-1
She grabbed his,hat,36,-0.05231,7,-1
She grabbed his,robe,12,-0.06362,7,-1
She grabbed his,tail,14,-0.03218,5,-1
She grabbed his,testicles,13,-0.09809,1,-7
She grabbed his,beard,14,-0.08401,4,-1
She grabbed his,heart,25,-0.08884,3,-1
She grabbed his,paw,10,+0.04748,6,-1
She grabbed his,pen,25,-0.00296,7,-1
She grabbed his,shaft,10,-0.13893,1,-7
She grabbed his,backpack,16,+0.10047,7,-1
She grabbed his,pocket,11,+0.09160,7,-1
She grabbed his,book,16,+0.03483,7,-1
She grabbed his,briefcase,11,+0.08450,7,-1
She grabbed his,feet,18,-0.00396,6,-1
She grabbed his,fist,23,-0.05230,6,-1
She grabbed his,suitcase,13,+0.12720,7,-1
She kneeled and reached for his,ankle,46,-0.10504,5,-1
She kneeled and reached for his,ankles,40,-0.11323,5,-1
She kneeled and reached for his,arm,50,-0.43921,5,-1
She kneeled and reached for his,arms,48,-0.17783,5,-1
She kneeled and reached for his,back,42,-0.08986,5,-1
She kneeled and reached for his,bag,45,-0.08520,7,-1
She kneeled and reached for his,balls,31,-0.18290,1,-7
She kneeled and reached for his,belt,50,-0.31588,3,-3
She kneeled and reached for his,body,42,-0.15514,3,-1
She kneeled and reached for his,boot,42,-0.05578,7,-1
She kneeled and reached for his,boots,46,-0.01318,7,-1
She kneeled and reached for his,cheek,42,-0.10913,4,-1
She kneeled and reached for his,chest,48,-0.06968,3,-1
She kneeled and reached for his,chin,48,-0.12829,4,-1
She kneeled and reached for his,cock,42,-0.50508,1,-7
She kneeled and reached for his,collar,44,-0.08576,5,-1
She kneeled and reached for his,crotch,44,-0.17951,1,-4
She kneeled and reached for his,dick,30,-0.25934,1,-7
She kneeled and reached for his,erection,25,-0.06697,1,-7
She kneeled and reached for his,face,50,-0.28314,4,-1
She kneeled and reached for his,feet,49,-0.16013,6,-1
She kneeled and reached for his,fingers,47,-0.13169,6,-1
She kneeled and reached for his,foot,49,-0.13238,6,-1
She kneeled and reached for his,groin,30,-0.11450,1,-4
She kneeled and reached for his,gun,48,-0.14817,7,-1
She kneeled and reached for his,hair,47,-0.18658,6,-1
She kneeled and reached for his,hand,50,+11.71850,6,-1
She kneeled and reached for his,hands,50,-0.81505,6,-1
She kneeled and reached for his,head,50,-0.75471,4,-1
She kneeled and reached for his,jacket,42,-0.05683,5,-1
She kneeled and reached for his,knee,46,-0.06589,5,-1
She kneeled and reached for his,knees,40,-0.10477,5,-1
She kneeled and reached for his,leg,49,-0.20093,5,-1
She kneeled and reached for his,legs,47,-0.22479,5,-1
She kneeled and reached for his,limp,41,-0.07179,1,-7
She kneeled and reached for his,lips,44,-0.13030,4,-1
She kneeled and reached for his,mouth,46,-0.18420,4,-1
She kneeled and reached for his,neck,50,-0.27316,4,-1
She kneeled and reached for his,outstretched,37,-0.03970,5,-1
She kneeled and reached for his,pants,47,-0.15481,3,-3
She kneeled and reached for his,penis,38,-0.41450,1,-7
She kneeled and reached for his,phone,30,+0.06856,7,-1
She kneeled and reached for his,pocket,30,+0.03028,7,-1
She kneeled and reached for his,shirt,49,-0.24146,3,-1
She kneeled and reached for his,shoe,43,+0.00117,7,-1
She kneeled and reached for his,shoes,45,-0.03247,7,-1
She kneeled and reached for his,shoulder,50,-0.20102,5,-1
She kneeled and reached for his,shoulders,45,-0.18319,5,-1
She kneeled and reached for his,sword,49,-0.07382,7,-4
She kneeled and reached for his,thigh,38,-0.07885,4,-1
She kneeled and reached for his,throat,47,-0.15901,4,-1
She kneeled and reached for his,trousers,37,-0.11606,3,-1
She kneeled and reached for his,waist,48,-0.15090,3,-1
She kneeled and reached for his,waistband,34,-0.02204,3,-3
She kneeled and reached for his,wallet,32,-0.03564,7,-1
She kneeled and reached for his,wrist,50,-0.07615,6,-1
She kneeled and reached for his,wrists,36,-0.11327,6,-1
She kneeled and reached for his,zipper,25,-0.10186,7,-4
She kneeled and reached for his,ear,45,-0.12420,4,-1
She kneeled and reached for his,forehead,38,-0.10760,4,-1
She kneeled and reached for his,heart,43,-0.13780,3,-1
She kneeled and reached for his,weapon,34,-0.06938,7,-1
She kneeled and reached for his,fly,15,-0.17474,3,-4
She kneeled and reached for his,hard,22,-0.05999,1,-4
She kneeled and reached for his,prick,13,-0.09919,1,-7
She kneeled and reached for his,shaft,15,-0.17863,1,-7
She knelt down in front of him and began to suck his,balls,50,-0.77784,1,-7
She knelt down in front of him and began to suck his,big,49,-0.26086,1,-4
She knelt down in front of him and began to suck his,cock,50,+0.94932,1,-7
She knelt down in front of him and began to suck his,dick,50,-2.82105,1,-7
She knelt down in front of him and began to suck his,enormous,39,-0.06898,1,-7
She knelt down in front of him and began to suck his,erect,46,-0.08328,1,-7
She knelt down in front of him and began to suck his,erection,50,-0.10176,1,-7
She knelt down in front of him and began to suck his,fingers,48,-0.07220,6,-1
She knelt down in front of him and began to suck his,hard,50,-0.28897,1,-7
She knelt down in front of him and began to suck his,head,44,-0.09891,4,-1
She knelt down in front of him and began to suck his,huge,44,-0.26423,1,-7
She knelt down in front of him and began to suck his,large,41,-0.02950,1,-4
She knelt down in front of him and began to suck his,limp,28,-0.08916,1,-7
She knelt down in front of him and began to suck his,long,43,-0.13180,1,-7
She knelt down in front of him and began to suck his,manhood,46,-0.12248,1,-7
She knelt down in front of him and began to suck his,massive,37,-0.03949,1,-7
She knelt down in front of him and began to suck his,member,46,-0.10500,1,-7
She knelt down in front of him and began to suck his,nipples,48,-0.14436,2,-1
She knelt down in front of him and began to suck his,penis,50,-0.81451,1,-7
She knelt down in front of him and began to suck his,prick,43,-0.23921,1,-7
She knelt down in front of him and began to suck his,rock,32,-0.09763,1,-7
She knelt down in front of him and began to suck his,rod,35,-0.04155,1,-7
She knelt down in front of him and began to suck his,shaft,44,-0.13977,1,-7
She knelt down in front of him and began to suck his,stiff,41,-0.18031,1,-7
She knelt down in front of him and began to suck his,swollen,40,-0.11638,1,-7
She knelt down in front of him and began to suck his,thick,46,-0.03593,1,-7
She knelt down in front of him and began to suck his,throbbing,45,-0.01414,1,-7
She knelt down in front of him and began to suck his,toes,45,+0.23665,6,-1
She knelt down in front of him and began to suck his,face,30,-0.04329,4,-1
She knelt down in front of him and began to suck his,neck,27,-0.04662,4,-1
She knelt down in front of him and began to suck his,tongue,40,-0.06534,4,-1
She knelt down in front of him and began to suck his,blood,31,-0.10478,4,-1
She knelt down in front of him and began to suck his,ear,23,-0.03290,4,-1
She knelt down in front of him and began to suck his,ears,15,-0.04510,4,-1
She knelt down in front of him and began to suck his,finger,43,-0.01392,6,-1
She knelt down in front of him and began to suck his,hair,16,-0.05728,6,-1
She knelt down in front of him and began to suck his,thumb,35,+0.10796,6,-1
She knelt down in front of him and began to suck his,toe,22,+0.19487,6,-1
She knelt down in front of him and began to suck his,feet,27,+0.02424,6,-1
She knelt down in front of him and began to suck his,lips,23,-0.07697,4,-1
She knelt down in front of him and began to suck his,foot,18,+0.11617,6,-1
She knelt down in front of him and began to suck his,hand,19,-0.00132,6,-1
She knelt down in front of him and began to suck his,earlobe,18,-0.01500,4,-1
She moaned as he slid his hand between her,ass,40,-0.15071,2,-4
She moaned as he slid his hand between her,body,30,-0.11479,3,-4
She moaned as he slid his hand between her,breasts,50,-0.55114,2,-1
She moaned as he slid his hand between her,buttocks,44,-0.15675,2,-4
She moaned as he slid his hand between her,cheeks,46,-0.17286,2,-4
She moaned as he slid his hand between her,folds,40,-0.13798,1,-7
She moaned as he slid his hand between her,hips,32,-0.08119,3,-4
She moaned as he slid his hand between her,knees,48,-0.12984,5,-1
She moaned as he slid his hand between her,leg,39,-0.11318,4,-4
She moaned as he slid his hand between her,legs,50,+4.50304,1,-4
She moaned as he slid his hand between her,lips,46,-0.15285,4,-1
She moaned as he slid his hand between her,open,35,-0.11071,1,-4
She moaned as he slid his hand between her,panties,31,-0.15163,1,-4
She moaned as he slid his hand between her,pussy,29,-0.15634,1,-7
She moaned as he slid his hand between her,shoulder,28,-0.08087,5,-1
She moaned as he slid his hand between her,soft,40,-0.10471,4,-4
She moaned as he slid his hand between her,spread,41,-0.18032,1,-4
She moaned as he slid his hand between her,thigh,47,-0.06833,4,-4
She moaned as he slid his hand between her,thighs,50,-0.74373,4,-4
She moaned as he slid his hand between her,wet,46,-0.13482,4,-4
She moaned as he slid his hand between her,bare,30,-0.10481,4,-4
She moaned as he slid his hand between her,waist,11,-0.02653,3,-1
She moaned as he slid his hand between her,inner,25,-0.06148,4,-4
She put his mouth to her,anus,14,-0.03444,2,-4
She put his mouth to her,ass,31,-0.12307,2,-1
She put his mouth to her,back,29,-0.09093,5,-1
She put his mouth to her,belly,44,-0.17441,3,-1
She put his mouth to her,breast,50,-1.32568,2,-1
She put his mouth to her,breasts,49,-0.93583,2,-1
She put his mouth to her,but,11,-0.03710,2,-1
She put his mouth to her,butt,12,-0.03639,2,-1
She put his mouth to her,cheek,48,-0.08028,4,-1
She put his mouth to her,chest,50,+0.03416,2,-1
She put his mouth to her,chin,29,-0.09856,4,-1
She put his mouth to her,clit,34,-0.25037,1,-7
She put his mouth to her,ear,50,+2.88298,4,-1
She put his mouth to her,earlobe,13,-0.09342,4,-1
She put his mouth to her,ears,42,-0.07969,4,-1
She put his mouth to her,eyes,14,-0.01508,6,-1
She put his mouth to her,face,48,-0.14877,4,-1
She put his mouth to her,forehead,35,-0.08686,4,-1
She put his mouth to her,groin,11,-0.05447,1,-4
She put his mouth to her,hair,41,-0.10122,6,-1
She put his mouth to her,heart,37,-0.08449,3,-1
She put his mouth to her,hip,23,-0.04597,3,-1
She put his mouth to her,leg,12,-0.05859,5,-1
She put his mouth to her,lip,11,-0.03158,4,-1
She put his mouth to her,lips,50,-0.24609,4,-1
She put his mouth to her,mouth,50,-0.49485,4,-1
She put his mouth to her,neck,50,-0.07983,4,-1
She put his mouth to her,nipple,48,-0.71967,2,-1
She put his mouth to her,nose,35,-0.07130,4,-1
She put his mouth to her,own,49,-0.21984,4,-1
She put his mouth to her,pussy,45,-0.42924,1,-7
She put his mouth to her,sex,36,-0.13078,1,-7
She put his mouth to her,skin,47,-0.02495,3,-1
She put his mouth to her,stomach,42,-0.12702,3,-1
She put his mouth to her,throat,50,-0.26119,4,-1
She put his mouth to her,tit,27,-0.11318,2,-1
She put his mouth to her,tongue,22,-0.03818,4,-1
She put his mouth to her,vagina,37,-0.15398,1,-7
She put his mouth to her,waist,21,-0.00155,3,-1
She put his mouth to her,wound,10,+0.02818,3,-1
She put his mouth to her,wrist,35,-0.06834,6,-1
She put his mouth to her,asshole,11,-0.11965,2,-7
She put his mouth to her,body,43,-0.08604,3,-1
She put his mouth to her,boobs,15,-0.06195,2,-1
She put his mouth to her,bosom,42,-0.12796,2,-1
She put his mouth to her,clitoris,26,-0.13090,1,-7
She put his mouth to her,cock,13,-0.05138,1,-7
She put his mouth to her,crotch,29,-0.09249,1,-7
She put his mouth to her,cunt,40,-0.24615,1,-7
She put his mouth to her,genitals,11,-0.00316,1,-7
She put his mouth to her,hand,48,-0.05421,6,-1
She put his mouth to her,mound,19,-0.03618,1,-7
She put his mouth to her,navel,37,-0.08980,3,-1
She put his mouth to her,nipples,43,-0.25507,2,-1
She put his mouth to her,other,27,-0.09846,2,-1
She put his mouth to her,shoulder,48,-0.12521,4,-1
She put his mouth to her,slit,21,-0.13979,1,-7
She put his mouth to her,thigh,43,-0.04183,5,-1
She put his mouth to her,tits,33,-0.11576,2,-1
She put his mouth to her,vulva,21,-0.02608,1,-7
She put his mouth to her,arm,16,-0.00194,5,-1
She put his mouth to her,boob,14,-0.09534,2,-1
She put his mouth to her,cleavage,17,-0.03853,2,-1
She put his mouth to her,finger,19,-0.07409,6,-1
She put his mouth to her,fingers,14,-0.11373,6,-1
She put his mouth to her,head,36,-0.10096,5,-1
She put his mouth to her,hole,14,-0.10207,1,-7
She put his mouth to her,knee,26,-0.00591,5,-1
She put his mouth to her,side,19,+0.01085,3,-1
She put his mouth to her,teat,12,-0.04777,2,-1
She put his mouth to her,temple,30,-0.00014,4,-1
She put his mouth to her,womb,17,-0.02335,1,-4
She put his mouth to her,eye,13,+0.01486,4,-1
She put his mouth to her,palm,17,+0.04329,6,-1
She put his mouth to her,private,17,+0.00515,1,-7
She put his mouth to her,bottom,18,-0.10440,2,-1
She put his mouth to her,feet,14,-0.04309,6,-1
She put his mouth to her,collarbone,14,-0.01901,4,-1
She put his mouth to her,arse,10,-0.08471,2,-1
She turned over after the massage and he saw her,again,45,-0.07637,,-1
She turned over after the massage and he saw her,all,22,-0.01687,,-1
She turned over after the massage and he saw her,arm,26,-0.02029,5,-1
She turned over after the massage and he saw her,arms,28,-0.06428,5,-1
She turned over after the massage and he saw her,ass,40,-0.18566,2,-1
She turned over after the massage and he saw her,asshole,14,-0.06566,2,-4
She turned over after the massage and he saw her,back,50,-0.09024,5,-1
She turned over after the massage and he saw her,backside,24,+0.00631,2,-1
She turned over after the massage and he saw her,belly,47,-0.12153,3,-1
She turned over after the massage and he saw her,body,50,-0.12676,3,-1
She turned over after the massage and he saw her,boobs,33,-0.12044,2,-1
She turned over after the massage and he saw her,bottom,41,-0.10437,2,-1
She turned over after the massage and he saw her,bra,36,-0.01167,2,-1
She turned over after the massage and he saw her,breast,46,-0.18804,2,-1
She turned over after the massage and he saw her,breasts,50,-1.12474,2,-1
She turned over after the massage and he saw her,bruises,16,-0.01167,,-1
She turned over after the massage and he saw her,bum,17,-0.08347,2,-1
She turned over after the massage and he saw her,butt,41,-0.16002,2,-1
She turned over after the massage and he saw her,buttocks,29,-0.06143,2,-1
She turned over after the massage and he saw her,chest,49,-0.06168,2,-1
She turned over after the massage and he saw her,clearly,35,+0.00386,,-1
She turned over after the massage and he saw her,clit,11,-0.01401,1,-7
She turned over after the massage and he saw her,completely,41,+0.02523,,-1
She turned over after the massage and he saw her,crotch,15,-0.06693,1,-7
She turned over after the massage and he saw her,cunt,19,-0.12821,1,-7
She turned over after the massage and he saw her,erect,26,-0.12130,,-4
She turned over after the massage and he saw her,exposed,44,+0.01199,,-1
She turned over after the massage and he saw her,eyes,50,-0.07668,6,-1
She turned over after the massage and he saw her,face,50,+0.87184,4,-1
She turned over after the massage and he saw her,feet,48,-0.05123,6,-1
She turned over after the massage and he saw her,fully,37,+0.00647,,-1
She turned over after the massage and he saw her,hair,50,-0.07874,6,-1
She turned over after the massage and he saw her,hand,49,-0.07190,6,-1
She turned over after the massage and he saw her,hands,44,-0.07731,6,-1
She turned over after the massage and he saw her,hard,22,-0.07872,,-4
She turned over after the massage and he saw her,hips,22,-0.05439,3,-1
She turned over after the massage and he saw her,laying,22,-0.03621,,-1
She turned over after the massage and he saw her,leg,32,-0.04034,5,-1
She turned over after the massage and he saw her,legs,50,-0.22681,5,-1
She turned over after the massage and he saw her,looking,46,-0.05031,,-1
She turned over after the massage and he saw her,lying,49,-0.09941,,-1
She turned over after the massage and he saw her,naked,50,-1.00835,,-1
She turned over after the massage and he saw her,nakedness,16,-0.10000,,-1
She turned over after the massage and he saw her,navel,12,-0.05761,3,-1
She turned over after the massage and he saw her,nipple,42,-0.13244,2,-1
She turned over after the massage and he saw her,nipples,46,-0.46781,2,-1
She turned over after the massage and he saw her,nude,41,-0.09640,,-1
She turned over after the massage and he saw her,pant,33,-0.00158,,-1
She turned over after the massage and he saw her,panties,43,-0.13381,1,-2
She turned over after the massage and he saw her,penis,13,-0.09360,1,-7
She turned over after the massage and he saw her,private,13,-0.06118,1,-7
She turned over after the massage and he saw her,profile,36,+0.09745,3,-1
She turned over after the massage and he saw her,pussy,37,-0.30021,1,-7
She turned over after the massage and he saw her,rear,20,-0.02650,2,-1
She turned over after the massage and he saw her,reflection,31,+0.10546,7,-1
She turned over after the massage and he saw her,right,49,-0.08667,5,-1
She turned over after the massage and he saw her,round,23,-0.03266,2,-1
She turned over after the massage and he saw her,scar,23,+0.04978,4,-1
She turned over after the massage and he saw her,scars,25,+0.08780,3,-1
She turned over after the massage and he saw her,shaved,11,-0.09401,1,-7
She turned over after the massage and he saw her,side,32,+0.02689,3,-1
She turned over after the massage and he saw her,sitting,38,-0.07782,,-1
She turned over after the massage and he saw her,skin,48,-0.02841,,-1
She turned over after the massage and he saw her,sleeping,47,+0.03519,,-1
She turned over after the massage and he saw her,spread,24,-0.06533,1,-6
She turned over after the massage and he saw her,still,44,-0.05345,,-1
She turned over after the massage and he saw her,stomach,46,-0.09974,3,-1
She turned over after the massage and he saw her,stretch,25,-0.00391,,-1
She turned over after the massage and he saw her,tattoo,30,+0.03274,5,-1
She turned over after the massage and he saw her,tattoos,14,+0.08404,5,-1
She turned over after the massage and he saw her,thighs,27,-0.09084,5,-1
She turned over after the massage and he saw her,tits,40,-0.13325,2,-1
She turned over after the massage and he saw her,topless,14,+0.05004,2,-1
She turned over after the massage and he saw her,tummy,18,-0.05927,3,-1
She turned over after the massage and he saw her,turn,18,-0.08846,,-1
She turned over after the massage and he saw her,underwear,36,+0.02614,3,-1
She turned over after the massage and he saw her,vagina,29,-0.17640,1,-7
She turned over after the massage and he saw her,watching,24,+0.05571,,-1
She turned over after the massage and he saw her,wearing,40,-0.00336,,-1
She turned over after the massage and he saw her,wet,44,-0.09989,1,-4
She turned over after the massage and he saw her,whole,43,-0.05727,,-1
She turned over after the massage and he saw her,cheeks,23,+0.00676,2,-1
She turned over after the massage and he saw her,cleavage,25,-0.04045,2,-1
She turned over after the massage and he saw her,come,14,-0.06190,,-4
She turned over after the massage and he saw her,expression,37,+0.02142,,-1
She turned over after the massage and he saw her,head,44,-0.14758,6,-1
She turned over after the massage and he saw her,lips,44,-0.05825,4,-1
She turned over after the massage and he saw her,mouth,43,-0.13037,4,-1
She turned over after the massage and he saw her,neck,37,-0.01184,4,-1
She turned over after the massage and he saw her,once,10,+0.01418,,-1
She turned over after the massage and he saw her,open,43,-0.07948,,-1
She turned over after the massage and he saw her,shoulder,24,+0.01060,4,-1
She turned over after the massage and he saw her,shoulders,25,-0.00286,5,-1
She turned over after the massage and he saw her,smile,47,+0.01374,4,-1
She turned over after the massage and he saw her,smiling,48,+0.04836,,-1
She turned over after the massage and he saw her,staring,35,-0.05157,,-1
She turned over after the massage and he saw her,stiff,11,-0.01722,,-1
She turned over after the massage and he saw her,there,31,-0.02682,,-1
She turned over after the massage and he saw her,anus,13,-0.09794,2,-4
She turned over after the massage and he saw her,blush,19,+0.10212,,-1
She turned over after the massage and he saw her,breathing,36,-0.01832,,-1
She turned over after the massage and he saw her,bright,24,+0.02672,,-1
She turned over after the massage and he saw her,crying,16,+0.04907,,-1
She turned over after the massage and he saw her,fingers,13,-0.06643,6,-1
She turned over after the massage and he saw her,look,35,-0.07539,,-1
She turned over after the massage and he saw her,sex,13,-0.09981,1,-7
She turned over after the massage and he saw her,shaking,15,+0.04293,,-1
She turned over after the massage and he saw her,shirt,26,+0.00122,5,-1
She turned over after the massage and he saw her,slip,13,-0.01474,7,-1
She turned over after the massage and he saw her,standing,33,-0.04695,,-1
She turned over after the massage and he saw her,start,11,-0.09595,,-1
She turned over after the massage and he saw her,tear,25,-0.00876,,-1
She turned over after the massage and he saw her,tears,30,-0.07970,4,-1
She turned over after the massage and he saw her,throat,12,-0.09050,4,-1
She turned over after the massage and he saw her,toes,14,-0.03538,6,-1
She turned over after the massage and he saw her,tongue,13,-0.08309,4,-1
She turned over after the massage and he saw her,top,15,-0.04496,2,-1
She turned over after the massage and he saw her,beauty,23,+0.06941,,-1
She turned over after the massage and he saw her,blood,20,-0.02782,,-1
She turned over after the massage and he saw her,dress,14,-0.04374,7,-1
She turned over after the massage and he saw her,eye,31,-0.03403,6,-1
She turned over after the massage and he saw her,eyelids,15,+0.03483,4,-1
She turned over after the massage and he saw her,gaze,16,+0.07079,,-1
She turned over after the massage and he saw her,glowing,14,+0.08348,,-1
She turned over after the massage and he saw her,name,11,+0.06598,,-1
She turned over after the massage and he saw her,sleep,26,-0.00876,,-1
She turned over after the massage and he saw her,blushing,13,+0.09467,,-1
She turned over after the massage and he saw her,breath,19,-0.03549,,-1
She turned over after the massage and he saw her,flushed,17,+0.00682,,-1
She turned over after the massage and he saw her,moving,10,-0.00779,,-1
She turned over after the massage and he saw her,shiver,13,+0.01163,,-1
She turned over after the massage and he saw her,trembling,14,+0.04482,,-1
She turned over after the massage and he saw her,asleep,22,+0.00301,,-1
She turned over after the massage and he saw her,cheek,13,+0.03874,4,-1
She turned over after the massage and he saw her,muscles,14,+0.06038,5,-1
She turned over after the massage and he saw her,silhouette,18,+0.06955,,-1
She turned over after the massage and he saw her,forehead,13,+0.00536,4,-1
She turned over after the massage and he saw her,sleepy,12,+0.04536,,-1
She turned over after the massage and he saw her,teeth,11,-0.04502,4,-1
She turned over after the massage and he saw her,reaction,14,+0.04435,,-1
She turned over after the massage and he saw her,relaxed,15,+0.08464,,-1
She unzipped his,back,40,-0.06113,5,-1
She unzipped his,backpack,50,+0.23636,7,-1
She unzipped his,brief,28,-0.00560,1,-4
She unzipped his,briefcase,21,+0.09841,7,-1
She unzipped his,clothes,47,-0.08667,3,-1
She unzipped his,coat,50,-0.12329,3,-1
She unzipped his,jacket,50,+0.84379,3,-1
She unzipped his,jeans,50,-1.66881,3,-4
She unzipped his,pack,27,-0.00382,7,-1
She unzipped his,pants,50,-0.05714,1,-4
She unzipped his,pocket,36,-0.03899,7,-1
She unzipped his,shirt,50,-0.38635,3,-1
She unzipped his,shoes,13,-0.06157,7,-1
She unzipped his,suit,50,-0.11537,3,-1
She unzipped his,suitcase,40,+0.09785,7,-1
She unzipped his,top,40,-0.13002,3,-1
She unzipped his,belt,44,-0.16736,3,-1
She unzipped his,boot,17,-0.07949,7,-1
She unzipped his,boots,40,-0.11365,6,-1
She unzipped his,cargo,42,-0.05827,3,-1
She unzipped his,cover,34,-0.00449,7,-1
She unzipped his,coveralls,27,-0.10425,3,-1
She unzipped his,crotch,10,-0.08980,1,-4
She unzipped his,flies,38,-0.07473,1,-4
She unzipped his,fly,48,-1.23861,1,-4
She unzipped his,hood,34,-0.04492,7,-1
She unzipped his,hoodie,44,+0.01999,3,-1
She unzipped his,jumpsuit,31,-0.06366,3,-1
She unzipped his,khakis,14,-0.07436,3,-4
She unzipped his,overalls,28,-0.06557,3,-1
She unzipped his,parka,30,-0.03032,3,-1
She unzipped his,shorts,48,-0.43757,1,-4
She unzipped his,slacks,33,-0.20422,3,-4
She unzipped his,sweatpants,22,-0.01409,3,-1
She unzipped his,sweatshirt,35,-0.10916,3,-1
She unzipped his,trouser,32,-0.12173,1,-4
She unzipped his,trousers,49,-0.95292,3,-4
She unzipped his,uniform,40,-0.10879,3,-1
She unzipped his,vest,38,-0.12790,3,-1
She unzipped his,boxers,24,-0.11901,1,-4
She unzipped his,briefs,16,-0.20177,1,-4
She unzipped his,cock,10,-0.04630,1,-7
She unzipped his,dress,43,-0.13088,3,-1
She unzipped his,front,24,-0.09879,1,-4
She unzipped his,pockets,22,-0.02442,3,-1
She unzipped his,robe,38,-0.12283,3,-1
She unzipped his,pant,39,-0.05541,1,-4
She unzipped his,sweater,33,-0.10451,3,-1
She unzipped his,flannel,10,-0.07018,3,-1
She unzipped his,pajama,20,-0.04606,3,-1
She unzipped his,pajamas,10,+0.03648,3,-1
She unzipped his,track,10,-0.08366,1,-4
She unzipped his,waistband,14,-0.04301,3,-3
She unzipped his,blazer,17,-0.02345,3,-1
She unzipped his,blouse,11,-0.10398,2,-1
She unzipped his,clothing,17,-0.06230,3,-1
She unzipped his,overcoat,21,-0.08205,7,-1
She unzipped his,trench,22,+0.01550,7,-1
She unzipped his,underwear,13,-0.11516,1,-3
She unzipped his,collar,15,-0.08600,3,-1
She unzipped his,raincoat,20,-0.01004,7,-1
She unzipped his,tracksuit,10,-0.04833,3,-1
She unzipped his,T,14,-0.05945,3,-1
She unzipped his trousers and reached for his,balls,44,-0.26021,1,-7
She unzipped his trousers and reached for his,belt,49,-0.14687,7,-1
She unzipped his trousers and reached for his,big,35,-0.12869,1,-4
She unzipped his trousers and reached for his,boxer,34,-0.02076,1,-3
She unzipped his trousers and reached for his,boxers,47,-0.05875,1,-4
She unzipped his trousers and reached for his,briefs,37,-0.06586,1,-4
She unzipped his trousers and reached for his,bulge,39,-0.09651,1,-6
She unzipped his trousers and reached for his,bulging,35,-0.06472,1,-7
She unzipped his trousers and reached for his,cock,48,-3.58857,1,-7
She unzipped his trousers and reached for his,crotch,48,-0.19616,1,-6
She unzipped his trousers and reached for his,dick,48,-1.15177,1,-7
She unzipped his trousers and reached for his,erect,46,-0.14039,1,-7
She unzipped his trousers and reached for his,erection,46,-0.36808,1,-7
She unzipped his trousers and reached for his,flaccid,38,-0.08425,1,-7
She unzipped his trousers and reached for his,fly,42,-0.09701,3,-4
She unzipped his trousers and reached for his,genitals,42,-0.16044,1,-7
She unzipped his trousers and reached for his,groin,41,-0.05891,1,-4
She unzipped his trousers and reached for his,hand,36,-0.03820,6,-1
She unzipped his trousers and reached for his,hard,47,-0.03555,1,-7
She unzipped his trousers and reached for his,hardening,37,+0.00231,1,-7
She unzipped his trousers and reached for his,hardness,33,+0.08302,1,-7
She unzipped his trousers and reached for his,huge,31,-0.10203,1,-4
She unzipped his trousers and reached for his,jeans,31,-0.10916,5,-1
She unzipped his trousers and reached for his,large,41,-0.07953,1,-4
She unzipped his trousers and reached for his,length,30,-0.02351,1,-7
