prompt,n_lineages,pos_base,purity_base,pos_aligned,purity_aligned,switch,base_ADJ,base_ADP,base_ADV,base_AUX,base_CCONJ,base_DET,base_INTJ,base_NOUN,base_NUM,base_PART,base_PRON,base_PROPN,base_PUNCT,base_SCONJ,base_SYM,base_VERB,base_X,aligned_ADJ,aligned_ADP,aligned_ADV,aligned_AUX,aligned_CCONJ,aligned_DET,aligned_INTJ,aligned_NOUN,aligned_NUM,aligned_PART,aligned_PRON,aligned_PROPN,aligned_PUNCT,aligned_SCONJ,aligned_SYM,aligned_VERB,aligned_X
He dumped his rubbish over the neighbour\'s fence and,50,VERB,0.3831,VERB,0.3816,0,0.0000,0.0681,0.1239,0.0354,0.0000,0.0412,0.0000,0.0110,0.0000,0.0000,0.1424,0.0000,0.0000,0.0124,0.0000,0.3831,0.0000,0.0000,0.0306,0.1325,0.0272,0.0000,0.0083,0.0000,0.0073,0.0000,0.0000,0.1287,0.0000,0.0000,0.0026,0.0000,0.3816,0.0000
He dumped trash at the cremation ghat and,49,VERB,0.6012,VERB,0.6869,0,0.0000,0.0139,0.0845,0.0330,0.0000,0.0816,0.0000,0.0000,0.0000,0.0000,0.0370,0.0000,0.0000,0.0000,0.0000,0.6012,0.0000,0.0000,0.0024,0.0875,0.0249,0.0000,0.0161,0.0000,0.0000,0.0000,0.0000,0.0262,0.0000,0.0000,0.0000,0.0000,0.6869,0.0000
He dusted the urn on the mantel and,50,VERB,0.8697,VERB,0.9049,0,0.0000,0.0000,0.0572,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,0.8697,0.0000,0.0000,0.0000,0.0322,0.0000,0.0000,0.0051,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.9049,0.0000
He elbowed the commuter away from the doors and,50,VERB,0.7929,VERB,0.8266,0,0.0000,0.0464,0.0220,0.0000,0.0000,0.0185,0.0000,0.0097,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.7929,0.0000,0.0000,0.0192,0.0156,0.0000,0.0000,0.0019,0.0000,0.0036,0.0000,0.0000,0.0066,0.0000,0.0000,0.0000,0.0000,0.8266,0.0000
He emptied the can of petrol over the front seats of the car and then,50,VERB,0.8892,VERB,0.9641,0,0.0000,0.0000,0.0168,0.0000,0.0000,0.0111,0.0000,0.0000,0.0000,0.0000,0.0235,0.0000,0.0000,0.0000,0.0000,0.8892,0.0000,0.0000,0.0000,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,0.9641,0.0000
He engraved the gravestone and,50,VERB,0.5715,VERB,0.6536,0,0.0000,0.0000,0.0791,0.0323,0.0000,0.1334,0.0000,0.0157,0.0000,0.0000,0.0890,0.0000,0.0000,0.0000,0.0000,0.5715,0.0000,0.0000,0.0000,0.0626,0.0094,0.0000,0.0260,0.0000,0.0043,0.0000,0.0000,0.0454,0.0000,0.0000,0.0000,0.0000,0.6536,0.0000
He entered her,50,NOUN,0.7421,NOUN,0.9233,0,0.0022,0.1796,0.0114,0.0000,0.0004,0.0000,0.0000,0.7421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0426,0.0004,0.0000,0.0000,0.0000,0.0000,0.9233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
He examined the chicken\'s foot and,50,VERB,0.8385,VERB,0.9250,0,0.0000,0.0000,0.0131,0.0097,0.0000,0.0354,0.0000,0.0239,0.0000,0.0000,0.0224,0.0000,0.0000,0.0000,0.0000,0.8385,0.0000,0.0000,0.0000,0.0038,0.0020,0.0000,0.0048,0.0000,0.0081,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,0.9250,0.0000
He fed the pig in the pen for days and,50,NOUN,0.5122,NOUN,0.6087,0,0.0000,0.0025,0.1415,0.0156,0.0000,0.0195,0.0000,0.5122,0.0000,0.0000,0.0804,0.0000,0.0000,0.0031,0.0000,0.0857,0.0000,0.0000,0.0003,0.1202,0.0035,0.0000,0.0036,0.0000,0.6087,0.0000,0.0000,0.0348,0.0000,0.0000,0.0001,0.0000,0.0666,0.0000
He fell to his knees on the hospital floor and sobbed until,50,PRON,0.6652,PRON,0.6765,0,0.0000,0.0000,0.0296,0.0000,0.0000,0.2374,0.0000,0.0177,0.0000,0.0000,0.6652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,0.0000,0.0000,0.1113,0.0000,0.0159,0.0000,0.0000,0.6765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
He felt a deep sense of,50,NOUN,0.9812,NOUN,0.9829,0,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
He felt the adrenaline surge as the rollercoaster dropped and,50,VERB,0.4641,VERB,0.3934,0,0.0289,0.0000,0.0598,0.0000,0.0000,0.0867,0.0000,0.0000,0.0000,0.0000,0.2532,0.0000,0.0000,0.0000,0.0000,0.4641,0.0000,0.0603,0.0000,0.0142,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000,0.2604,0.0000,0.0000,0.0000,0.0000,0.3934,0.0000
He filled the ablution fountain and,50,VERB,0.7604,VERB,0.7740,0,0.0000,0.0000,0.0536,0.0000,0.0000,0.0847,0.0000,0.0019,0.0000,0.0000,0.0428,0.0000,0.0000,0.0000,0.0000,0.7604,0.0000,0.0000,0.0000,0.0157,0.0000,0.0000,0.0248,0.0000,0.0023,0.0000,0.0000,0.0122,0.0000,0.0000,0.0000,0.0000,0.7740,0.0000
He filled the offering bowls and,50,VERB,0.7854,VERB,0.8030,0,0.0000,0.0000,0.0431,0.0000,0.0000,0.0000,0.0000,0.0207,0.0000,0.0000,0.0156,0.0000,0.0000,0.0000,0.0000,0.7854,0.0000,0.0000,0.0000,0.0188,0.0000,0.0000,0.0000,0.0000,0.0188,0.0000,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.8030,0.0000
He fixed the call-to-prayer speaker on the minaret and,50,VERB,0.7413,VERB,0.8051,0,0.0000,0.0000,0.0507,0.0083,0.0000,0.0352,0.0000,0.0000,0.0000,0.0000,0.0434,0.0000,0.0000,0.0000,0.0000,0.7413,0.0000,0.0000,0.0000,0.0410,0.0011,0.0000,0.0057,0.0000,0.0000,0.0000,0.0000,0.0165,0.0000,0.0000,0.0000,0.0000,0.8051,0.0000
He folded his reading glasses into his shirt pocket at the display rack and,50,VERB,0.9453,VERB,0.9514,0,0.0000,0.0000,0.0311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9453,0.0000,0.0000,0.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9514,0.0000
He folded the flag draped over the fallen officer\'s casket and,50,VERB,0.9237,VERB,0.9351,0,0.0000,0.0000,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9237,0.0000,0.0000,0.0000,0.0318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9351,0.0000
He folded the parrot\'s wing and,50,VERB,0.8074,VERB,0.8191,0,0.0000,0.0000,0.0518,0.0000,0.0000,0.0226,0.0000,0.0382,0.0000,0.0000,0.0247,0.0000,0.0000,0.0000,0.0000,0.8074,0.0000,0.0000,0.0000,0.0575,0.0000,0.0000,0.0070,0.0000,0.0318,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,0.8191,0.0000
He folded the sunglasses into his shirt pocket at the display rack and,50,VERB,0.9128,VERB,0.9316,0,0.0000,0.0000,0.0672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9128,0.0000,0.0000,0.0000,0.0469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9316,0.0000
He folded the tallit on the floor and,50,VERB,0.9279,VERB,0.9566,0,0.0000,0.0000,0.0156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0119,0.0000,0.0000,0.0000,0.0000,0.9279,0.0000,0.0000,0.0000,0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,0.9566,0.0000
He followed his brother into the river and,50,VERB,0.6419,VERB,0.6716,0,0.0000,0.0268,0.0332,0.0821,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0848,0.0000,0.0000,0.0117,0.0000,0.6419,0.0000,0.0000,0.0080,0.0249,0.0330,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0580,0.0000,0.0000,0.0027,0.0000,0.6716,0.0000
He forced her to,49,VERB,0.8961,VERB,0.9390,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0385,0.0000,0.0000,0.0000,0.0000,0.0177,0.0000,0.0000,0.0000,0.0000,0.8961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0124,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.0000,0.9390,0.0000
He forged his supervisor\'s signature on the overtime form and,50,VERB,0.7624,VERB,0.8841,0,0.0000,0.0000,0.1050,0.0247,0.0000,0.0227,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.7624,0.0000,0.0000,0.0000,0.0525,0.0080,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,0.8841,0.0000
He forwarded his sister\'s newsletter to their whole family and,50,VERB,0.3509,VERB,0.4735,0,0.0106,0.0000,0.0866,0.0202,0.0000,0.0359,0.0000,0.0917,0.0000,0.0379,0.2560,0.0000,0.0000,0.0051,0.0000,0.3509,0.0000,0.0031,0.0000,0.1115,0.0105,0.0000,0.0120,0.0000,0.0327,0.0000,0.0060,0.1544,0.0000,0.0000,0.0000,0.0000,0.4735,0.0000
He forwarded his sister\'s private email to their whole family and,50,VERB,0.3363,VERB,0.3092,0,0.0078,0.0000,0.0986,0.0216,0.0000,0.0388,0.0000,0.0808,0.0000,0.0277,0.2080,0.0000,0.0000,0.0070,0.0000,0.3363,0.0000,0.0041,0.0000,0.1175,0.0142,0.0000,0.0125,0.0000,0.0741,0.0000,0.0044,0.1600,0.0000,0.0000,0.0007,0.0000,0.3092,0.0000
He freed the dolphin caught in the net and,50,VERB,0.7236,VERB,0.8133,0,0.0000,0.0000,0.0891,0.0000,0.0000,0.0079,0.0000,0.0000,0.0000,0.0000,0.0740,0.0000,0.0000,0.0000,0.0000,0.7236,0.0000,0.0000,0.0000,0.0541,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0273,0.0000,0.0000,0.0000,0.0000,0.8133,0.0000
He gaffed the dolphin caught in the net and,50,VERB,0.7259,VERB,0.7932,0,0.0000,0.0000,0.0597,0.0271,0.0000,0.0133,0.0000,0.0000,0.0000,0.0000,0.0872,0.0000,0.0000,0.0000,0.0000,0.7259,0.0000,0.0000,0.0000,0.0630,0.0072,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0260,0.0000,0.0000,0.0000,0.0000,0.7932,0.0000
He garlanded the Guanyin statue and,50,VERB,0.8023,VERB,0.8760,0,0.0000,0.0000,0.0722,0.0044,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0120,0.0083,0.0000,0.0000,0.0000,0.8023,0.0000,0.0000,0.0000,0.0301,0.0000,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0037,0.0034,0.0000,0.0000,0.0000,0.8760,0.0000
He garlanded the murti in the shrine and,50,VERB,0.7958,VERB,0.8400,0,0.0000,0.0083,0.1397,0.0000,0.0000,0.0199,0.0000,0.0000,0.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,0.7958,0.0000,0.0000,0.0008,0.0830,0.0000,0.0000,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,0.0000
He got his supervisor\'s signature on the overtime form and,50,VERB,0.6045,VERB,0.6698,0,0.0000,0.0000,0.0798,0.0086,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,0.0915,0.0000,0.0000,0.0091,0.0000,0.6045,0.0000,0.0000,0.0000,0.0642,0.0120,0.0000,0.0099,0.0000,0.0000,0.0000,0.0000,0.0254,0.0000,0.0000,0.0000,0.0000,0.6698,0.0000
He grabbed her,50,NOUN,0.6579,NOUN,0.8828,0,0.0217,0.1760,0.0138,0.0000,0.0000,0.0000,0.0000,0.6579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.0827,0.0046,0.0000,0.0000,0.0000,0.0000,0.8828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
He grabbed her arm and twisted it behind her,50,ADV,0.9671,ADV,0.9970,0,0.0000,0.0097,0.9671,0.0000,0.0084,0.0000,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.9970,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
He grabbed her by the arm and dragged her toward the,50,NOUN,0.9821,NOUN,0.9780,0,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
He grabbed her by the hand and led her toward the,50,NOUN,0.9552,NOUN,0.9524,0,0.0412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
He grabbed her by the throat and,50,VERB,0.9302,VERB,0.9758,0,0.0000,0.0000,0.0090,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0346,0.0000,0.0000,0.0000,0.0000,0.9302,0.0000,0.0000,0.0000,0.0011,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0000,0.0000,0.0000,0.0000,0.9758,0.0000
He grabbed her wrist and told her that if she called the police he would,50,VERB,0.9542,VERB,0.9683,0,0.0000,0.0000,0.0103,0.0124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9542,0.0000,0.0000,0.0000,0.0042,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9683,0.0000
He grabbed the car keys off the counter and,50,VERB,0.9125,VERB,0.9318,0,0.0188,0.0000,0.0135,0.0106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0116,0.0000,0.0000,0.0000,0.0000,0.9125,0.0000,0.0166,0.0000,0.0060,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.9318,0.0000
He grabbed the kitchen knife off the counter and,50,VERB,0.9095,VERB,0.9451,0,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000,0.0000,0.0087,0.0000,0.0000,0.0092,0.0174,0.0000,0.0000,0.0000,0.9095,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0016,0.0023,0.0000,0.0000,0.0000,0.9451,0.0000
He gripped her wrist and held it against the desk and,50,VERB,0.5457,VERB,0.6105,0,0.0107,0.0195,0.0757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2347,0.0000,0.0000,0.0000,0.0000,0.5457,0.0000,0.0006,0.0046,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1695,0.0000,0.0000,0.0000,0.0000,0.6105,0.0000
He gripped the phone and held it against the desk and,50,VERB,0.7976,VERB,0.8183,0,0.0000,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,0.7976,0.0000,0.0000,0.0000,0.0173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0395,0.0000,0.0000,0.0000,0.0000,0.8183,0.0000
He ground his cigarette out on the altar and,50,VERB,0.8501,VERB,0.8941,0,0.0000,0.0000,0.0465,0.0000,0.0000,0.0068,0.0000,0.0226,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.8501,0.0000,0.0000,0.0000,0.0121,0.0000,0.0000,0.0003,0.0000,0.0175,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.8941,0.0000
He ground his cigarette out on the pavement and,50,VERB,0.8877,VERB,0.9006,0,0.0070,0.0000,0.0273,0.0000,0.0000,0.0090,0.0000,0.0184,0.0000,0.0000,0.0161,0.0000,0.0000,0.0000,0.0000,0.8877,0.0000,0.0012,0.0000,0.0052,0.0000,0.0000,0.0005,0.0000,0.0089,0.0000,0.0000,0.0027,0.0000,0.0000,0.0000,0.0000,0.9006,0.0000
He guided his roommate to the floor and,50,VERB,0.8001,VERB,0.8323,0,0.0000,0.0076,0.0806,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0359,0.0000,0.0000,0.0000,0.0000,0.8001,0.0000,0.0000,0.0034,0.0787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0264,0.0000,0.0000,0.0000,0.0000,0.8323,0.0000
He guided the commuter away from the doors and,50,ADP,0.5762,ADP,0.7850,0,0.0000,0.5762,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0000,0.0000,0.0000,0.0000,0.2610,0.0000,0.0000,0.7850,0.0487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.1450,0.0000
He hacked toward the hedge with the machete and,50,VERB,0.5543,VERB,0.5492,0,0.0000,0.0117,0.0554,0.0000,0.0000,0.1461,0.0000,0.0172,0.0000,0.0000,0.0971,0.0000,0.0000,0.0107,0.0000,0.5543,0.0000,0.0000,0.0028,0.0512,0.0000,0.0000,0.1194,0.0000,0.0145,0.0000,0.0000,0.0855,0.0000,0.0000,0.0005,0.0000,0.5492,0.0000
He hacked toward the trespasser with the machete and,50,VERB,0.5882,VERB,0.5852,0,0.0000,0.0083,0.0283,0.0016,0.0000,0.0774,0.0000,0.0214,0.0000,0.0000,0.0517,0.0000,0.0000,0.0000,0.0000,0.5882,0.0000,0.0000,0.0004,0.0301,0.0001,0.0000,0.0512,0.0000,0.0079,0.0000,0.0000,0.0362,0.0000,0.0000,0.0000,0.0000,0.5852,0.0000
He had a huge,50,NOUN,1.0000,NOUN,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"He had left before she woke up, and on the floor beside the bed she found her",50,NOUN,0.8045,NOUN,0.8269,0,0.1246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8045,0.0000,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,0.0000,0.1301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8269,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0044,0.0000
He had the power to,50,VERB,0.9508,VERB,0.9910,0,0.0000,0.0000,0.0000,0.0492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9508,0.0000,0.0000,0.0000,0.0000,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9910,0.0000
He hated her and despised her and wanted to,50,VERB,0.9448,VERB,0.9863,0,0.0000,0.0000,0.0000,0.0552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9448,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9863,0.0000
He hated her and wanted her to,50,VERB,0.8942,VERB,0.9670,0,0.0000,0.0000,0.0000,0.1034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8942,0.0000,0.0000,0.0000,0.0000,0.0283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9670,0.0000
He hated her deeply and wanted to,50,VERB,0.9727,VERB,0.9882,0,0.0000,0.0000,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9882,0.0000
He hauled his neighbor into the doorway and,50,VERB,0.9117,VERB,0.9546,0,0.0000,0.0125,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,0.0000,0.0000,0.0000,0.0000,0.9117,0.0000,0.0000,0.0031,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.9546,0.0000
He held hands with his coworker under the table and,50,VERB,0.6476,VERB,0.7180,0,0.0000,0.0000,0.0268,0.0215,0.0000,0.0256,0.0000,0.0000,0.0000,0.0004,0.1793,0.0000,0.0000,0.0000,0.0000,0.6476,0.0000,0.0000,0.0000,0.0288,0.0044,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.7180,0.0000
He held hands with his daughter under the table and,50,VERB,0.7487,VERB,0.8837,0,0.0000,0.0000,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1157,0.0000,0.0000,0.0000,0.0000,0.7487,0.0000,0.0000,0.0000,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0522,0.0000,0.0000,0.0000,0.0000,0.8837,0.0000
He held her underwater until she started,50,PART,0.6167,PART,0.7879,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6167,0.0000,0.0000,0.0000,0.0000,0.0000,0.3833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7879,0.0000,0.0000,0.0000,0.0000,0.0000,0.2106,0.0000
He held her underwater until she stopped,50,VERB,1.0000,VERB,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
He held her wrist down on the mattress in the dark and,50,VERB,0.6781,VERB,0.6747,0,0.0384,0.0095,0.0312,0.0000,0.0000,0.0177,0.0000,0.0000,0.0000,0.0000,0.1761,0.0000,0.0000,0.0000,0.0000,0.6781,0.0000,0.0349,0.0020,0.0112,0.0000,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0805,0.0000,0.0000,0.0000,0.0000,0.6747,0.0000
He held his ex-partner\'s arm behind her back and,50,VERB,0.8895,VERB,0.9336,0,0.0000,0.0000,0.0436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0314,0.0000,0.0000,0.0000,0.0000,0.8895,0.0000,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.9336,0.0000
He held the dying child and felt something inside him,50,VERB,0.7660,VERB,0.7213,0,0.0161,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.1348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259,0.0000,0.7660,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000,0.7213,0.0000
He held the loaded syringe and,50,VERB,0.7453,VERB,0.8607,0,0.0000,0.0000,0.0299,0.0192,0.0000,0.0673,0.0000,0.0237,0.0000,0.0000,0.0393,0.0000,0.0000,0.0000,0.0000,0.7453,0.0000,0.0000,0.0000,0.0097,0.0007,0.0000,0.0231,0.0000,0.0060,0.0000,0.0000,0.0102,0.0000,0.0000,0.0000,0.0000,0.8607,0.0000
He held the mouse over the stove flame and,50,VERB,0.7205,VERB,0.8475,0,0.0000,0.0000,0.0487,0.0172,0.0000,0.0734,0.0000,0.0000,0.0000,0.0000,0.0715,0.0000,0.0000,0.0000,0.0000,0.7205,0.0000,0.0000,0.0000,0.0234,0.0022,0.0000,0.0180,0.0000,0.0000,0.0000,0.0000,0.0283,0.0000,0.0000,0.0000,0.0000,0.8475,0.0000
He held the mouse over the warm blanket and,50,VERB,0.7375,VERB,0.8541,0,0.0000,0.0000,0.0509,0.0000,0.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0964,0.0000,0.0000,0.0000,0.0000,0.7375,0.0000,0.0000,0.0000,0.0320,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,0.0310,0.0000,0.0000,0.0000,0.0000,0.8541,0.0000
He held the pillow down on the mattress in the dark and,50,VERB,0.7999,VERB,0.8023,0,0.0113,0.0000,0.0343,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0574,0.0000,0.0000,0.0000,0.0000,0.7999,0.0000,0.0158,0.0000,0.0224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0235,0.0000,0.0000,0.0000,0.0000,0.8023,0.0000
He held the puppy\'s head underwater and,50,VERB,0.6958,VERB,0.7166,0,0.0000,0.0000,0.1362,0.0138,0.0000,0.0242,0.0000,0.0000,0.0000,0.0000,0.0531,0.0000,0.0000,0.0053,0.0000,0.6958,0.0000,0.0000,0.0000,0.1246,0.0015,0.0000,0.0126,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000,0.0000,0.0000,0.0000,0.7166,0.0000
He held the puppy\'s paw underwater and,50,VERB,0.6600,VERB,0.7494,0,0.0000,0.0000,0.1031,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0802,0.0000,0.0000,0.0000,0.0000,0.6600,0.0000,0.0000,0.0000,0.0599,0.0000,0.0000,0.0158,0.0000,0.0000,0.0000,0.0000,0.0277,0.0000,0.0000,0.0000,0.0000,0.7494,0.0000
