pid,model,arm,pair,prompt,sample_idx,narrative_A,drift_A,drift_B,degree_A,mode_A,n_sents,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_pairwise,ordering,s_self,s_cross,s_by_base,s_by_aligned,s_cross_minus_self,s_aligned_minus_base
p006076,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt desire and longing and began to,18,False,HOLDS,HOLDS,2,TOLD,16,0.49492,0.644354,0.080666,0.755196,7.423801,0.101726,0.543251,-0.048331,3.708205,3.887415,3.708205,3.887415,0.17921,0.17921
p006077,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,0,False,HOLDS,HOLDS,2,TOLD,17,0.472314,0.665421,0.1105,0.670319,7.557025,0.088701,0.494143,-0.021829,3.154677,3.499977,3.154677,3.499977,0.345301,0.345301
p006078,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,3,False,HOLDS,HOLDS,1,TOLD,10,0.530627,0.615716,0.061939,0.653692,4.77564,0.13688,0.536046,-0.005419,3.669901,3.817517,3.669901,3.817517,0.147616,0.147616
p006079,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,5,False,UNMOORED,UNMOORED,1,TOLD,14,0.505438,0.644655,0.083799,0.708942,6.570695,0.107894,0.546734,-0.041296,5.263607,5.411847,5.263607,5.411847,0.14824,0.14824
p006080,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,6,True,HOLDS,HOLDS,2,SHOWN,16,0.496731,0.688264,0.098427,0.714132,7.450971,0.095844,0.527721,-0.03099,3.162617,3.288963,3.162617,3.288963,0.126346,0.126346
p006081,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,7,False,SHIFTS,SHIFTS,1,TOLD,13,0.458457,0.611355,0.081472,0.718968,5.501478,0.130686,0.512583,-0.054126,3.61771,3.706243,3.61771,3.706243,0.088533,0.088533
p006082,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,11,False,HOLDS,HOLDS,0,NONE,13,0.490621,0.616279,0.116739,0.687479,5.887452,0.11677,0.525981,-0.03536,2.994203,3.109939,2.994203,3.109939,0.115736,0.115736
p006083,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,13,False,HOLDS,HOLDS,1,TOLD,13,0.551901,0.628334,0.071399,0.705584,6.622807,0.106538,0.550394,0.001506,3.796657,3.936184,3.796657,3.936184,0.139527,0.139527
p006084,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,14,False,SHIFTS,HOLDS,2,TOLD,18,0.452638,0.718657,0.225508,0.735307,7.69484,0.095559,0.553179,-0.100541,3.110365,3.276396,3.110365,3.276396,0.166032,0.166032
p006085,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,15,False,SHIFTS,SHIFTS,0,NONE,12,0.524856,0.660628,0.072627,0.752619,5.77342,0.130359,0.583933,-0.059076,3.372835,3.545927,3.372835,3.545927,0.173092,0.173092
p006086,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and began to,19,False,SHIFTS,SHIFTS,1,TOLD,21,0.470354,0.652343,0.089644,0.732428,9.407074,0.077859,0.529074,-0.058721,3.270943,3.417783,3.270943,3.417783,0.14684,0.14684
p006087,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,1,False,UNMOORED,UNMOORED,1,TOLD,9,0.558783,0.648935,0.053426,0.6852,4.470266,0.15328,0.568997,-0.010213,4.385507,4.495974,4.385507,4.495974,0.110467,0.110467
p006088,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,2,False,UNMOORED,UNMOORED,2,SHOWN,12,0.535122,0.676355,0.08024,0.682618,5.886341,0.115966,0.554036,-0.018914,4.32429,4.404446,4.32429,4.404446,0.080157,0.080157
p006089,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,8,False,SHIFTS,SHIFTS,2,SHOWN,11,0.567186,0.653741,0.067069,0.804294,5.67186,0.141804,0.607579,-0.040393,4.069903,4.276768,4.069903,4.276768,0.206865,0.206865
p006090,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,13,False,SHIFTS,SHIFTS,0,NONE,7,0.597602,0.685141,0.052384,0.685141,3.585612,0.191081,0.581328,0.016273,3.940169,4.070432,3.940169,4.070432,0.130263,0.130263
p006091,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,15,False,HOLDS,HOLDS,3,SHOWN,16,0.411969,0.646239,0.116118,0.646239,6.179536,0.104577,0.445876,-0.033907,3.618595,3.779568,3.618595,3.779568,0.160973,0.160973
p006092,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,17,True,HOLDS,HOLDS,3,SHOWN,17,0.401173,0.550376,0.066216,0.704795,6.41877,0.109802,0.4397,-0.038527,2.619603,2.711063,2.619603,2.711063,0.091459,0.091459
p006093,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,18,False,SHIFTS,SHIFTS,1,TOLD,6,0.543262,0.662651,0.075773,0.732662,2.716308,0.269727,0.617864,-0.074602,3.404429,3.608835,3.404429,3.608835,0.204406,0.204406
p006094,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She felt disgust and revulsion and began to,19,False,SHIFTS,SHIFTS,1,TOLD,15,0.349092,0.568922,0.118565,0.63635,4.887288,0.130205,0.411264,-0.062172,2.975111,3.064408,2.975111,3.064408,0.089297,0.089297
p006095,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,2,False,UNMOORED,UNMOORED,1,TOLD,8,0.543928,0.601807,0.053311,0.668506,3.807497,0.175576,0.578282,-0.034353,4.249414,4.349358,4.249414,4.349358,0.099944,0.099944
p006096,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,3,False,SHIFTS,SHIFTS,2,TOLD,12,0.434636,0.541398,0.086482,0.65522,4.780992,0.137047,0.524902,-0.090266,3.136607,3.30214,3.136607,3.30214,0.165533,0.165533
p006097,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,4,False,SHIFTS,SHIFTS,1,SHOWN,20,0.528728,0.664687,0.102605,0.735208,10.045827,0.073185,0.556702,-0.027974,3.128292,3.361016,3.128292,3.361016,0.232724,0.232724
p006098,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,5,False,SHIFTS,SHIFTS,0,NONE,12,0.572531,0.788106,0.128547,0.797817,6.297843,0.126681,0.599678,-0.027147,2.690335,2.829275,2.690335,2.829275,0.13894,0.13894
p006099,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,7,False,SHIFTS,SHIFTS,2,TOLD,17,0.462424,0.592235,0.090448,0.757524,7.398783,0.102385,0.557491,-0.095067,1.669411,2.245157,1.669411,2.245157,0.575747,0.575747
p006100,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,9,False,HOLDS,HOLDS,2,SHOWN,21,0.437972,0.664888,0.136692,0.674065,8.759433,0.076953,0.500709,-0.062738,2.875582,3.04523,2.875582,3.04523,0.169648,0.169648
p006101,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,11,False,UNMOORED,UNMOORED,1,TOLD,10,0.548457,0.599269,0.040229,0.65724,4.93611,0.133149,0.545323,0.003134,4.33431,4.4647,4.33431,4.4647,0.13039,0.13039
p006102,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,14,False,SHIFTS,SHIFTS,1,TOLD,12,0.507786,0.630465,0.092386,0.712162,5.585649,0.127499,0.524016,-0.01623,3.295414,3.441015,3.295414,3.441015,0.145601,0.145601
p006103,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,15,False,UNMOORED,UNMOORED,1,TOLD,9,0.591622,0.735918,0.091378,0.735918,4.73298,0.155487,0.610747,-0.019124,3.768675,3.966317,3.768675,3.966317,0.197642,0.197642
p006104,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,17,False,HOLDS,HOLDS,1,TOLD,8,0.534966,0.646469,0.076778,0.723214,3.74476,0.193127,0.5768,-0.041834,3.286606,3.372375,3.286606,3.372375,0.085769,0.085769
p006105,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him and despised him and wanted to,18,False,UNMOORED,UNMOORED,0,NONE,11,0.553561,0.619016,0.03376,0.679706,5.535607,0.122788,0.552724,0.000837,4.778013,4.973184,4.778013,4.973184,0.195172,0.195172
p006106,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,0,False,HOLDS,HOLDS,1,TOLD,17,0.454928,0.578918,0.09368,0.726673,7.278852,0.099833,0.517466,-0.062538,3.213804,3.380311,3.213804,3.380311,0.166506,0.166506
p006107,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,1,False,HOLDS,HOLDS,1,TOLD,15,0.540191,0.698494,0.071871,0.73908,7.562668,0.097727,0.576409,-0.036219,3.37771,3.556184,3.37771,3.556184,0.178474,0.178474
p006108,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,3,False,SHIFTS,SHIFTS,2,TOLD,18,0.440973,0.583316,0.079065,0.625497,7.496537,0.083438,0.480116,-0.039143,3.157636,3.308551,3.157636,3.308551,0.150915,0.150915
p006109,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,5,True,SHIFTS,SHIFTS,3,SHOWN,15,0.42526,0.596728,0.121601,0.685586,5.953647,0.115154,0.511152,-0.085892,2.966702,3.107725,2.966702,3.107725,0.141023,0.141023
p006110,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,10,False,SHIFTS,UNMOORED,0,NONE,7,0.534265,0.665274,0.122528,0.684857,3.205589,0.213645,0.56618,-0.031915,2.813288,2.984808,2.813288,2.984808,0.171519,0.171519
p006111,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,11,False,HOLDS,HOLDS,1,TOLD,13,0.504325,0.617541,0.086359,0.686235,6.051905,0.113392,0.542074,-0.037748,3.472965,3.579703,3.472965,3.579703,0.106738,0.106738
p006112,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,16,False,SHIFTS,SHIFTS,3,SHOWN,20,0.502656,0.663187,0.095244,0.719855,9.550465,0.075374,0.532488,-0.029832,2.885799,2.964888,2.885799,2.964888,0.079089,0.079089
p006113,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,18,False,HOLDS,HOLDS,2,TOLD,11,0.502054,0.666481,0.076654,0.705466,5.020541,0.140516,0.537569,-0.035515,3.372327,3.489665,3.372327,3.489665,0.117338,0.117338
p006114,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She hated him deeply and wanted to,19,False,SHIFTS,SHIFTS,0,NONE,24,0.547905,0.747495,0.11016,0.787255,12.60181,0.062472,0.553225,-0.00532,2.943442,3.109857,2.943442,3.109857,0.166415,0.166415
p006115,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and adored him and wanted to,7,False,UNMOORED,UNMOORED,1,TOLD,6,0.604886,0.678654,0.044438,0.678654,3.024432,0.224391,0.605908,-0.001022,3.882654,4.004042,3.882654,4.004042,0.121387,0.121387
p006116,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and adored him and wanted to,9,False,UNMOORED,UNMOORED,1,TOLD,15,0.502541,0.601131,0.059403,0.666512,7.035581,0.094734,0.526026,-0.023485,3.982777,4.158578,3.982777,4.158578,0.175801,0.175801
p006117,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and adored him and wanted to,10,False,UNMOORED,UNMOORED,0,NONE,16,0.481408,0.630681,0.061493,0.68936,7.221115,0.095464,0.508265,-0.026858,3.52047,3.716061,3.52047,3.716061,0.195591,0.195591
p006118,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and adored him and wanted to,11,False,SHIFTS,HOLDS,0,NONE,11,0.465667,0.636833,0.120647,0.667792,4.656669,0.143406,0.470062,-0.004395,3.342429,3.411476,3.342429,3.411476,0.069047,0.069047
p006119,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and adored him and wanted to,14,False,UNMOORED,UNMOORED,1,TOLD,9,0.632848,0.74788,0.062536,0.74788,5.062784,0.147721,0.620499,0.012349,3.286289,3.462897,3.286289,3.462897,0.176608,0.176608
p006120,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and adored him and wanted to,18,False,UNMOORED,UNMOORED,0,NONE,6,0.559936,0.638239,0.055695,0.698381,2.799679,0.249451,0.557298,0.002638,4.661943,4.823223,4.661943,4.823223,0.16128,0.16128
p006121,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and hated him and wanted to,0,False,HOLDS,HOLDS,3,SHOWN,8,0.431661,0.473467,0.035429,0.600865,3.021624,0.198855,0.489703,-0.058043,3.466402,3.620588,3.466402,3.620588,0.154186,0.154186
p006122,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and hated him and wanted to,1,False,SHIFTS,HOLDS,1,TOLD,9,0.482987,0.558714,0.0765,0.652076,3.863894,0.168761,0.50879,-0.025803,3.440628,3.573693,3.440628,3.573693,0.133065,0.133065
p006123,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and hated him and wanted to,4,True,HOLDS,HOLDS,0,NONE,2,,,,,,,,,3.348719,3.701091,3.348719,3.701091,0.352371,0.352371
p006124,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and hated him and wanted to,8,True,HOLDS,HOLDS,2,SHOWN,14,0.506465,0.676335,0.115095,0.694859,6.58404,0.105537,0.512565,-0.0061,3.515364,3.631097,3.515364,3.631097,0.115733,0.115733
p006125,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and hated him and wanted to,12,False,UNMOORED,UNMOORED,1,TOLD,14,0.528345,0.658267,0.086331,0.728961,6.868488,0.106131,0.549875,-0.021529,3.958401,4.08298,3.958401,4.08298,0.124579,0.124579
p006126,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and hated him and wanted to,13,False,UNMOORED,UNMOORED,0,NONE,7,0.574651,0.636122,0.058614,0.691559,3.447903,0.200574,0.587019,-0.012368,3.751279,3.999036,3.751279,3.999036,0.247757,0.247757
p006127,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him and hated him and wanted to,14,False,SHIFTS,UNMOORED,2,SHOWN,15,0.48934,0.605843,0.059278,0.666623,6.850765,0.097306,0.522686,-0.033346,3.941571,4.00341,3.941571,4.00341,0.061839,0.061839
p006128,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,4,False,SHIFTS,UNMOORED,1,TOLD,12,0.594819,0.658324,0.05892,0.700688,6.543014,0.107089,0.583393,0.011427,4.35073,4.532076,4.35073,4.532076,0.181345,0.181345
p006129,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,6,False,SHIFTS,SHIFTS,1,TOLD,7,0.502584,0.632004,0.080052,0.667979,3.015505,0.221515,0.528874,-0.02629,3.776986,3.863621,3.776986,3.863621,0.086634,0.086634
p006130,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,8,False,SHIFTS,SHIFTS,1,TOLD,11,0.55619,0.652282,0.064694,0.688793,5.561899,0.123841,0.571499,-0.01531,3.350512,3.513999,3.350512,3.513999,0.163487,0.163487
p006131,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,9,False,HOLDS,HOLDS,1,TOLD,8,0.485322,0.561922,0.055842,0.628906,3.397254,0.185122,0.483424,0.001898,3.665976,3.782035,3.665976,3.782035,0.116059,0.116059
p006132,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,11,False,HOLDS,HOLDS,2,TOLD,10,0.389802,0.58462,0.113458,0.622943,3.508217,0.177567,0.444853,-0.055051,3.128137,3.240039,3.128137,3.240039,0.111902,0.111902
p006133,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,12,False,SHIFTS,SHIFTS,1,TOLD,13,0.460273,0.637627,0.099634,0.662582,5.523271,0.119962,0.508096,-0.047824,3.59069,3.713899,3.59069,3.713899,0.123209,0.123209
p006134,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,14,False,UNMOORED,UNMOORED,1,TOLD,15,0.472806,0.641581,0.08284,0.696214,6.619289,0.10518,0.546464,-0.073658,3.893493,4.025423,3.893493,4.025423,0.13193,0.13193
p006135,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and hated him deeply and wanted to,16,False,UNMOORED,UNMOORED,1,TOLD,12,0.615305,0.730053,0.083494,0.741725,6.76835,0.109587,0.628034,-0.012729,4.264868,4.459385,4.264868,4.459385,0.194518,0.194518
p006136,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She loved him deeply and wanted to,18,False,HOLDS,HOLDS,2,TOLD,18,0.504789,0.620073,0.087996,0.663285,8.581417,0.077293,0.528739,-0.02395,3.603856,3.794433,3.603856,3.794433,0.190577,0.190577
p006137,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,6,False,UNMOORED,UNMOORED,1,TOLD,13,0.55832,0.646919,0.061978,0.704703,6.699841,0.105182,0.563866,-0.005546,4.79228,4.983941,4.79228,4.983941,0.191661,0.191661
p006138,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,9,True,HOLDS,HOLDS,2,SHOWN,20,0.40074,0.570473,0.087253,0.685019,7.614055,0.089968,0.487519,-0.086779,3.608624,3.716293,3.608624,3.716293,0.107669,0.107669
p006139,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,10,False,UNMOORED,UNMOORED,1,TOLD,14,0.555802,0.718842,0.112059,0.72925,7.22543,0.100928,0.585881,-0.030079,4.118314,4.292036,4.118314,4.292036,0.173722,0.173722
p006140,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,11,False,HOLDS,HOLDS,1,TOLD,11,0.509254,0.631291,0.067114,0.660098,5.092541,0.12962,0.519759,-0.010505,4.199269,4.304374,4.199269,4.304374,0.105105,0.105105
p006141,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,12,False,UNMOORED,UNMOORED,1,TOLD,16,0.519761,0.640791,0.086078,0.699146,7.796421,0.089675,0.545635,-0.025874,4.184587,4.284688,4.184587,4.284688,0.100101,0.100101
p006142,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,13,False,SHIFTS,SHIFTS,0,NONE,17,0.565064,0.648758,0.063983,0.733371,9.04103,0.081116,0.571467,-0.006403,4.137156,4.261458,4.137156,4.261458,0.124302,0.124302
p006143,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,14,False,HOLDS,HOLDS,0,NONE,2,,,,,,,,,4.057093,4.506768,4.057093,4.506768,0.449674,0.449674
p006144,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,17,False,SHIFTS,SHIFTS,1,TOLD,10,0.54284,0.72398,0.116908,0.735508,4.885557,0.150548,0.586306,-0.043466,2.96741,3.107901,2.96741,3.107901,0.140491,0.140491
p006145,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and feared him and decided to,18,True,HOLDS,HOLDS,2,TOLD,9,0.443272,0.510007,0.046617,0.628431,3.546178,0.177214,0.498619,-0.055347,3.371557,3.50019,3.371557,3.50019,0.128633,0.128633
p006146,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and relied on him and decided to,0,False,SHIFTS,SHIFTS,0,NONE,10,0.528198,0.684213,0.097443,0.684213,4.753779,0.14393,0.542355,-0.014157,2.712871,2.963491,2.712871,2.963491,0.250619,0.250619
p006147,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and relied on him and decided to,1,False,HOLDS,HOLDS,1,TOLD,12,0.545145,0.630443,0.048534,0.659701,5.996598,0.110013,0.543204,0.001941,4.164232,4.299992,4.164232,4.299992,0.135761,0.135761
p006148,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and relied on him and decided to,2,False,SHIFTS,HOLDS,0,NONE,12,0.464881,0.626124,0.086798,0.690053,5.113688,0.134942,0.500121,-0.035241,3.569478,3.787925,3.569478,3.787925,0.218447,0.218447
p006149,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and relied on him and decided to,5,False,UNMOORED,UNMOORED,0,NONE,11,0.556816,0.632663,0.051535,0.693167,5.568159,0.124488,0.560667,-0.003851,4.544048,4.648019,4.544048,4.648019,0.103971,0.103971
p006150,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and relied on him and decided to,10,False,HOLDS,HOLDS,2,SHOWN,16,0.441077,0.579148,0.114109,0.691012,6.616158,0.104443,0.526256,-0.085179,2.722828,2.812964,2.722828,2.812964,0.090136,0.090136
p006151,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and relied on him and decided to,12,False,UNMOORED,UNMOORED,1,TOLD,11,0.590309,0.716245,0.066493,0.729581,5.903094,0.123593,0.601512,-0.011203,4.874286,5.020231,4.874286,5.020231,0.145946,0.145946
p006152,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted and relied on him and decided to,16,False,HOLDS,HOLDS,0,NONE,9,0.525729,0.656471,0.091837,0.748175,4.205832,0.17789,0.507077,0.018652,3.410274,3.596322,3.410274,3.596322,0.186048,0.186048
p006153,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and decided to,3,False,HOLDS,HOLDS,0,NONE,3,0.668964,0.692688,0.023725,0.692688,1.337927,0.517732,0.667923,0.001041,3.000721,3.258155,3.000721,3.258155,0.257434,0.257434
p006154,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and decided to,4,True,HOLDS,HOLDS,2,SHOWN,13,0.549501,0.702453,0.078878,0.734953,6.594016,0.111458,0.568821,-0.019319,3.02031,3.161341,3.02031,3.161341,0.141031,0.141031
p006155,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and decided to,9,False,HOLDS,HOLDS,0,NONE,5,0.584546,0.694687,0.084294,0.702767,2.338184,0.300561,0.588421,-0.003875,3.79061,4.022769,3.79061,4.022769,0.23216,0.23216
p006156,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and decided to,10,True,HOLDS,HOLDS,1,TOLD,9,0.521335,0.621392,0.072857,0.64402,4.17068,0.154416,0.517439,0.003896,3.049667,3.197832,3.049667,3.197832,0.148165,0.148165
p006157,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and decided to,13,False,SHIFTS,SHIFTS,0,NONE,14,0.50329,0.714936,0.10858,0.789206,6.542768,0.120623,0.550319,-0.047029,2.964172,3.208841,2.964172,3.208841,0.24467,0.24467
p006158,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and decided to,15,False,SHIFTS,HOLDS,2,TOLD,12,0.413704,0.615275,0.126123,0.689353,4.55074,0.151482,0.523056,-0.109352,3.899251,4.046607,3.899251,4.046607,0.147356,0.147356
p006159,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and decided to,17,False,SHIFTS,HOLDS,0,NONE,2,,,,,,,,,2.887003,3.005069,2.887003,3.005069,0.118065,0.118065
p006160,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and feared him completely and decided to,0,False,UNMOORED,SHIFTS,0,NONE,16,0.601858,0.736084,0.067239,0.772508,9.027878,0.085569,0.619701,-0.017843,2.808314,3.013432,2.808314,3.013432,0.205118,0.205118
p006161,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and feared him completely and decided to,1,False,HOLDS,HOLDS,2,TOLD,13,0.542667,0.623734,0.056269,0.747809,6.512008,0.114835,0.544476,-0.001809,3.898326,4.030107,3.898326,4.030107,0.131782,0.131782
p006162,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and feared him completely and decided to,6,False,HOLDS,UNMOORED,1,TOLD,8,0.551735,0.62081,0.066017,0.634978,3.862147,0.164411,0.565869,-0.014134,4.765411,4.884812,4.765411,4.884812,0.119402,0.119402
p006163,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and feared him completely and decided to,8,False,UNMOORED,UNMOORED,0,NONE,12,0.567123,0.788533,0.109458,0.804734,6.238349,0.128998,0.587187,-0.020064,3.884649,4.001761,3.884649,4.001761,0.117112,0.117112
p006164,HuggingFaceTB/SmolLM2-360M,base,HuggingFaceTB/SmolLM2-360M,She trusted him completely and feared him completely and decided to,11,False,HOLDS,HOLDS,1,TOLD,2,,,,,,,,,2.800314,3.249942,2.800314,3.249942,0.449628,0.449628
