id,pool,group,model,arm,bits_per_token,mean_drift,mean_pairwise,n_sents,n_tokens_total,n_bytes
mode-2dd6ca02075a30,model_narrative,tiiuae/Falcon3-1B-Instruct,tiiuae/Falcon3-1B-Instruct,aligned,2.831175,0.528336,0.550759,17,253,1131
mode-be5f525d7d9e56,model_narrative,tiiuae/Falcon3-3B-Instruct,tiiuae/Falcon3-3B-Instruct,aligned,2.675765,0.42088,0.47018,15,262,1216
mode-4aed27d0278cb5,model_narrative,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,3.707501,0.411251,0.462534,14,234,1052
mode-8b801ca74dff65,model_narrative,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,3.99451,0.497571,0.533311,15,258,1090
huma-4f87871989bace,human_anchor,philosophy,,human,4.097537,0.500546,0.532486,8,236,1112
mode-32d2c887c728af,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,3.555799,0.472075,0.497673,15,269,1149
mode-87a2138889ad7e,model_narrative,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,base,5.745082,0.535585,0.538202,14,251,1100
mode-4f8756d918ab79,model_narrative,m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-SFT-DPO,aligned,3.039405,0.485392,0.52669,14,252,995
mode-62cfcd942fdd3d,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,2.598947,0.395272,0.376058,14,248,1195
mode-e7bbabd0b8e35d,model_narrative,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,aligned,4.255136,0.381141,0.406177,11,256,1183
mode-8089bbc1e1369a,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,2.258149,0.370678,0.418931,14,242,1078
huma-239bc8c9bf40c9,human_anchor,dreams,,human,4.393928,0.503224,0.523854,12,226,978
mode-1f97296cc9e21f,model_narrative,BSC-LT/salamandra-7b-instruct,BSC-LT/salamandra-7b-instruct,aligned,4.751286,0.447937,0.478207,17,227,1053
huma-5d9744f4c8953b,human_anchor,literary_criticism,,human,3.585752,0.474942,0.487248,10,240,1074
mode-5d621b71186bd7,model_narrative,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,4.372212,0.48912,0.505671,21,258,1039
mode-f15be4e1fb16fd,model_narrative,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Base,base,4.485278,0.451461,0.493116,15,255,1004
mode-a8adc4f43a3819,model_narrative,m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b_instruct_v0.1,aligned,3.275267,0.492475,0.519053,11,241,1106
mode-e8f84d3aa95d73,model_narrative,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,4.716948,0.519311,0.543243,14,261,1167
mode-df2ac440964a9e,model_narrative,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B-Base,base,5.254232,0.466613,0.49276,9,257,1209
huma-83259fa51d08c3,human_anchor,waking_narrative,,human,3.42386,0.414477,0.468562,13,228,999
mode-ddf5db4b2c794c,model_narrative,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,4.222702,0.4832,0.512855,23,265,1074
huma-6d4abb0eff7869,human_anchor,arxiv_abstracts,,human,4.040989,0.463993,0.458211,8,254,1376
huma-f9901862297786,human_anchor,literary_criticism,,human,6.686051,0.559011,0.581949,16,365,1127
mode-758a5d9c8c0d5a,model_narrative,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,4.807258,0.418209,0.46395,16,227,989
huma-e28b1c679bd65d,human_anchor,waking_narrative,,human,3.611614,0.411869,0.46114,13,215,973
mode-49b5daa2a957c9,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,4.92455,0.536135,0.535562,15,250,1004
mode-8e02340245860b,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,3.496139,0.422974,0.451925,10,210,944
mode-60d48d639319d3,model_narrative,lomahony/eleuther-pythia6.9b-hh-dpo,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,3.704626,0.423401,0.457644,21,254,1046
huma-e3220b6a0e7a0c,human_anchor,literary_criticism,,human,4.987719,0.426895,0.48032,5,242,1158
mode-aed5935a6c2392,model_narrative,m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b_instruct_v0.1,aligned,3.783576,0.43227,0.498832,10,240,1015
huma-ea2a2d9c27b3f1,human_anchor,waking_narrative,,human,3.075585,0.401288,0.431567,13,226,949
mode-86fe0e8b66594b,model_narrative,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,3.990691,0.487957,0.50716,19,273,1035
mode-904a24cb87d3f6,model_narrative,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,3.915244,0.486923,0.473515,15,256,1089
huma-5b1997a10506ab,human_anchor,arxiv_abstracts,,human,5.049374,0.434634,0.463982,7,278,1427
huma-0b8c8c3d9739a3,human_anchor,c20_fiction,,human,2.872558,0.467755,0.494924,10,257,1017
huma-72d2025b09afc5,human_anchor,arxiv_abstracts,,human,4.428728,0.459633,0.473785,9,225,1452
mode-4655bf069ff22f,model_narrative,bigscience/bloom-7b1,bigscience/bloom-7b1,base,3.939092,0.556661,0.537454,14,262,955
mode-f97f72324537aa,model_narrative,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,4.10936,0.509081,0.513063,18,255,1055
huma-9c2c6834cb2226,human_anchor,waking_narrative,,human,3.35731,0.420748,0.435835,19,244,1021
mode-2f1bf8bbeb42a9,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,4.14228,0.452359,0.49675,11,259,1178
mode-820e5b150db75a,model_narrative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,base,3.959918,0.464456,0.504064,12,269,1205
huma-0b40f13254f236,human_anchor,c20_fiction,,human,4.158716,0.469545,0.518632,13,228,1032
mode-3baf5f1cbc0bcb,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.437127,0.444415,0.493355,24,263,1047
mode-5e360ce03c8b46,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,2.590069,0.373339,0.420556,17,268,1142
mode-a53a22588e4e42,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,2.553711,0.463424,0.465243,13,240,1029
mode-1c0387e0288e62,model_narrative,BSC-LT/salamandra-7b,BSC-LT/salamandra-7b,base,5.121135,0.472567,0.483777,12,237,1058
mode-61ca86a4d10b5c,model_narrative,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,aligned,3.88286,0.48233,0.508006,13,265,1161
huma-08bf17b2f241f7,human_anchor,philosophy,,human,4.193964,0.360631,0.403975,7,235,1143
mode-ea9892c08a5daf,model_narrative,BSC-LT/salamandra-7b-instruct,BSC-LT/salamandra-7b-instruct,aligned,4.612622,0.425213,0.42861,20,229,1051
mode-2a379362f62487,model_narrative,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,base,5.673904,0.448889,0.519172,17,251,1150
mode-b107d9e56212f6,model_narrative,huggyllama/llama-7b,huggyllama/llama-7b,base,4.325784,0.389666,0.431984,9,235,1066
mode-c3fffb53112876,model_narrative,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,base,3.884351,0.450414,0.487485,19,221,840
huma-6683a28cd222b9,human_anchor,literary_criticism,,human,5.146658,0.551573,0.570474,14,280,1168
mode-89f86a163fed56,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,4.607682,0.539552,0.538362,15,257,1046
huma-c7738fee6826df,human_anchor,arxiv_abstracts,,human,4.545694,0.457431,0.470252,8,265,1434
mode-88fec0759dee84,model_narrative,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,base,4.280637,0.44079,0.498617,17,241,1064
mode-9ea31e5d2a2093,model_narrative,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,base,4.259778,0.472386,0.48802,22,298,1128
mode-f38e62e16f009e,model_narrative,allenai/Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,base,4.80742,0.409633,0.469368,25,259,1138
huma-902e4f00894409,human_anchor,philosophy,,human,3.485567,0.503453,0.5594,12,318,1109
mode-1de476effdbbaf,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.497904,0.455189,0.505463,13,258,1113
mode-c01a41ef8a9acd,model_narrative,01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,aligned,3.742069,0.40062,0.432033,13,249,1209
huma-1c596339cbb98f,human_anchor,waking_narrative,,human,3.07057,0.415459,0.460879,12,218,965
huma-61642540adbeb7,human_anchor,arxiv_abstracts,,human,4.839528,0.43435,0.458565,8,259,1526
mode-5f49007ee2bc38,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,4.22789,0.465129,0.506709,24,265,1077
huma-28be26f5b1d30f,human_anchor,arxiv_abstracts,,human,6.152012,0.483973,0.498321,10,230,1318
mode-3bdeca04c920b2,model_narrative,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,3.671144,0.46334,0.509715,26,258,1011
mode-43be966b6f80ef,model_narrative,BSC-LT/salamandra-7b,BSC-LT/salamandra-7b,base,4.984085,0.455741,0.502327,20,238,1014
mode-2a0ae6a26dd6c4,model_narrative,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,base,3.767539,0.46779,0.499064,22,280,1064
mode-e779f01922d52c,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.139625,0.456296,0.504064,23,264,1004
mode-18266600a2fb11,model_narrative,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,base,5.353328,0.458136,0.457712,8,248,1114
mode-147c149f72ceaf,model_narrative,allenai/Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,base,4.934834,0.390955,0.418438,5,270,1175
mode-32fccbffaca07b,model_narrative,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,3.738274,0.483224,0.471108,14,266,1122
mode-d67dc2b5c9c742,model_narrative,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,5.187566,0.465274,0.495279,13,248,1143
mode-46d407bb1cf57f,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,2.820537,0.438961,0.44289,10,243,1108
mode-84e14dc5d98b79,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.284107,0.512081,0.509657,21,253,977
mode-42c18a9b9d68ee,model_narrative,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,4.245915,0.541763,0.50839,13,253,1093
mode-499cdd3207f50b,model_narrative,BSC-LT/salamandra-7b-instruct,BSC-LT/salamandra-7b-instruct,aligned,4.355412,0.420756,0.455891,13,240,1119
mode-64596047ed7bf9,model_narrative,lomahony/eleuther-pythia6.9b-hh-dpo,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,3.386071,0.497759,0.483847,17,259,1082
huma-1f353c007f55ef,human_anchor,philosophy,,human,4.338162,0.548766,0.535747,10,349,1102
mode-b95ca1002c33a1,model_narrative,BSC-LT/salamandra-7b,BSC-LT/salamandra-7b,base,5.503168,0.430734,0.514751,15,233,1055
huma-58aeec6c34a1de,human_anchor,philosophy,,human,3.79213,0.443463,0.454036,8,249,1154
huma-1a51fa54e174c0,human_anchor,dreams,,human,4.005152,0.393638,0.441892,12,228,1024
mode-bc3a02baabc549,model_narrative,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,3.938587,0.373977,0.435745,13,259,1262
mode-d32f68782fe510,model_narrative,m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-SFT-DPO,aligned,3.449448,0.464755,0.45703,19,240,928
mode-facfa7501f6d79,model_narrative,lomahony/eleuther-pythia6.9b-hh-dpo,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,3.729033,0.484467,0.476714,16,250,1062
huma-82082783ed61fe,human_anchor,c20_fiction,,human,4.227038,0.480846,0.503154,18,231,1077
mode-9788f36cbbdf38,model_narrative,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,base,5.244722,0.486591,0.522456,16,261,1036
huma-dca02b02534d6f,human_anchor,dreams,,human,3.801902,0.417584,0.484504,16,220,963
mode-67b9e3c55e9fc2,model_narrative,m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-SFT-DPO,aligned,3.722362,0.46689,0.479117,19,245,885
huma-5be9a420ae527a,human_anchor,dreams,,human,4.176078,0.382778,0.451125,13,222,988
mode-a1970585d9d176,model_narrative,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Base,base,5.00056,0.445489,0.49696,14,258,1182
mode-39892bc886b901,model_narrative,tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Instruct,aligned,3.714519,0.403103,0.421145,15,261,1134
mode-3b9b91142b8780,model_narrative,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,base,4.682645,0.419553,0.473936,30,232,875
mode-549dd2bea0b9b3,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,2.914668,0.384045,0.409517,21,227,863
mode-838cb13a2ff688,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,2.730345,0.505388,0.514677,12,249,1026
huma-a999699a399ba6,human_anchor,waking_narrative,,human,3.983236,0.41416,0.435464,11,207,992
huma-1a50557923b252,human_anchor,dreams,,human,3.43584,0.410266,0.457346,9,230,918
mode-a8158544951485,model_narrative,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-hf,base,3.126053,0.460485,0.479133,25,279,1027
huma-eadf5acd5464e7,human_anchor,dreams,,human,4.36752,0.408513,0.465462,9,226,994
huma-aea554fb143ff7,human_anchor,c20_fiction,,human,5.515097,0.472281,0.481188,7,241,1186
huma-d88db671bf87ed,human_anchor,philosophy,,human,4.409783,0.551268,0.545536,7,291,1237
mode-e4605f3f9fb994,model_narrative,allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125-DPO,aligned,2.548862,0.399505,0.422999,17,255,1090
mode-69d1ede54e320a,model_narrative,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,4.808886,0.496994,0.501252,17,255,1054
mode-1bc79cfb118383,model_narrative,LLM360/Amber,LLM360/Amber,base,4.684443,0.48633,0.547605,8,235,1018
mode-7ec853200d5a69,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,2.460142,0.460335,0.458646,19,232,738
huma-34db210634c01b,human_anchor,dreams,,human,3.530399,0.439561,0.466489,12,207,889
huma-1d2ae586989fcd,human_anchor,philosophy,,human,4.696773,0.528272,0.578171,16,264,1280
mode-69398694a0ed5f,model_narrative,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,4.457328,0.461613,0.512547,20,254,997
mode-f991b5e6191b43,model_narrative,lomahony/eleuther-pythia6.9b-hh-dpo,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,3.915942,0.408415,0.443077,17,251,958
mode-3945b3638f6da9,model_narrative,01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,aligned,4.125833,0.434042,0.488402,15,253,1158
mode-6f08503c8ee8b5,model_narrative,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-hf,base,4.097826,0.429721,0.484833,16,259,1153
mode-5833402dce1d6e,model_narrative,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,base,5.155816,0.456964,0.487494,19,265,1074
huma-a5b640aefa0898,human_anchor,c20_fiction,,human,5.862744,0.500511,0.534325,18,257,1163
mode-dee6e3e2823ae5,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,3.192338,0.462467,0.491333,19,223,893
huma-797f1e386447d3,human_anchor,literary_criticism,,human,4.498369,0.54576,0.573489,9,300,1131
huma-273ab1028dba8b,human_anchor,philosophy,,human,4.37792,0.488127,0.5064,15,230,1211
huma-17ea7df05c5b79,human_anchor,philosophy,,human,4.191389,0.475169,0.480646,9,259,1295
mode-aa325789d3bec8,model_narrative,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,base,4.146091,0.405295,0.470278,23,217,916
huma-97fb768fb7b26c,human_anchor,arxiv_abstracts,,human,4.871206,0.459294,0.452934,5,309,1274
huma-58219423176bd5,human_anchor,waking_narrative,,human,3.471609,0.399792,0.437417,12,213,938
mode-2fecb266211e00,model_narrative,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,4.555411,0.457886,0.504908,16,247,1150
mode-e0edf6cc7e649a,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,4.035441,0.496578,0.519556,14,270,1143
huma-e1cdabf4ef7b76,human_anchor,literary_criticism,,human,4.404184,0.475632,0.525578,8,303,1310
huma-c1d6697a64d789,human_anchor,arxiv_abstracts,,human,5.218014,0.472575,0.509049,9,293,1188
huma-cb105afbf73fc2,human_anchor,waking_narrative,,human,3.766237,0.434462,0.442274,11,217,992
mode-1dcd92b11de7f9,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,3.09478,0.411807,0.46442,12,257,1117
huma-53e14d4f8ce57a,human_anchor,literary_criticism,,human,4.580187,0.531998,0.535283,5,251,1228
mode-5bbfdecde41dc7,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,3.21717,0.414739,0.428646,9,224,1045
mode-9584f778e88558,model_narrative,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Base,base,3.324556,0.443488,0.478705,18,253,1197
mode-d690a58aaf150d,model_narrative,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,4.87144,0.453914,0.489701,11,221,994
huma-2ab8493e84931f,human_anchor,philosophy,,human,4.060863,0.448422,0.457906,7,220,1170
huma-1e5f6c9aef36c9,human_anchor,c20_fiction,,human,3.524058,0.506552,0.506506,9,221,980
mode-02990202312e17,model_narrative,zai-org/glm-4-9b-chat-hf,zai-org/glm-4-9b-chat-hf,aligned,3.111352,0.298355,0.338017,14,266,1222
mode-ff36f9284caeba,model_narrative,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B,base,4.33514,0.502884,0.510342,7,256,1188
mode-5dcbac391537c3,model_narrative,m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b_instruct_v0.1,aligned,3.765831,0.485089,0.515745,12,248,1100
mode-9bb698b87f42de,model_narrative,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,base,5.206729,0.522975,0.499876,15,233,1063
mode-f902d175d97582,model_narrative,ContextualAI/archangel_sft-dpo_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,3.448732,0.348285,0.395518,12,255,1116
mode-30956f9d281d59,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.380549,0.426446,0.4395,18,259,1108
mode-1106934a45820f,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.787801,0.448881,0.505954,17,262,1122
mode-8c49603a63840f,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,2.481714,0.368238,0.405652,17,254,1069
mode-faf9a4165e3159,model_narrative,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B-Base,base,5.639951,0.507822,0.53546,12,255,1185
mode-5b737234ada893,model_narrative,allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125-DPO,aligned,3.169842,0.403594,0.416855,12,245,1139
huma-e9f300fb1950ef,human_anchor,philosophy,,human,3.976696,0.362376,0.411647,10,216,1122
huma-d97265dde7715b,human_anchor,arxiv_abstracts,,human,4.047329,0.391249,0.440916,7,227,1402
mode-f3eb50e77445ba,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.509169,0.519546,0.51563,14,260,1068
mode-25f1cef7f6282d,model_narrative,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,base,4.30874,0.424722,0.46532,15,243,1051
mode-a7aa4d93a3b096,model_narrative,PKU-Alignment/beaver-7b-v1.0,PKU-Alignment/beaver-7b-v1.0,aligned,2.495186,0.425305,0.458543,17,245,1055
mode-59bb111420e306,model_narrative,tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Instruct,aligned,3.401555,0.506446,0.523711,17,263,1069
mode-401e9cd3fb6861,model_narrative,PKU-Alignment/beaver-7b-v1.0,PKU-Alignment/beaver-7b-v1.0,aligned,1.879365,0.342179,0.395589,10,213,1034
mode-7267c1bce7dd30,model_narrative,togethercomputer/RedPajama-INCITE-7B-Chat,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,3.205182,0.481265,0.495975,18,256,1010
mode-1c462730ee3e3e,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.183966,0.514337,0.527596,13,243,1056
mode-daaa66a96ba798,model_narrative,ContextualAI/archangel_sft-dpo_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,3.685992,0.470538,0.48236,13,251,1121
mode-069b6a284dbd99,model_narrative,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,4.663607,0.422731,0.444236,14,235,1115
huma-4140e24939fb8e,human_anchor,c20_fiction,,human,4.712095,0.464633,0.517369,4,244,1060
huma-30f3c8d04f9c4f,human_anchor,waking_narrative,,human,2.921663,0.392631,0.419822,13,215,950
mode-cfbaa6811d7c6b,model_narrative,PKU-Alignment/beaver-7b-v1.0,PKU-Alignment/beaver-7b-v1.0,aligned,2.595703,0.36084,0.385259,13,236,1122
mode-b7780d2269e3ae,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.362975,0.469497,0.484494,11,232,1055
huma-a5862df70aec79,human_anchor,c20_fiction,,human,4.802001,0.49555,0.537228,14,257,1125
huma-ea592b118ca5e2,human_anchor,philosophy,,human,4.342684,0.557049,0.592003,12,250,1134
mode-a4a2e36e331a80,model_narrative,m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-SFT-DPO,aligned,3.010194,0.480524,0.50319,20,248,951
huma-af437348a311dc,human_anchor,literary_criticism,,human,4.727776,0.510095,0.515455,7,267,1090
mode-86011aa20fb301,model_narrative,m-a-p/neo_7b,m-a-p/neo_7b,base,5.844112,0.460763,0.499643,11,239,1092
mode-16540abf143a30,model_narrative,BSC-LT/salamandra-7b,BSC-LT/salamandra-7b,base,5.551559,0.450742,0.472432,15,229,1042
mode-6340acbd9c191f,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.431476,0.459959,0.467761,27,269,965
mode-34885ab6ecccef,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.095027,0.420107,0.433894,26,261,1029
mode-f2b3091a755659,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,2.772693,0.426547,0.468885,12,246,1086
mode-bf8523cfed435a,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.196516,0.482385,0.511683,22,251,1059
mode-59be0fcc941bfa,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,3.688471,0.393572,0.422814,16,263,1141
huma-2d9d74d28d9dd6,human_anchor,dreams,,human,4.883039,0.452226,0.478845,16,234,995
mode-9345f66e178ba1,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,4.345586,0.410409,0.455206,20,253,1094
huma-e1fa4539492fd9,human_anchor,waking_narrative,,human,3.289375,0.496935,0.502045,10,238,998
mode-7c32d2e411d2c3,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,2.974151,0.441588,0.479587,22,256,1063
mode-45e68eea3ff820,model_narrative,tiiuae/Falcon3-3B-Instruct,tiiuae/Falcon3-3B-Instruct,aligned,6.294189,0.454383,0.509071,16,260,1189
mode-e2541f2378e11c,model_narrative,lomahony/eleuther-pythia6.9b-hh-dpo,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,3.644784,0.43574,0.462481,14,258,1150
mode-bc24bdba6ec699,model_narrative,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,3.871054,0.449429,0.490341,20,266,977
huma-7892dff0ae5e0e,human_anchor,c20_fiction,,human,5.146569,0.522914,0.54055,14,249,1104
huma-9d8db4b4eaea12,human_anchor,literary_criticism,,human,4.387298,0.480405,0.51701,7,286,1321
mode-654495fbda8ba0,model_narrative,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,base,3.517625,0.415348,0.440027,27,277,1102
mode-52e947e5159144,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,2.190403,0.339761,0.393317,20,255,1092
mode-388f6615d43c39,model_narrative,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,base,5.777494,0.512293,0.562225,9,251,1142
mode-3561572a788544,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,5.06001,0.451488,0.465534,6,248,1136
huma-279850298504cd,human_anchor,arxiv_abstracts,,human,4.799401,0.453775,0.465107,7,251,1400
mode-c360b6168a7efd,model_narrative,tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Instruct,aligned,4.032225,0.434868,0.416953,14,260,1222
mode-56730fc22ccd6f,model_narrative,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,4.573995,0.43076,0.434881,21,252,1130
huma-d429b04a7b8dd0,human_anchor,literary_criticism,,human,3.517353,0.517857,0.605168,9,229,1129
mode-51247a47a35e9b,model_narrative,OpenLLM-France/Lucie-7B-Instruct-v1.1,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,3.290559,0.337127,0.374708,13,256,1232
mode-d52c762210c33e,model_narrative,01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,aligned,4.60633,0.439861,0.506307,11,250,1084
mode-b152f11fd1e53e,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,3.296021,0.471399,0.504795,23,246,787
mode-057ff690329894,model_narrative,allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125-DPO,aligned,4.157938,0.482373,0.501607,28,256,976
mode-aaabfc7359d3dc,model_narrative,allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B-DPO,aligned,4.805668,0.415402,0.426111,16,273,1191
