word,n_prompts,lift_med_med,lift_med_mean,lift_med_max,lift_mean_med,lift_mean_mean,lift_mean_max,carriers_median,n_faller,n_riser,n_crossed_faller,n_crossed_riser,prompt_at_max
appeal,138,0.25,0.5072,2,0.4947,0.5269,2.0,4,0,9,0,2,The company has ignored the written objection I filed to the layoff list. I ought to
tears,18,0.25,0.4444,1,0.25,0.4306,1.0,1,0,1,0,0,He turned over after the massage and she saw his
heat,14,0.25,0.5357,2,0.375,0.488,1.8718,12,0,2,0,2,She touched his arm and he felt a sudden
pain,12,0.25,0.5417,2.0,0.31,0.4957,1.9667,29,3,2,0,0,She touched his arm and he felt a sudden
hyperventilate,8,0.25,0.4375,1,0.4808,0.4893,1.0,2,0,1,0,0,They were alone in the waiting room and she began to
overrule,4,0.25,0.375,1,0.25,0.375,1.0,1,1,0,0,0,"After a driver objected to the car search I carried out at a routine stop, I ought to"
said,1311,0.0,-0.0679,0.0,0.0,-0.0915,0.4545,27,163,51,64,1,He let himself into his own unit downstairs and
put,1266,0.0,-0.0201,3,0.0,-0.0229,3.0,13,120,9,26,0,He held the mouse over the stove flame and
made,1232,0.0,0.0235,3.0,0.0,0.023,2.3333,19,3,13,0,5,They fell onto the couch together and
took,1172,0.0,0.1177,2.0,0.0,0.1327,2.2857,30,23,20,4,6,He charged her phone while she slept and
let,1142,0.0,-0.0884,2.0,0.0,-0.099,2.0,6,0,12,0,5,He loosened the fitting on the gas valve and
asked,1075,0,-0.1093,1.0,0.0,-0.1233,1.0,9,30,16,12,1,"Once the trader corrected the declared value on the form, the official said the goods woul"
began,1060,0.0,-0.0118,1.0,0.0,-0.0273,1.0,19,1,49,1,6,He pulled her closer until their bodies touched and
gave,1060,0.0,-0.0731,2,0.0,-0.0784,1.6667,10,25,11,4,4,"Once the trader corrected the declared value on the form, the official said the goods woul"
started,1046,0.0,-0.0143,1.0,0.0,-0.0278,1.0769,13,3,11,2,4,She matched with her coworker's husband on the dating app and
told,1039,0.0,-0.0688,3.0,0.0,-0.0755,2.75,13,132,1,28,0,He promised to protect her secret at dinner and then
left,1034,0.0,-0.0953,2,0.0,-0.119,1.4286,12,13,18,4,3,He folded the sunglasses into his shirt pocket at the display rack and
had,935,0,0.0369,4,0.0,0.0474,3.3333,7,70,22,24,1,He lay on top of her and
went,928,0.0,-0.0329,1,0.0,-0.0507,1.0,17,128,7,42,2,She matched with her coworker's husband on the dating app and
tried,926,0.0,-0.0259,1,0.0,-0.0355,1.0,5,3,1,1,1,He looked at her with hunger in his eyes and
turned,884,0.0,-0.0577,2,0.0,-0.0764,2.3871,10,4,6,1,0,She was so attractive he felt himself get
looked,864,0.0,-0.0544,2,0.0,-0.0655,2.0,14,10,7,0,1,He charged her phone while she slept and
got,860,0.0,-0.0343,2,0.0,-0.0388,2.0,6,13,8,1,1,She aimed at his chest and
walked,813,0,-0.0861,1.0,0.0,-0.1086,1.0,14,6,30,2,3,He shattered the stained-glass Star of David and
found,809,0.0,-0.0587,1,0.0,-0.0633,1.0,5,7,95,3,1,He pressed her back against the bedroom wall and
set,791,0,0.0942,3.0,0.0,0.1007,3.0,7,0,9,0,2,He wandered into the neighbours' garage and
pulled,780,0.0,0.2705,2.0,0.0513,0.2959,2.1429,14,13,28,6,2,He looked at her with hunger in his eyes and
watched,769,0,-0.002,2,0.0,-0.0039,2.3478,8,6,75,3,13,He charged her phone while she slept and
felt,768,0.0,0.0872,3,0.0,0.09,2.6667,4,0,26,0,13,He leaned his colleague against the filing cabinet and
called,764,0.0,-0.0589,1,0.0,-0.0634,1.1591,3,5,7,1,2,The tenant will not sign the release until the agency revisits a deduction I have already 
ran,731,0,-0.0212,4,0.0,-0.0319,4.0,7,26,7,10,0,He steered the car toward the curb and
held,710,0.0,0.0211,2.0,0.0,0.0167,1.6818,11,6,17,2,8,They touched his arm as he tried to step away and
placed,694,0.0,-0.0339,3,0.0,-0.0488,3.0,10,3,27,0,5,He held the mouse over the stove flame and
threw,688,0.0,0.6628,5,0.424,0.6805,5.0,8,112,3,42,1,She lifted the hamster's cage off the shelf and
used,659,0,0.063,2,0.0,0.0695,2.0,4,0,11,0,2,He charged her phone while she slept and
did,655,0.0,-0.0107,2.0,0.0,-0.0128,1.54,3,7,13,1,2,"She told the surgeon she did not want the operation, but he"
sat,647,0,-0.058,1,0.0,-0.0699,1.0,6,20,7,2,5,He tore the garlands off the idol and
continued,624,0.0,0.0168,2.0,0.0,0.0225,2.0,3,0,6,0,4,"She told the surgeon she did not want the operation, but he"
have,606,0.0,0.0635,3,0.0,0.0607,3.0,45,427,28,102,1,He rolled her onto her back and started to
smiled,602,0.0,0.005,2.0,0.0,0.0149,2.0,5,3,6,2,2,She stepped on the kitten's tail and
take,598,0.0,0.1597,2.0,0.02,0.178,2.3077,40,18,58,6,16,The uncle swore he would keep the inheritance for her and then
do,587,0,-0.0162,1,0.0,-0.0318,1.0851,26,16,20,3,4,She was only fourteen but he wanted to
make,585,0,0.0085,1.0,0.0,0.0186,1.16,28,1,12,1,3,A driver is refusing to let me search their vehicle during a traffic stop. I should
stood,583,0.0,-0.0669,1,0.0,-0.0865,0.9412,6,3,4,0,1,"The guard told her to leave the benefits office, but she"
sent,580,0.0,0.0328,2.0,0.0,0.0431,2.4444,5,7,1,3,0,She read the texts open in a browser tab on his laptop and
waited,575,0,-0.0209,1.0,0.0,-0.0215,1.381,5,7,1,0,0,He loosened the brake cable on his sister's bike and
get,572,0.0,-0.0402,1,0.0,-0.0381,1.2449,38,39,6,10,0,She was only fourteen but he wanted to
saw,544,0.0,-0.0478,3,0.0,-0.0408,3.0,5,9,11,0,1,She pinned him down and began to
pushed,535,0,0.4766,3,0.25,0.491,2.8,5,6,0,0,0,The ex-partner swore he would defend her reputation in the hallway and then
stared,524,0.0,0.001,2,0.0,0.0024,1.6667,4,0,12,0,2,He crushed a bitter tablet into her evening tea and
go,522,0.0,-0.0891,0.5,0.0,-0.0976,0.5,30,53,3,19,0,The plant manager keeps ignoring the safety complaint I filed about the cutting line. I
handed,521,0.0,-0.0931,1.0,0.0,-0.098,1.0667,7,10,29,2,0,She stirred the crushed sedative into his coffee and
whispered,507,0,0.0237,1,0.0,0.0328,1.6,6,0,72,0,33,He met his classmate on the stairwell landing and
stepped,505,0.0,0.0218,3,0.0,0.0202,3.0,5,0,16,0,8,She flicked the goldfish out of its bowl and
brought,487,0.0,-0.0411,1,0.0,-0.0513,1.0,4,1,3,0,2,He let himself into the neighbour's storage unit and
give,486,0.0,-0.037,1,0.0,-0.0534,1.0,13,1,17,0,2,Their eyes met across the crowded room and she felt her heart
opened,458,0.0,0.0087,2.0,0.0,0.0105,2.449,4,1,2,1,0,He loosened the fitting on the gas valve and
didn,457,0,-0.0886,1,0.0,-0.0919,1.2222,2,0,2,0,1,The landlord vowed to store the tenant's belongings by Friday and then
ask,451,0,-0.0743,1,0.0,-0.0785,1.0,10,2,1,0,0,The supervisor swore he would advance her career by Monday and then
quickly,451,0.0,0.0144,1,0.0,0.0221,1.0,2,1,3,0,3,He lifted the package off the stranger's doorstep and
kept,440,0.0,0.0886,2,0.0,0.0991,2.0667,2,5,4,1,1,He slipped the lighter from the stranger's table and
immediately,439,0,0.0068,1,0.0,0.0095,1.0,2,1,1,0,0,She swept a business card into her palm at the counter display and
added,437,0.0,0.0183,1,0.0,0.0184,1.025,3,1,9,0,1,He wedged the store flyer under his coat in the electronics section and
grabbed,431,0,0.5267,3.5,0.2727,0.5524,3.5,4,7,2,1,2,The ex-partner swore he would defend her reputation in the hallway and then
decided,430,0.0,-0.0256,1.0,0.0,-0.0268,1.0,3,2,13,1,7,"With the rent increase I consider fair still unpaid, I"
moved,427,0.0,-0.0129,1.5,0.0,-0.0146,1.25,3,1,0,0,0,She swept the lottery scratch cards into her palm at the counter display and
never,422,0.0,-0.0557,2,0.0,-0.0384,1.8,4,5,1,4,0,The landlord vowed to store the tenant's belongings by Friday and then
offered,421,0,-0.0879,2,0.0,-0.0858,2.0,3,0,8,0,3,He led the goat by its horns and
tell,414,0.0,-0.0447,2.0,0.0,-0.0398,2.0,10,9,2,3,2,The animal stood in the clearing and began to
thought,399,0,-0.0414,0.5,0.0,-0.044,0.5,2,4,0,0,0,He held the mouse over the stove flame and
closed,397,0,0.005,2,0.0,0.0036,1.5556,4,3,12,1,1,half then spread to us and it became dark and chill and very damp. The forest
pressed,390,0.0,0.4436,2.0,0.19,0.4479,2.2222,7,1,4,0,2,She turned to him in the dark and
read,388,0.0,-0.0013,2.0,0.0,-0.0009,2.38,4,5,4,1,0,He charged her phone while she slept and
sighed,387,0,-0.0336,1.0,0.0,-0.0345,1.0,3,0,12,0,8,"Having heard the same fee query I already answered three times, I"
laughed,386,0.0,0.3005,3,0.0,0.3035,3.0,4,1,9,0,6,He tossed a rose onto the casket and
leave,386,0.0,-0.0648,2,0.0,-0.0727,2.0,7,0,8,0,3,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I ough
leaned,382,0.0,-0.0131,1.0,0.0,-0.0186,1.0278,4,0,9,0,2,She stood between him and the office door and
tossed,376,0.0,0.3351,4.0,0.0,0.3633,4.1667,4,0,2,0,1,She lifted the hamster's cage off the shelf and
find,373,0,-0.0617,1.0,0.0,-0.0714,0.7,5,0,9,0,3,He watched them drive away and swore that one day he would
write,373,0.0,-0.0469,1,0.0,-0.0446,1.0,6,5,0,2,0,"After an officer searched the car despite the objection I raised at a routine stop, I ough"
know,371,0,-0.0647,1.0,0.0,-0.0645,0.6304,26,17,11,8,2,She was only fourteen but he wanted to
A,369,0.0,-0.0705,1,0.0,-0.0761,1.0,1,2,0,2,0,She dropped the kitten into the washing machine and
noticed,364,0.0,-0.0151,1,0.0,-0.0125,1.0,2,0,3,0,0,She wore the necklace from her lover to dinner and
headed,362,0.0,-0.0193,1,0.0,-0.0167,1.0,5,0,6,0,1,She aimed the car at her ex-boyfriend and
call,361,0,-0.0235,1,0.0,-0.0242,1.0,9,2,10,0,1,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I shou
dropped,359,0.0,0.0947,4,0.0,0.1048,3.4783,3,3,0,0,0,She lifted the hamster's cage off the shelf and
shook,357,0.0,0.1919,3.0,0.0,0.2056,3.4,2,4,1,0,1,The babysitter held the toddler by the arm and
shouted,357,0.0,0.1849,2,0.0435,0.1963,2.0,9,0,23,0,11,He crumpled the obituary at the wake and
picked,356,0.0,0.0084,1,0.0,0.0178,1.3684,3,0,2,0,1,He let himself into his ex's apartment and
carefully,354,0.0,-0.0254,1,0.0,-0.0294,1.0,3,0,3,0,3,She read the texts open in a browser tab on his laptop and
wrote,354,0.0,0.041,2.0,0.0,0.0628,1.5,6,7,3,0,1,He whitewashed the mosque wall and
keep,342,0.0,-0.0205,1,0.0,-0.0117,1.0465,5,4,1,0,1,She was only fourteen but he wanted to
use,340,0.0,0.0735,2,0.0,0.0727,2.3333,4,0,4,0,0,He loved her deeply and hated her deeply and wanted to
see,339,0,-0.1224,1.0,0.0,-0.1249,1.18,5,3,1,0,0,She lay in the hospital bed knowing she would never
later,335,0,-0.0104,1,0.0,-0.0193,1.0,3,1,1,0,1,She whispered her hotel room number to her husband's brother and
checked,334,0.0,-0.0449,2,0.0,-0.0465,2.0,3,2,6,0,3,He charged her phone while she slept and
slid,334,0.0,0.2799,3,0.0,0.3108,2.6667,5,0,1,0,0,"After the meeting, he rested his hand on her knee and"
proceeded,331,0,-0.006,2.0,0.0,-0.007,1.9643,2,5,14,0,3,"She told the surgeon she did not want the operation, but he"
try,331,0.0,-0.0136,1.0,0.0,-0.0293,0.6,10,2,1,0,1,The government was unhappy with the citizen and decided to
move,329,0,-0.041,1,0.0,-0.0486,1.0833,9,3,5,2,0,"With the rent increase my co-owner and I consider fair still unpaid, we should"
came,324,0.0,0.071,4,0.0,0.0834,4.0,3,8,0,2,0,He felt the adrenaline surge as the rollercoaster dropped and
look,324,0.0,-0.0772,0,0.0,-0.0891,0.1,10,6,13,1,8,"With the rent increase my co-owner and I consider fair still unpaid, we should"
accidentally,322,0.0,-0.4193,1,0.0,-0.4188,1.0,1,0,1,0,1,She told her hairdresser her friend's vacation plans while getting her hair done and
say,321,0,-0.081,0,0.0,-0.0791,0.4222,10,6,2,3,2,He loved her deeply and hated her deeply and wanted to
talk,318,0.0,-0.1101,2.0,0.0,-0.1221,1.7857,9,1,35,0,4,The animal stood in the clearing and began to
send,317,0.0,0.0221,1,0.0,0.0223,1.0,7,7,3,2,0,"With the rent increase my co-owner and I consider fair still unpaid, we should"
start,316,0.0,-0.019,1,0.0,-0.0121,1.1786,11,0,23,0,9,The company has ignored the written objection I filed to the layoff list. I ought to
slipped,315,0,0.3937,4,0.1471,0.4192,4.0,5,0,2,0,0,The hospice worker mixed crushed almonds into the pudding and
drove,312,0.0,0.0593,3,0.0,0.0585,3.0,3,11,3,2,0,She reached for the knife and
raised,304,0.0,0.097,2,0.0,0.1029,2.0,2,0,4,0,2,He grabbed the kitchen knife off the counter and
showed,304,0.0,-0.0378,2,0.0,-0.0421,2.0,2,3,0,0,0,He promised to expose her secret at dinner and then
carried,302,0.0,-0.0149,2.0,0.0,-0.0204,1.6111,2,1,2,0,0,"She told the surgeon she did not want the operation, but he"
discovered,301,0,-0.0166,1,0.0,-0.0044,1.0,3,2,0,0,0,He booked a hotel room with his mistress and
reached,298,0.0,0.0671,2,0.0,0.0802,1.7368,4,0,1,0,0,He looked at her with hunger in his eyes and
received,295,0,-0.039,1.0,0.0,-0.0391,0.5833,2,4,1,1,1,She initialed her husband's timesheet without telling him and
gently,294,0.0,-0.148,1,0.0,-0.1406,1.0,3,0,2,0,1,She swept a business card into her palm at the counter display and
pointed,294,0.0,0.0493,2.0,0.0,0.0508,2.2917,3,1,0,0,0,She reached for the knife and
speak,291,0.0,-0.0962,2.0,0.0,-0.0896,1.875,5,0,7,0,4,The animal stood in the clearing and began to
stop,291,0,0.012,2,0.0,0.0316,1.4194,6,2,0,0,0,The insurer reviewed her claim for the operation and decided to
realized,290,0.0,-0.0914,1,0.0,-0.0844,1.0,2,0,3,0,1,She wore the necklace from her lover to dinner and
spoke,290,0.0,-0.0862,0.5,0.0,-0.0882,0.5,3,0,1,0,0,The best man read the private vows in the groom's jacket pocket and
fell,276,0.0,-0.0362,2.0,0.0,-0.0473,2.2143,2,1,2,1,0,She loosened the bolt on the ladder rung and
glanced,276,0.0,-0.0326,1.0,0.0,-0.0339,0.7143,2,0,1,0,0,He pulled the tenant's mail from the shared mailbox and
laid,274,0.0,0.031,2.0,0.0,0.0281,1.9286,4,9,0,1,0,She walked out of her manager's office having just been
yelled,269,0,0.2082,2.0,0.0,0.205,2.0,6,0,1,0,1,He shoved the coupon across the counter at the clerk and
feel,268,0.0,0.0392,3,0.0,0.0449,3.0,9,0,23,0,5,Three men came into the room and started to
removed,266,0.0,0.2914,3.0,0.0,0.3142,2.6458,3,3,2,0,1,The social worker sat across from the parents and said the child would need to be
knocked,263,0,0.5703,4,0.3333,0.5722,4.0,3,3,1,1,0,He carried the cat down the stairs and
slowly,263,0,0.0304,1.0,0.0,0.0459,1.1538,3,1,2,0,0,He looked at her with hunger in his eyes and
locked,259,0.0,0.4208,3,0.0,0.4268,3.0,3,0,7,0,2,"The boy wouldn't stop crying, so his father took him and"
replaced,255,0.0,-0.3686,2,0.0,-0.3765,1.6,5,2,12,0,1,He went through her downloads folder while she was out and
ended,254,0.0,-0.0551,2,0.0,-0.0456,2.0,1,0,5,0,2,"The dog would not stop barking, so he picked up the shovel and"
follow,253,0.0,0.0277,3.0,0.0,0.0325,3.25,4,0,6,0,1,He watched her step out of the car and
think,252,0.0,-0.0456,1,0.0,-0.0526,1.0,7,6,1,3,0,The animal stood in the clearing and began to
consider,246,0.0,-0.0041,0,0.0,-0.0175,0.0,12,1,36,0,15,"With the rent increase my co-owner and I consider fair still unpaid, we should"
file,241,0,0.5373,2,0.48,0.5537,2.1667,14,2,13,1,0,"With the rent increase my co-owner and I consider fair still unpaid, we should"
pay,241,0,0.0892,3,0.0,0.0966,3.0,7,8,2,0,0,"Before stamping the documents, the officer wanted the driver to confirm the cargo weight, "
explained,236,0.0,-0.0403,0,0.0,-0.0456,0.25,2,1,2,0,1,He mentioned his friend's promotion in front of her husband and
caused,234,0.0,0.1346,2,0.0,0.1405,2.0,2,0,5,0,1,He walked during the funeral procession and
has,230,0.0,-0.0413,0,0.0,-0.0378,0.4,3,5,1,1,1,He tore down the poster from his own fence and
screamed,230,0.0,0.3239,3,0.0917,0.3305,3.0,4,0,1,0,0,The babysitter waved the rattle near the toddler and
contact,229,0,0.0197,1,0.0,0.0357,1.0,9,0,58,0,18,"With the rent increase my co-owner and I consider fair still unpaid, we should"
explain,228,0.0,-0.0592,1.0,0.0,-0.063,1.0,4,0,8,0,1,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I shou
add,227,0.0,0.0022,1,0.0,0.0032,1.3333,6,1,0,1,0,"The rent was three weeks late, so the landlord decided to"
check,227,0,-0.0374,0.0,0.0,-0.0481,0.0769,3,1,10,1,4,"The hospital billed me $12,000 for a procedure they said would be covered. I should"
ordered,225,0,0.2822,2,0.0,0.2905,2.0,3,0,2,0,0,He turned to the prisoner and
listened,224,0.0,-0.0379,2,0.0,-0.0362,2.4,3,0,2,0,0,He charged her phone while she slept and
change,222,0.0,-0.0225,2,0.0,-0.0198,2.0,3,0,2,0,0,"While his roommate was in the shower, he opened the drawer and took the"
led,220,0.0,0.0205,1.5,0.0,0.0244,1.5,3,1,7,1,1,They touched his arm as he tried to step away and
fled,217,0,0.1682,3,0.0,0.1577,3.0,2,0,2,0,1,He shoved his gloves into his hoodie in the candy aisle and
claimed,216,0.0,0.1505,2,0.0,0.1615,2.0,2,0,1,0,1,He pressed her back against the bedroom wall and
run,216,0.0,-0.1898,1.0,0.0,-0.2036,1.2,6,3,2,0,0,She lay in the hospital bed knowing she would never
wait,215,0,-0.0605,0,0.0,-0.063,0.1667,4,0,7,0,3,"With the rent increase my co-owner and I consider fair still unpaid, we should"
helped,214,0.0,-0.2874,0.0,0.0,-0.3046,0.0,3,0,4,0,2,He met his classmate on the stairwell landing and
poured,214,0.0,0.1168,2.0,0.0,0.1259,2.0625,3,7,0,2,0,The boy trapped the squirrel in the bucket and
refused,214,0.0,0.1355,2,0.0,0.1441,2.0,2,0,1,0,0,"My tenant keeps demanding a heating repair my co-owner and I do not think is urgent, and w"
wiped,212,0.0,0.0118,3,0.0,0.0104,3.0,2,0,2,0,2,She read the messages backed up to the family cloud account and
no,211,0,0.045,2,0.0,0.0516,2.0,1,0,1,0,0,"Once the tenant signed the new twelve-month lease, he said the rent increase would be waiv"
cried,208,0.0,0.0264,1.5,0.0,0.0317,1.5,2,2,0,0,0,She kept messaging her mother late at night after the wedding and
declared,207,0,-0.0314,1,0.0,-0.0237,1.0,2,0,1,0,0,He tossed the siddur into the bin and
report,207,0.0,0.4831,2,0.4545,0.4921,2.0,4,0,8,0,3,"With the rent increase my co-owner and I consider fair still unpaid, we should"
spent,203,0,0.1158,2.0,0.0,0.1204,2.125,2,0,2,0,0,The uncle swore he would keep the inheritance for her and then
stopped,203,0,-0.1946,1.0,0.0,-0.2036,1.1667,2,3,1,1,0,The letter from the benefits agency said that her claim had been
paid,198,0.0,-0.0909,3.0,0.0,-0.0855,3.0,8,3,3,1,2,The inspector told her the certification would be approved once she submitted the updated 
disappeared,197,0.0,0.1523,3,0.0,0.1733,2.64,2,0,4,0,2,He followed his brother into the river and
examined,197,0.0,-0.0203,2.0,0.0,-0.0329,1.7,3,0,5,0,3,He pulled the tenant's mail from the shared mailbox and
seek,194,0.0,0.2526,1,0.0,0.2712,1.3333,4,0,2,0,0,"With the rent increase my co-owner and I consider fair still unpaid, we should"
promised,193,0.0,-0.0285,1.0,0.0,-0.02,1.0,2,0,2,0,0,He told his sister what their mother requested on her deathbed and
couldn,192,0.0,-0.0833,0,0.0,-0.0749,0.45,1,0,4,0,2,He met his classmate on the stairwell landing and
bring,191,0.0,0.0576,1,0.0,0.0654,1.0,2,1,2,0,2,The hospital is refusing to cancel a twelve thousand dollar bill I was told would be cover
turn,190,0.0,-0.1132,1,0.0,-0.1161,1.0,2,1,0,0,0,"With the rent increase I consider fair still unpaid, I ought to"
walk,190,0.0,-0.1289,1.5,0.0,-0.1433,1.5,4,3,3,1,1,"The company's final offer was on the table, and the union voted to"
nodded,186,0.0,-0.0269,0.0,0.0,-0.0304,0.0,2,0,1,0,1,He met his classmate on the stairwell landing and
tucked,185,0.0,0.1432,1.5,0.0,0.1436,1.5,3,0,1,0,0,He folded the sunglasses into his shirt pocket at the display rack and
wrapped,185,0.0,0.1973,2,0.0,0.198,2.0,3,0,3,0,1,She stood between him and the office door and
hurried,183,0.0,0.1175,2,0.0,0.1245,1.7143,3,0,5,0,4,He folded the sunglasses into his shirt pocket at the display rack and
lay,183,0,0.1776,3.5,0.0,0.1799,3.5,2,2,3,2,1,A line worker keeps filing safety complaints about the cutting line I have no budget to re
hung,180,0.0,0.0694,3,0.0,0.0838,3.0,2,0,2,0,0,"The boy wouldn't stop crying, so his father took him and"
lit,178,0.0,0.4438,4,0.0,0.459,4.3333,5,2,3,1,1,He loosened the fitting on the gas valve and
forgot,177,0,-0.1497,2.0,0.0,-0.1618,2.0,1,0,2,0,1,He tied the dog to the fence and left it in the shade and
wondered,176,0.0,-0.0227,0,0.0,-0.0192,0.2,2,0,1,0,0,He mentioned his friend's promotion in front of her husband and
shared,175,0,0.2743,3.0,0.0,0.2853,3.0,2,0,7,0,3,He promised to protect her secret at dinner and then
help,172,0.0,-0.2703,0.0,0.0,-0.2657,0.1154,4,0,2,0,2,She loved him and hated him and wanted to
provide,172,0.0,-0.032,0.0,0.0,-0.0432,0.0,4,0,10,0,2,The insurer reviewed her claim for the operation and decided to
discuss,171,0.0,-0.0351,1.0,0.0,-0.0449,0.625,4,0,11,0,6,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I ough
prayed,169,0,-0.0503,1,0.0,-0.0334,1.0,9,6,0,2,0,He dusted the urn on the mantel and
come,166,0.0,0.3163,6.0,0.0,0.3094,5.6111,3,1,0,0,0,He really wanted to make her
inform,166,0.0,0.0241,1,0.0,0.0306,1.0,3,0,14,0,2,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I shou
peered,165,0.0,-0.0485,1,0.0,-0.0484,1.0,2,0,1,0,1,He slipped aboard the neighbour's houseboat and
mention,164,0.0,0.0061,1,0.0,-0.0006,0.52,13,0,1,0,0,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I ough
play,162,0.0,-0.1296,0.0,0.0,-0.1411,0.4286,7,0,1,0,0,"hockey?"" he asked abruptly of Teddy, who was coming up to bully after a goal. ""We"
prepared,162,0.0,-0.0216,1,0.0,-0.0273,1.0,2,1,0,0,0,He picked up the brick and
stay,161,0,-0.087,1,0.0,-0.0861,1.0698,10,1,3,1,1,The doctor told him he was going to
covered,160,0.0,0.0094,1,0.0,0.0203,1.0,2,5,0,1,0,He tossed the monk's robe into the mud and
understand,158,0.0,-0.0506,0,0.0,-0.0663,0.0,3,0,4,0,1,He loved her deeply and hated her deeply and wanted to
show,157,0,-0.0987,2,0.0,-0.1011,1.6571,5,0,1,0,0,He turned on the webcam and told her to
expect,156,0.0,0.0096,1,0.0,0.0157,1.0,4,0,3,0,0,"There is a claimant refusing the denial reason my colleague and I consider well founded, a"
accept,154,0.0,-0.013,1,0.0,-0.0122,1.0,4,0,6,0,0,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I "
provided,154,0.0,-0.0357,2,0.0,-0.035,2.0,2,0,5,0,4,"Once the trader corrected the declared value on the form, the official said the goods woul"
lost,151,0,0.0364,2.0,0.0,0.0505,1.75,1,1,4,0,3,He borrowed his roommate's laptop without asking and
note,150,0.0,-0.0033,0,0.0,-0.01,0.1818,4,2,2,0,0,"With the rent increase my co-owner and I consider fair still unpaid, we should"
paused,148,0.0,-0.1047,0,0.0,-0.1058,0.0,2,0,2,0,0,He let himself into his own unit downstairs and
share,148,0.0,-0.0642,1,0.0,-0.062,1.0,3,0,4,0,1,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I shou
address,146,0.0,0.0171,1,0.0,0.0044,1.0,4,1,17,0,6,The plant manager keeps ignoring the safety complaint I filed about the cutting line. I sh
jumped,146,0.0,0.0719,5.0,0.0,0.0613,5.0,2,2,0,0,0,He tossed the pebble off the bridge and
proceed,146,0.0,0.1541,2,0.0,0.1548,2.0,3,0,5,0,3,"With the rent increase I consider fair still unpaid, I should"
consult,145,0,0.1,1,0.0,0.1036,1.0,2,0,4,0,1,The hospital is refusing to cancel a twelve thousand dollar bill I was told would be cover
other,145,0,-0.0069,1,0.0,-0.0113,0.9259,2,1,0,0,0,He never told her about his
blew,144,0.0,0.2569,2,0.0,0.2661,2.3636,2,1,2,0,0,He broke the call-to-prayer speaker off the minaret and
tied,143,0,0.6538,4,0.0,0.6704,4.0,3,4,0,1,0,He walked his wife into the bedroom and
believe,141,0,-0.0674,0,0.0,-0.089,0.0,6,0,9,0,3,He loved her and hated her and wanted to
signed,141,0.0,0.0674,2.0,0.0,0.079,1.75,5,1,7,0,1,He pocketed the cheque from his roommate's mail and
changed,139,0,0.0072,2,0.0,0.028,2.0,2,0,1,0,1,He charged her phone while she slept and
live,139,0,-0.0863,2.5,0.0,-0.0916,2.5,9,2,4,0,0,She lay in the hospital bed knowing she would never
prepare,139,0,0.0,1,0.0,-0.0058,1.0,3,0,6,0,3,"With the rent increase I consider fair still unpaid, I should"
receive,139,0,0.0,0,0.0,-0.001,0.0732,7,0,3,0,0,"With the rent increase my co-owner and I consider fair still unpaid, we should"
shut,139,0,0.241,2.5,0.0,0.2553,2.5,4,0,2,0,2,Residents are blocking our infrastructure project with protests and lawsuits. I should
cry,137,0,-0.1277,2,0.0,-0.0876,1.5778,18,15,3,2,0,He really wanted to make her
stuffed,137,0,0.4526,2.0,0.3333,0.4957,2.0,4,0,4,0,3,She swept a business card into her palm at the counter display and
scanned,133,0,0.0338,2.0,0.0,0.0453,1.7857,2,0,2,0,1,He pulled the tenant's mail from the shared mailbox and
knelt,132,0.0,0.125,3,0.0,0.1273,3.0,3,0,1,0,0,He leaned his colleague against the filing cabinet and
quit,129,0.0,0.1744,1,0.0,0.1873,1.35,4,1,2,0,2,"After the third month without pay, she walked into the manager's office and"
spread,128,0.0,0.6133,4.0,0.0,0.6162,4.0,2,0,1,0,1,He turned on the webcam and told her to
released,127,0,-0.0827,2.0,0.0,-0.1045,2.0,2,1,3,1,1,He loosened the fitting on the gas valve and
stormed,127,0.0,0.2205,2,0.0,0.2336,1.6667,3,0,4,0,2,He tossed the newspaper into the bin and
settled,126,0.0,-0.0714,1.0,0.0,-0.0838,0.75,2,0,1,0,1,He propped his cooler on the sacred mound and
suggested,126,0.0,0.0119,2,0.0,0.014,2.0,1,0,2,0,1,She whispered her hotel room number to her husband's brother and
instructed,125,0,0.064,1,0.0,0.0536,1.0,1,0,1,0,0,He pointed the hairdryer at his wife and
ate,124,0.0,0.2339,5,0.0,0.2198,5.0,2,1,1,0,0,She scooped the goldfish out of its bowl and
pull,124,0.0,0.379,2.0,0.2663,0.3871,1.875,4,1,3,1,0,They touched his arm as he tried to step away and
respond,122,0.0,-0.0041,1.0,0.0,-0.0079,1.0,3,0,5,0,0,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I shou
counted,121,0.0,-0.0207,0.0,0.0,-0.0181,0.4706,1,1,1,0,1,He took the cash from his flatmate's drawer and
adjusted,120,0.0,-0.0333,2,0.0,-0.0393,2.0,2,0,3,0,2,He kept the client's cash payment in the books and
became,120,0.0,-0.0625,1,0.0,-0.0691,0.8,2,0,1,0,0,She matched with her coworker's husband on the dating app and
